po_number,po_item,material_id,plant_id,material_criticality,affected_production_orders,affected_sales_orders,production_units_at_risk,days_of_cover_without_po,estimated_exposure_value,high_business_impact
450010050,00030,MAT1002,PL02,Critical,1,1,166,4,6048.85,NO
450010051,00040,MAT1002,PL01,Critical,3,5,470,0,3044.36,NO
450010052,00050,MAT1003,PL03,High,6,6,2467,2,6631.15,YES
450010053,00060,MAT1005,PL01,Medium,3,7,335,2,6217.53,NO
450010054,00070,MAT1003,PL03,High,2,3,23,0,4878.87,NO
450010055,00080,MAT1005,PL01,Medium,2,2,145,0,5121.86,NO
450010056,00010,MAT1007,PL02,Critical,1,7,456,4,6792.75,NO
450010057,00020,MAT1008,PL02,Low,4,4,428,3,4032.78,NO
450010058,00030,MAT1004,PL01,High,1,3,402,2,10418.89,NO
450010059,00040,MAT1001,PL04,Critical,0,3,409,1,13192.61,NO
450010060,00050,MAT1005,PL04,Medium,13,6,1269,4,4781.96,YES
450010061,00060,MAT1009,PL01,High,2,2,262,1,22744.56,NO
450010062,00070,MAT1004,PL04,High,0,6,39,2,23907.86,NO
450010063,00080,MAT1001,PL01,Critical,1,0,375,4,1980.47,NO
450010064,00010,MAT1008,PL01,Low,0,3,225,1,22902.54,NO
450010065,00020,MAT1009,PL03,High,4,4,292,4,7281.05,NO
450010066,00030,MAT1002,PL04,Critical,1,2,224,3,1022.19,NO
450010067,00040,MAT1006,PL01,Medium,1,5,328,2,22655.61,NO
450010068,00050,MAT1001,PL03,Critical,10,10,2455,2,5270.03,YES
450010069,00060,MAT1008,PL01,Low,2,5,214,3,4259.81,NO
450010070,00070,MAT1001,PL02,Critical,1,2,407,4,12885.53,NO
450010071,00080,MAT1008,PL03,Low,1,4,353,3,14658.37,NO
450010072,00010,MAT1007,PL04,Critical,1,0,343,2,1805.29,NO
450010073,00020,MAT1005,PL01,Medium,4,5,60,0,15309.61,NO
450010074,00030,MAT1009,PL02,High,3,5,191,3,17731.79,NO
450010075,00040,MAT1002,PL01,Critical,2,3,252,2,2691.18,NO
450010076,00050,MAT1010,PL03,High,14,18,2096,2,9276.39,YES
450010077,00060,MAT1006,PL01,Medium,3,7,481,1,12974.09,NO
450010078,00070,MAT1006,PL04,Medium,0,0,22,3,17657.42,NO
450010079,00080,MAT1008,PL04,Low,1,6,57,1,11183.3,NO
450010080,00010,MAT1008,PL01,Low,1,1,333,0,16400.83,NO
450010081,00020,MAT1002,PL02,Critical,0,7,352,3,9450.42,NO
450010082,00030,MAT1002,PL03,Critical,0,6,21,0,24875.98,NO
450010083,00040,MAT1009,PL03,High,2,4,214,1,3592.52,NO
450010084,00050,MAT1007,PL02,Critical,9,18,1258,4,8427.99,YES
450010085,00060,MAT1007,PL02,Critical,0,5,429,4,19288.5,NO
450010086,00070,MAT1009,PL02,High,0,5,351,0,2288.57,NO
450010087,00080,MAT1007,PL02,Critical,3,4,59,2,6331.9,NO
450010088,00010,MAT1008,PL04,Low,0,2,130,1,10061.34,NO
450010089,00020,MAT1002,PL02,Critical,2,4,193,3,21706.97,NO
450010090,00030,MAT1007,PL02,Critical,0,3,304,3,10884.92,NO
450010091,00040,MAT1002,PL02,Critical,0,7,208,2,15417.31,NO
450010092,00050,MAT1010,PL03,High,5,15,856,0,7970.59,YES
450010093,00060,MAT1009,PL04,High,0,0,394,2,11021.04,NO
450010094,00070,MAT1006,PL03,Medium,3,5,144,0,15971.61,NO
450010095,00080,MAT1004,PL04,High,4,2,55,1,18122.53,NO
450010096,00010,MAT1007,PL04,Critical,0,0,293,3,18035.86,NO
450010097,00020,MAT1003,PL04,High,1,2,99,3,24945.17,NO
450010098,00030,MAT1010,PL04,High,4,1,409,4,16764.73,NO
450010099,00040,MAT1003,PL04,High,1,6,41,3,13141.83,NO
450010100,00050,MAT1008,PL01,Low,9,9,944,4,21820.56,YES
450010101,00060,MAT1010,PL02,High,0,4,363,2,18893.0,NO
450010102,00070,MAT1007,PL01,Critical,0,6,344,3,9918.49,NO
450010103,00080,MAT1007,PL01,Critical,2,5,462,4,4218.14,NO
450010104,00010,MAT1008,PL01,Low,0,3,290,0,19420.91,NO
450010105,00020,MAT1004,PL01,High,2,7,98,1,1396.35,NO
450010106,00030,MAT1009,PL04,High,2,3,448,0,13348.03,NO
450010107,00040,MAT1010,PL03,High,4,5,352,3,21207.63,NO
450010108,00050,MAT1003,PL04,High,10,6,1008,4,1052.0,YES
450010109,00060,MAT1007,PL03,Critical,0,5,463,0,18121.81,NO
450010110,00070,MAT1001,PL02,Critical,1,0,243,0,11924.15,NO
450010111,00080,MAT1008,PL01,Low,4,7,313,1,15506.94,NO
450010112,00010,MAT1006,PL01,Medium,1,4,384,0,14096.14,NO
450010113,00020,MAT1006,PL01,Medium,1,1,475,4,11265.44,NO
450010114,00030,MAT1004,PL02,High,1,0,444,3,9826.51,NO
450010115,00040,MAT1005,PL03,Medium,1,1,152,0,23294.48,NO
450010116,00050,MAT1008,PL01,Low,10,14,2482,1,805.85,YES
450010117,00060,MAT1006,PL03,Medium,2,1,70,0,3339.11,NO
450010118,00070,MAT1005,PL01,Medium,2,5,144,0,2598.03,NO
450010119,00080,MAT1008,PL03,Low,3,3,204,1,4073.58,NO
450010120,00010,MAT1005,PL03,Medium,0,1,340,2,19073.34,NO
450010121,00020,MAT1002,PL02,Critical,2,4,426,1,15891.22,NO
450010122,00030,MAT1006,PL01,Medium,3,3,453,1,16017.24,NO
450010123,00040,MAT1003,PL03,High,2,0,205,0,8626.94,NO
450010124,00050,MAT1005,PL01,Medium,12,16,1573,0,17029.79,YES
450010125,00060,MAT1009,PL02,High,4,6,202,2,2219.92,NO
450010126,00070,MAT1005,PL03,Medium,3,3,248,1,24645.71,NO
450010127,00080,MAT1002,PL03,Critical,4,5,194,3,13137.76,NO
450010128,00010,MAT1010,PL03,High,1,5,30,3,5953.86,NO
450010129,00020,MAT1009,PL04,High,0,3,6,3,21957.1,NO
450010130,00030,MAT1003,PL04,High,2,5,304,0,23186.16,NO
450010131,00040,MAT1005,PL01,Medium,2,4,86,3,22973.99,NO
450010132,00050,MAT1008,PL03,Low,8,15,1990,1,24259.22,YES
450010133,00060,MAT1010,PL01,High,0,6,223,3,5961.33,NO
450010134,00070,MAT1004,PL02,High,0,4,418,4,21576.38,NO
450010135,00080,MAT1001,PL01,Critical,1,4,162,2,17593.25,NO
450010136,00010,MAT1004,PL02,High,0,4,325,2,3588.22,NO
450010137,00020,MAT1010,PL03,High,0,6,380,4,1781.47,NO
450010138,00030,MAT1005,PL04,Medium,0,3,452,3,603.21,NO
450010139,00040,MAT1006,PL01,Medium,3,6,156,3,10731.22,NO
450010140,00050,MAT1009,PL01,High,11,11,1469,1,18174.09,YES
450010141,00060,MAT1008,PL01,Low,4,0,91,2,4663.92,NO
450010142,00070,MAT1009,PL02,High,1,0,26,0,21798.71,NO
450010143,00080,MAT1002,PL03,Critical,2,1,460,1,3883.32,NO
450010144,00010,MAT1001,PL01,Critical,0,5,198,1,16775.95,NO
450010145,00020,MAT1007,PL04,Critical,4,3,265,4,1490.42,NO
450010146,00030,MAT1004,PL02,High,3,6,475,3,7265.43,NO
450010147,00040,MAT1005,PL04,Medium,4,4,314,0,13913.06,NO
450010148,00050,MAT1002,PL04,Critical,6,19,1948,1,17490.88,YES
450010149,00060,MAT1001,PL04,Critical,0,5,276,1,15911.29,NO
450010150,00070,MAT1006,PL02,Medium,0,5,205,3,24998.71,NO
450010151,00080,MAT1006,PL01,Medium,4,0,205,1,4054.42,NO
450010152,00010,MAT1004,PL01,High,0,1,311,4,11493.72,NO
450010153,00020,MAT1010,PL03,High,4,5,334,0,8331.75,NO
450010154,00030,MAT1004,PL01,High,1,0,417,4,9096.93,NO
450010155,00040,MAT1001,PL04,Critical,3,2,457,4,5112.73,NO
450010156,00050,MAT1007,PL04,Critical,10,15,2168,1,21172.73,YES
450010157,00060,MAT1007,PL04,Critical,3,4,19,2,21538.43,NO
450010158,00070,MAT1005,PL02,Medium,2,3,189,2,3041.05,NO
450010159,00080,MAT1008,PL04,Low,3,2,425,1,4925.25,NO
