movement_id,plant_id,material_id,from_storage_location,to_storage_location,quantity,movement_date
MOV50080,PL04,MAT2005,C03,C03,265,2026-05-25
MOV50081,PL02,MAT2002,QH1,EXT,280,2026-08-21
MOV50082,PL01,MAT2007,C03,QH1,56,2026-08-13
MOV50083,PL03,MAT2004,A01,QH1,216,2026-05-04
MOV50084,PL02,MAT2007,EXT,BLK,247,2026-08-20
MOV50085,PL01,MAT2008,A01,BLK,123,2026-07-12
MOV50086,PL03,MAT2001,EXT,BLK,1,2026-06-09
MOV50087,PL03,MAT2002,B02,QH1,226,2026-06-08
MOV50088,PL01,MAT2004,QH1,BLK,45,2026-03-22
MOV50089,PL04,MAT2008,B02,B02,11,2026-07-06
MOV50090,PL04,MAT2008,EXT,C03,86,2026-04-18
MOV50091,PL02,MAT2007,QH1,A01,61,2026-08-24
MOV50092,PL04,MAT2009,EXT,A01,220,2026-07-11
MOV50093,PL02,MAT2001,QH1,C03,202,2026-05-14
MOV50094,PL03,MAT2001,BLK,EXT,30,2026-04-12
MOV50095,PL04,MAT2005,BLK,QH1,221,2026-06-16
MOV50096,PL03,MAT2002,B02,EXT,63,2026-08-18
MOV50097,PL04,MAT2002,C03,A01,251,2026-09-14
MOV50098,PL01,MAT2010,BLK,BLK,51,2026-03-24
MOV50099,PL02,MAT2003,C03,BLK,291,2026-08-05
MOV50100,PL03,MAT2002,QH1,EXT,88,2026-07-28
MOV50101,PL04,MAT2001,QH1,A01,22,2026-04-25
MOV50102,PL01,MAT2006,C03,B02,185,2026-06-29
MOV50103,PL03,MAT2004,EXT,QH1,197,2026-07-03
MOV50104,PL04,MAT2010,A01,B02,279,2026-03-21
MOV50105,PL01,MAT2005,BLK,A01,147,2026-05-26
MOV50106,PL01,MAT2007,QH1,EXT,162,2026-07-03
MOV50107,PL01,MAT2001,C03,C03,74,2026-05-02
MOV50108,PL02,MAT2007,QH1,QH1,264,2026-08-09
MOV50109,PL01,MAT2005,B02,EXT,137,2026-04-20
MOV50110,PL04,MAT2004,A01,C03,52,2026-04-17
MOV50111,PL01,MAT2005,B02,B02,125,2026-08-07
MOV50112,PL03,MAT2003,B02,EXT,28,2026-04-26
MOV50113,PL02,MAT2007,B02,C03,49,2026-08-18
MOV50114,PL02,MAT2003,QH1,C03,52,2026-06-15
MOV50115,PL01,MAT2003,A01,A01,232,2026-07-10
MOV50116,PL02,MAT2008,B02,QH1,296,2026-06-09
MOV50117,PL01,MAT2008,EXT,C03,12,2026-06-13
MOV50118,PL02,MAT2001,B02,A01,7,2026-06-09
MOV50119,PL03,MAT2009,EXT,QH1,136,2026-09-06
MOV50120,PL01,MAT2003,EXT,C03,67,2026-06-13
MOV50121,PL04,MAT2006,QH1,QH1,82,2026-08-27
MOV50122,PL02,MAT2006,QH1,BLK,119,2026-04-19
MOV50123,PL03,MAT2008,C03,A01,205,2026-09-06
MOV50124,PL04,MAT2007,A01,EXT,69,2026-05-25
MOV50125,PL02,MAT2006,QH1,A01,91,2026-03-24
MOV50126,PL04,MAT2009,A01,B02,185,2026-08-02
MOV50127,PL04,MAT2009,EXT,QH1,185,2026-08-14
MOV50128,PL03,MAT2001,EXT,B02,177,2026-09-07
MOV50129,PL02,MAT2004,C03,B02,162,2026-05-04
MOV50130,PL03,MAT2009,B02,B02,116,2026-09-10
MOV50131,PL01,MAT2005,C03,C03,210,2026-05-15
MOV50132,PL01,MAT2010,B02,C03,144,2026-07-11
MOV50133,PL01,MAT2003,BLK,A01,231,2026-07-07
MOV50134,PL02,MAT2010,A01,EXT,275,2026-04-12
MOV50135,PL02,MAT2004,C03,C03,50,2026-05-20
MOV50136,PL03,MAT2005,C03,QH1,182,2026-05-04
MOV50137,PL04,MAT2007,C03,QH1,6,2026-05-12
MOV50138,PL02,MAT2004,C03,QH1,199,2026-08-12
MOV50139,PL02,MAT2002,C03,EXT,135,2026-03-24
MOV50140,PL04,MAT2001,C03,B02,171,2026-04-26
MOV50141,PL01,MAT2005,C03,QH1,89,2026-04-24
MOV50142,PL02,MAT2010,A01,A01,245,2026-06-02
MOV50143,PL03,MAT2008,QH1,BLK,226,2026-05-22
MOV50144,PL03,MAT2010,A01,BLK,214,2026-03-31
MOV50145,PL01,MAT2002,A01,A01,249,2026-08-20
MOV50146,PL03,MAT2005,QH1,EXT,126,2026-09-08
MOV50147,PL02,MAT2006,A01,B02,20,2026-03-27
MOV50148,PL04,MAT2006,A01,EXT,13,2026-07-23
MOV50149,PL03,MAT2007,EXT,BLK,20,2026-06-30
MOV50150,PL01,MAT2007,A01,C03,182,2026-05-03
MOV50151,PL02,MAT2008,B02,QH1,39,2026-03-25
MOV50152,PL03,MAT2001,QH1,BLK,23,2026-08-21
MOV50153,PL02,MAT2002,C03,QH1,202,2026-07-17
MOV50154,PL03,MAT2008,B02,C03,39,2026-04-01
MOV50155,PL03,MAT2005,B02,C03,187,2026-07-17
MOV50156,PL04,MAT2007,EXT,C03,288,2026-04-12
MOV50157,PL01,MAT2010,BLK,A01,229,2026-06-17
MOV50158,PL02,MAT2003,QH1,QH1,46,2026-04-13
MOV50159,PL02,MAT2009,BLK,A01,109,2026-07-24
MOV50160,PL04,MAT2001,EXT,QH1,124,2026-04-16
MOV50161,PL02,MAT2003,A01,BLK,255,2026-05-11
MOV50162,PL04,MAT2005,BLK,BLK,192,2026-08-24
MOV50163,PL04,MAT2010,QH1,A01,102,2026-05-09
MOV50164,PL03,MAT2008,C03,A01,275,2026-08-08
MOV50165,PL01,MAT2001,C03,QH1,248,2026-05-11
MOV50166,PL01,MAT2007,EXT,QH1,248,2026-04-04
MOV50167,PL02,MAT2006,B02,EXT,131,2026-09-10
MOV50168,PL01,MAT2006,BLK,BLK,29,2026-04-09
MOV50169,PL01,MAT2008,C03,EXT,189,2026-05-16
MOV50170,PL03,MAT2008,BLK,C03,228,2026-06-10
MOV50171,PL03,MAT2004,C03,A01,230,2026-09-02
MOV50172,PL04,MAT2004,BLK,BLK,139,2026-04-10
MOV50173,PL03,MAT2004,B02,C03,65,2026-05-23
MOV50174,PL01,MAT2009,A01,A01,172,2026-09-13
MOV50175,PL02,MAT2005,BLK,QH1,89,2026-08-24
MOV50176,PL01,MAT2001,A01,A01,152,2026-09-08
MOV50177,PL03,MAT2003,A01,A01,261,2026-07-15
MOV50178,PL04,MAT2001,C03,QH1,94,2026-09-02
MOV50179,PL03,MAT2003,QH1,QH1,62,2026-08-26
MOV50180,PL02,MAT2005,B02,A01,205,2026-08-12
MOV50181,PL02,MAT2003,A01,EXT,12,2026-05-10
MOV50182,PL03,MAT2009,C03,C03,47,2026-07-23
MOV50183,PL03,MAT2010,B02,EXT,106,2026-04-17
MOV50184,PL04,MAT2010,B02,C03,13,2026-06-11
MOV50185,PL01,MAT2002,QH1,C03,68,2026-08-19
MOV50186,PL04,MAT2004,B02,EXT,274,2026-08-07
MOV50187,PL02,MAT2007,BLK,C03,231,2026-07-30
MOV50188,PL01,MAT2001,QH1,QH1,197,2026-07-25
MOV50189,PL04,MAT2006,C03,C03,30,2026-06-13
MOV50190,PL01,MAT2008,BLK,C03,88,2026-08-29
MOV50191,PL04,MAT2004,B02,C03,68,2026-06-19
MOV50192,PL04,MAT2001,B02,C03,98,2026-09-11
MOV50193,PL03,MAT2010,B02,A01,109,2026-04-03
MOV50194,PL04,MAT2010,EXT,EXT,77,2026-06-30
MOV50195,PL02,MAT2003,QH1,C03,6,2026-06-28
MOV50196,PL02,MAT2006,A01,A01,215,2026-07-02
MOV50197,PL03,MAT2002,C03,QH1,171,2026-04-16
MOV50198,PL02,MAT2001,A01,A01,108,2026-08-03
MOV50199,PL02,MAT2007,BLK,QH1,31,2026-04-20
MOV50200,PL03,MAT2005,C03,QH1,24,2026-09-13
MOV50201,PL04,MAT2007,B02,EXT,90,2026-03-21
MOV50202,PL03,MAT2006,C03,BLK,19,2026-06-21
MOV50203,PL01,MAT2006,C03,C03,181,2026-04-24
MOV50204,PL01,MAT2005,C03,B02,259,2026-04-03
MOV50205,PL01,MAT2001,C03,A01,73,2026-09-06
MOV50206,PL04,MAT2004,QH1,EXT,124,2026-08-19
MOV50207,PL02,MAT2009,C03,C03,79,2026-06-21
MOV50208,PL01,MAT2005,EXT,QH1,237,2026-07-11
MOV50209,PL01,MAT2006,BLK,C03,28,2026-07-18
MOV50210,PL02,MAT2005,A01,C03,290,2026-07-02
MOV50211,PL01,MAT2009,BLK,QH1,9,2026-03-28
MOV50212,PL04,MAT2009,C03,B02,31,2026-03-24
MOV50213,PL04,MAT2001,B02,C03,66,2026-06-22
MOV50214,PL04,MAT2008,EXT,A01,181,2026-07-29
MOV50215,PL04,MAT2003,BLK,C03,180,2026-04-12
MOV50216,PL04,MAT2009,A01,EXT,6,2026-07-03
MOV50217,PL01,MAT2007,B02,B02,167,2026-08-13
MOV50218,PL02,MAT2001,B02,EXT,274,2026-08-02
MOV50219,PL03,MAT2008,EXT,C03,50,2026-03-23
MOV50220,PL03,MAT2002,BLK,A01,25,2026-04-02
MOV50221,PL01,MAT2007,C03,BLK,8,2026-08-19
MOV50222,PL02,MAT2006,B02,BLK,61,2026-08-29
MOV50223,PL04,MAT2007,C03,C03,254,2026-04-01
MOV50224,PL01,MAT2009,EXT,BLK,105,2026-07-16
MOV50225,PL01,MAT2005,QH1,EXT,115,2026-04-30
MOV50226,PL04,MAT2002,A01,B02,191,2026-08-24
MOV50227,PL03,MAT2005,C03,QH1,3,2026-07-06
MOV50228,PL01,MAT2002,EXT,B02,265,2026-07-17
MOV50229,PL01,MAT2009,QH1,C03,292,2026-06-08
MOV50230,PL01,MAT2009,BLK,QH1,34,2026-03-26
MOV50231,PL04,MAT2006,BLK,EXT,167,2026-09-08
MOV50232,PL01,MAT2002,A01,EXT,68,2026-06-10
MOV50233,PL01,MAT2005,BLK,B02,136,2026-04-19
MOV50234,PL01,MAT2007,A01,A01,71,2026-06-20
MOV50235,PL02,MAT2010,BLK,QH1,220,2026-07-10
MOV50236,PL02,MAT2009,A01,EXT,92,2026-08-11
MOV50237,PL01,MAT2004,B02,C03,189,2026-07-24
MOV50238,PL01,MAT2005,EXT,BLK,174,2026-07-03
MOV50239,PL01,MAT2001,EXT,C03,97,2026-03-29
MOV50240,PL01,MAT2003,BLK,B02,6,2026-05-15
MOV50241,PL01,MAT2007,C03,A01,299,2026-04-08
MOV50242,PL04,MAT2005,A01,B02,4,2026-07-17
MOV50243,PL03,MAT2007,BLK,QH1,299,2026-08-06
MOV50244,PL02,MAT2004,B02,EXT,17,2026-07-19
MOV50245,PL01,MAT2003,A01,C03,194,2026-04-30
MOV50246,PL02,MAT2001,C03,EXT,298,2026-08-18
MOV50247,PL02,MAT2007,BLK,B02,102,2026-06-24
MOV50248,PL01,MAT2006,C03,A01,74,2026-08-03
MOV50249,PL02,MAT2009,QH1,C03,95,2026-04-08
MOV50250,PL04,MAT2010,QH1,A01,295,2026-08-24
MOV50251,PL03,MAT2005,EXT,EXT,223,2026-04-14
MOV50252,PL02,MAT2001,EXT,A01,25,2026-08-08
MOV50253,PL02,MAT2006,B02,BLK,111,2026-06-22
MOV50254,PL03,MAT2009,A01,QH1,257,2026-08-06
MOV50255,PL02,MAT2006,EXT,EXT,136,2026-07-10
MOV50256,PL03,MAT2006,BLK,BLK,283,2026-06-07
MOV50257,PL02,MAT2002,EXT,A01,129,2026-05-17
MOV50258,PL02,MAT2009,A01,EXT,113,2026-07-04
MOV50259,PL02,MAT2009,A01,B02,78,2026-06-14
MOV50260,PL01,MAT2007,A01,B02,234,2026-06-05
MOV50261,PL04,MAT2008,C03,B02,250,2026-04-15
MOV50262,PL01,MAT2010,C03,QH1,139,2026-05-08
MOV50263,PL04,MAT2004,B02,A01,123,2026-04-27
MOV50264,PL02,MAT2007,B02,BLK,57,2026-04-21
MOV50265,PL02,MAT2006,A01,BLK,38,2026-07-08
MOV50266,PL03,MAT2008,C03,BLK,130,2026-04-18
MOV50267,PL02,MAT2010,A01,B02,3,2026-08-24
MOV50268,PL02,MAT2003,EXT,A01,291,2026-08-10
MOV50269,PL01,MAT2006,BLK,B02,232,2026-09-07
MOV50270,PL03,MAT2007,B02,BLK,116,2026-08-27
MOV50271,PL04,MAT2001,B02,C03,42,2026-08-15
MOV50272,PL03,MAT2008,C03,QH1,214,2026-05-25
MOV50273,PL03,MAT2008,BLK,QH1,284,2026-06-14
MOV50274,PL02,MAT2010,A01,A01,14,2026-04-20
MOV50275,PL03,MAT2010,C03,BLK,82,2026-03-27
MOV50276,PL03,MAT2002,C03,B02,69,2026-07-23
MOV50277,PL02,MAT2009,C03,QH1,32,2026-05-04
MOV50278,PL03,MAT2008,A01,EXT,126,2026-03-25
MOV50279,PL03,MAT2008,A01,C03,34,2026-06-06
MOV50280,PL02,MAT2010,C03,B02,130,2026-06-22
MOV50281,PL04,MAT2008,C03,A01,236,2026-06-15
MOV50282,PL04,MAT2009,QH1,BLK,269,2026-04-04
MOV50283,PL02,MAT2007,QH1,C03,178,2026-07-13
MOV50284,PL02,MAT2007,QH1,BLK,118,2026-06-22
MOV50285,PL03,MAT2003,EXT,QH1,298,2026-04-18
MOV50286,PL04,MAT2007,QH1,EXT,207,2026-04-08
MOV50287,PL02,MAT2002,C03,C03,188,2026-08-13
MOV50288,PL04,MAT2008,EXT,QH1,189,2026-05-22
MOV50289,PL02,MAT2004,EXT,B02,289,2026-09-12
MOV50290,PL04,MAT2004,C03,EXT,202,2026-09-01
MOV50291,PL04,MAT2002,A01,BLK,17,2026-08-28
MOV50292,PL01,MAT2010,B02,BLK,284,2026-05-21
MOV50293,PL02,MAT2002,A01,QH1,260,2026-04-23
MOV50294,PL01,MAT2005,BLK,QH1,14,2026-06-29
MOV50295,PL02,MAT2005,BLK,B02,104,2026-04-20
MOV50296,PL01,MAT2008,A01,QH1,261,2026-04-05
MOV50297,PL01,MAT2002,C03,C03,269,2026-04-10
MOV50298,PL03,MAT2009,A01,A01,81,2026-04-15
MOV50299,PL03,MAT2002,A01,QH1,185,2026-09-06
