stock_id,plant_id,material_id,next_7d_demand,next_30d_demand,days_until_next_requirement,demand_source
STK100191,PL02,MAT2010,364,1575,6,Sales
STK100192,PL01,MAT2010,405,1108,4,Production
STK100193,PL01,MAT2010,696,1531,3,Production
STK100194,PL02,MAT2007,42,264,27,Maintenance
STK100195,PL03,MAT2010,323,1450,14,Production
STK100196,PL01,MAT2004,670,741,18,Project
STK100197,PL01,MAT2002,292,605,4,Sales
STK100198,PL04,MAT2003,498,587,1,Maintenance
STK100199,PL02,MAT2009,695,888,7,Project
STK100200,PL04,MAT2001,60,1421,20,Production
STK100201,PL03,MAT2007,262,321,26,Maintenance
STK100202,PL02,MAT2008,59,627,26,Sales
STK100203,PL01,MAT2010,422,820,2,Maintenance
STK100204,PL04,MAT2004,18,294,30,Project
STK100205,PL02,MAT2003,491,898,30,Project
STK100206,PL02,MAT2002,659,1263,24,Production
STK100207,PL01,MAT2010,157,1034,12,Maintenance
STK100208,PL04,MAT2008,550,816,28,Project
STK100209,PL01,MAT2005,293,1538,6,Maintenance
STK100210,PL03,MAT2005,119,1183,28,Production
STK100211,PL03,MAT2005,201,538,28,Maintenance
STK100212,PL04,MAT2008,373,1029,24,Production
STK100213,PL01,MAT2002,522,968,14,Sales
STK100214,PL02,MAT2006,376,960,12,Project
STK100215,PL01,MAT2008,654,1192,2,Maintenance
STK100216,PL02,MAT2010,615,1141,13,Maintenance
STK100217,PL01,MAT2002,161,950,20,Production
STK100218,PL03,MAT2004,475,1080,14,Project
STK100219,PL03,MAT2005,262,1460,12,Sales
