quality_lot_id,plant_id,material_id,quality_qty,quality_reason,status
QH40047,PL04,MAT2006,4,Usage Decision Pending,OPEN
QH40048,PL04,MAT2005,153,Usage Decision Pending,BLOCKED
QH40049,PL02,MAT2003,85,Quality Hold,BLOCKED
QH40050,PL03,MAT2003,119,Quality Hold,OPEN
QH40051,PL03,MAT2004,369,Inspection,IN_INSPECTION
QH40052,PL01,MAT2010,286,Inspection,OPEN
QH40053,PL01,MAT2006,385,Quality Hold,IN_INSPECTION
QH40054,PL01,MAT2002,137,Quality Hold,OPEN
QH40055,PL03,MAT2010,379,Usage Decision Pending,OPEN
QH40056,PL03,MAT2002,186,Usage Decision Pending,BLOCKED
QH40057,PL04,MAT2006,109,Usage Decision Pending,IN_INSPECTION
QH40058,PL03,MAT2007,261,Quality Hold,IN_INSPECTION
QH40059,PL04,MAT2004,4,Inspection,BLOCKED
QH40060,PL04,MAT2009,198,Inspection,BLOCKED
QH40061,PL01,MAT2003,181,Usage Decision Pending,IN_INSPECTION
QH40062,PL01,MAT2006,246,Inspection,OPEN
QH40063,PL04,MAT2004,338,Quality Hold,BLOCKED
QH40064,PL02,MAT2002,81,Quality Hold,BLOCKED
QH40065,PL01,MAT2004,262,Quality Hold,IN_INSPECTION
QH40066,PL02,MAT2007,160,Quality Hold,OPEN
QH40067,PL04,MAT2010,177,Usage Decision Pending,OPEN
QH40068,PL02,MAT2003,232,Quality Hold,OPEN
QH40069,PL01,MAT2010,359,Usage Decision Pending,OPEN
QH40070,PL02,MAT2001,182,Quality Hold,OPEN
QH40071,PL03,MAT2005,269,Inspection,IN_INSPECTION
QH40072,PL03,MAT2010,317,Inspection,BLOCKED
QH40073,PL04,MAT2001,348,Quality Hold,IN_INSPECTION
QH40074,PL03,MAT2010,268,Usage Decision Pending,BLOCKED
QH40075,PL02,MAT2005,353,Inspection,OPEN
QH40076,PL02,MAT2005,13,Usage Decision Pending,IN_INSPECTION
QH40077,PL03,MAT2009,333,Usage Decision Pending,BLOCKED
QH40078,PL04,MAT2001,168,Inspection,BLOCKED
QH40079,PL01,MAT2005,186,Usage Decision Pending,BLOCKED
QH40080,PL03,MAT2005,393,Quality Hold,BLOCKED
QH40081,PL04,MAT2001,113,Quality Hold,BLOCKED
QH40082,PL04,MAT2004,39,Quality Hold,IN_INSPECTION
QH40083,PL02,MAT2010,383,Quality Hold,BLOCKED
QH40084,PL04,MAT2005,290,Usage Decision Pending,BLOCKED
QH40085,PL04,MAT2010,81,Inspection,IN_INSPECTION
QH40086,PL01,MAT2002,24,Inspection,BLOCKED
QH40087,PL04,MAT2004,124,Inspection,OPEN
QH40088,PL03,MAT2004,240,Usage Decision Pending,IN_INSPECTION
QH40089,PL02,MAT2009,231,Quality Hold,IN_INSPECTION
QH40090,PL02,MAT2005,204,Usage Decision Pending,BLOCKED
QH40091,PL01,MAT2007,303,Inspection,IN_INSPECTION
QH40092,PL02,MAT2005,54,Inspection,BLOCKED
QH40093,PL04,MAT2001,257,Inspection,OPEN
QH40094,PL02,MAT2006,256,Usage Decision Pending,OPEN
QH40095,PL02,MAT2001,269,Inspection,IN_INSPECTION
QH40096,PL04,MAT2002,99,Quality Hold,IN_INSPECTION
QH40097,PL02,MAT2010,3,Usage Decision Pending,BLOCKED
QH40098,PL03,MAT2003,357,Inspection,IN_INSPECTION
QH40099,PL02,MAT2001,22,Usage Decision Pending,IN_INSPECTION
QH40100,PL04,MAT2010,391,Quality Hold,OPEN
QH40101,PL01,MAT2005,142,Inspection,BLOCKED
QH40102,PL04,MAT2003,68,Quality Hold,OPEN
QH40103,PL03,MAT2005,316,Inspection,OPEN
QH40104,PL03,MAT2010,157,Usage Decision Pending,IN_INSPECTION
QH40105,PL03,MAT2004,268,Quality Hold,BLOCKED
QH40106,PL01,MAT2009,22,Inspection,IN_INSPECTION
QH40107,PL04,MAT2003,219,Inspection,OPEN
QH40108,PL02,MAT2008,328,Inspection,IN_INSPECTION
QH40109,PL01,MAT2005,143,Quality Hold,IN_INSPECTION
QH40110,PL03,MAT2007,326,Inspection,OPEN
QH40111,PL02,MAT2002,237,Usage Decision Pending,BLOCKED
QH40112,PL03,MAT2007,258,Quality Hold,IN_INSPECTION
QH40113,PL02,MAT2001,182,Usage Decision Pending,OPEN
QH40114,PL02,MAT2002,268,Quality Hold,IN_INSPECTION
QH40115,PL01,MAT2009,380,Inspection,OPEN
QH40116,PL02,MAT2007,298,Quality Hold,BLOCKED
QH40117,PL04,MAT2007,50,Usage Decision Pending,IN_INSPECTION
QH40118,PL01,MAT2001,141,Inspection,BLOCKED
QH40119,PL04,MAT2004,211,Usage Decision Pending,OPEN
QH40120,PL04,MAT2006,230,Usage Decision Pending,BLOCKED
QH40121,PL04,MAT2006,305,Quality Hold,OPEN
QH40122,PL04,MAT2003,25,Quality Hold,OPEN
QH40123,PL04,MAT2007,145,Quality Hold,IN_INSPECTION
QH40124,PL01,MAT2008,368,Usage Decision Pending,IN_INSPECTION
QH40125,PL03,MAT2008,266,Quality Hold,IN_INSPECTION
QH40126,PL01,MAT2003,355,Inspection,IN_INSPECTION
QH40127,PL01,MAT2002,69,Quality Hold,BLOCKED
QH40128,PL01,MAT2007,248,Usage Decision Pending,IN_INSPECTION
QH40129,PL04,MAT2002,332,Inspection,BLOCKED
QH40130,PL02,MAT2005,387,Inspection,IN_INSPECTION
QH40131,PL04,MAT2009,236,Usage Decision Pending,BLOCKED
QH40132,PL04,MAT2001,96,Inspection,IN_INSPECTION
QH40133,PL01,MAT2001,324,Usage Decision Pending,BLOCKED
QH40134,PL04,MAT2007,80,Quality Hold,BLOCKED
QH40135,PL04,MAT2001,275,Quality Hold,IN_INSPECTION
QH40136,PL01,MAT2009,195,Usage Decision Pending,IN_INSPECTION
QH40137,PL04,MAT2006,230,Quality Hold,OPEN
QH40138,PL04,MAT2006,244,Usage Decision Pending,IN_INSPECTION
QH40139,PL01,MAT2010,303,Usage Decision Pending,IN_INSPECTION
QH40140,PL02,MAT2004,23,Inspection,IN_INSPECTION
QH40141,PL02,MAT2002,342,Inspection,OPEN
QH40142,PL04,MAT2010,121,Usage Decision Pending,OPEN
QH40143,PL03,MAT2008,144,Inspection,BLOCKED
QH40144,PL03,MAT2008,102,Usage Decision Pending,BLOCKED
QH40145,PL02,MAT2002,247,Inspection,IN_INSPECTION
QH40146,PL02,MAT2008,333,Quality Hold,OPEN
QH40147,PL03,MAT2010,363,Quality Hold,BLOCKED
QH40148,PL01,MAT2009,380,Quality Hold,BLOCKED
QH40149,PL02,MAT2004,168,Usage Decision Pending,IN_INSPECTION
QH40150,PL04,MAT2005,142,Quality Hold,OPEN
QH40151,PL04,MAT2005,217,Quality Hold,IN_INSPECTION
QH40152,PL03,MAT2005,218,Usage Decision Pending,BLOCKED
QH40153,PL03,MAT2006,10,Usage Decision Pending,IN_INSPECTION
QH40154,PL04,MAT2001,91,Usage Decision Pending,IN_INSPECTION
QH40155,PL04,MAT2001,340,Usage Decision Pending,BLOCKED
QH40156,PL03,MAT2010,18,Quality Hold,OPEN
QH40157,PL02,MAT2007,164,Inspection,BLOCKED
QH40158,PL02,MAT2003,55,Inspection,BLOCKED
QH40159,PL02,MAT2007,83,Quality Hold,BLOCKED
