fg_id,part_id,qty_per,bom_level,part_primary_vendor_id
FG-00030,P-005820,2,1,V-00818
FG-00030,P-002253,2,1,V-00298
FG-00030,P-009128,11,1,V-02482
FG-00031,P-008455,12,1,V-01256
FG-00031,P-006538,8,1,V-01583
FG-00031,P-000886,12,1,V-03376
FG-00031,P-006769,10,1,V-03934
FG-00031,P-009526,3,1,V-03979
FG-00031,P-003079,7,1,V-00845
FG-00032,P-001851,2,1,V-00648
FG-00032,P-004943,5,1,V-02259
FG-00032,P-004671,11,1,V-00373
FG-00032,P-000005,1,1,V-00390
FG-00032,P-000482,12,1,V-00397
FG-00033,P-002521,3,1,V-00811
FG-00033,P-011338,1,1,V-00951
FG-00033,P-011665,12,1,V-00045
FG-00034,P-007699,8,1,V-01127
FG-00034,P-008768,7,1,V-00470
FG-00034,P-010679,5,1,V-00740
FG-00034,P-011101,12,1,V-00673
FG-00034,P-005975,12,1,V-01179
FG-00034,P-001321,7,1,V-00605
FG-00035,P-002039,12,1,V-00629
FG-00035,P-011645,6,1,V-00588
FG-00035,P-010190,12,1,V-00894
FG-00035,P-002570,10,1,V-01008
FG-00036,P-007372,1,1,V-00941
FG-00036,P-010333,4,1,V-00959
FG-00036,P-008256,6,1,V-01129
FG-00036,P-003496,1,1,V-00286
FG-00036,P-001868,1,1,V-00585
FG-00036,P-007374,5,1,V-00790
FG-00037,P-011223,3,1,V-00612
FG-00037,P-002081,8,1,V-03208
FG-00037,P-004070,3,1,V-01046
FG-00037,P-004707,2,1,V-00387
FG-00037,P-001018,12,1,V-00584
FG-00037,P-007809,4,1,V-01084
FG-00038,P-003131,9,1,V-02659
FG-00038,P-009403,6,1,V-00792
FG-00038,P-011708,5,1,V-00769
FG-00038,P-001145,7,1,V-03338
FG-00038,P-003575,2,1,V-03411
FG-00038,P-005530,12,1,V-02690
FG-00039,P-009065,2,1,V-03491
FG-00039,P-005503,11,1,V-00322
FG-00039,P-005108,5,1,V-00071
FG-00039,P-001522,7,1,V-01033
FG-00040,P-006120,2,1,V-03356
FG-00040,P-008443,6,1,V-00748
FG-00040,P-007167,9,1,V-03100
FG-00040,P-002708,4,1,V-02465
FG-00040,P-004301,9,1,V-02281
FG-00040,P-010598,7,1,V-03096
FG-00041,P-000126,12,1,V-00345
FG-00041,P-006076,8,1,V-00788
FG-00041,P-007511,5,1,V-00163
FG-00041,P-004479,12,1,V-03923
FG-00041,P-004547,10,1,V-00627
FG-00042,P-007117,8,1,V-00717
FG-00042,P-009312,1,1,V-00457
FG-00042,P-009892,12,1,V-01087
FG-00042,P-000449,6,1,V-00550
FG-00042,P-010304,4,1,V-02510
FG-00042,P-007338,11,1,V-01139
FG-00042,P-005845,2,1,V-00109
FG-00043,P-010870,2,1,V-00972
FG-00043,P-004256,8,1,V-00571
FG-00043,P-006963,10,1,V-00039
FG-00043,P-006504,7,1,V-00773
FG-00043,P-006385,10,1,V-01164
FG-00043,P-004909,10,1,V-01150
FG-00043,P-001378,4,1,V-01044
FG-00044,P-000866,12,1,V-00679
FG-00044,P-006704,2,1,V-02298
FG-00044,P-000597,12,1,V-01074
FG-00044,P-001954,5,1,V-03514
FG-00044,P-006672,5,1,V-00213
FG-00045,P-003433,2,1,V-00905
FG-00045,P-005518,9,1,V-03631
FG-00045,P-008822,6,1,V-01067
FG-00045,P-008093,11,1,V-00925
FG-00046,P-011836,9,1,V-00628
FG-00046,P-010400,12,1,V-03439
FG-00046,P-011033,11,1,V-01607
FG-00047,P-003935,10,1,V-00503
FG-00047,P-005086,8,1,V-02609
FG-00047,P-001171,7,1,V-02314
FG-00048,P-011620,8,1,V-00742
FG-00048,P-006172,9,1,V-00460
FG-00048,P-011918,10,1,V-00274
FG-00048,P-003196,8,1,V-00697
FG-00049,P-001155,4,1,V-03296
FG-00049,P-000691,12,1,V-02586
FG-00049,P-008597,9,1,V-00259
FG-00049,P-002212,10,1,V-00050
FG-00050,P-007942,7,1,V-00998
FG-00050,P-002910,7,1,V-02571
FG-00050,P-008873,9,1,V-00744
FG-00050,P-000933,5,1,V-00263
FG-00051,P-006546,10,1,V-02577
FG-00051,P-003003,7,1,V-00168
FG-00051,P-002700,11,1,V-01152
FG-00051,P-011222,3,1,V-00543
FG-00051,P-003735,3,1,V-00545
FG-00051,P-009309,10,1,V-00841
FG-00052,P-007929,3,1,V-02168
FG-00052,P-009048,10,1,V-00559
FG-00052,P-009929,1,1,V-00913
FG-00053,P-004911,4,1,V-00195
FG-00053,P-006413,7,1,V-00628
FG-00053,P-001332,9,1,V-00576
FG-00054,P-001824,3,1,V-00824
FG-00054,P-004724,1,1,V-00841
FG-00054,P-010416,11,1,V-01105
FG-00054,P-006371,2,1,V-02568
FG-00054,P-005375,11,1,V-04253
FG-00055,P-007478,6,1,V-00972
FG-00055,P-006410,1,1,V-02132
FG-00055,P-001395,4,1,V-00917
FG-00055,P-006734,10,1,V-00499
FG-00055,P-008086,10,1,V-01780
FG-00056,P-007560,5,1,V-00097
FG-00056,P-004372,9,1,V-02524
FG-00056,P-009789,2,1,V-01188
FG-00056,P-009245,4,1,V-00607
FG-00056,P-004552,12,1,V-00281
FG-00056,P-008890,5,1,V-00743
FG-00057,P-004556,2,1,V-03638
FG-00057,P-010931,4,1,V-00780
FG-00057,P-006866,6,1,V-00139
FG-00057,P-002897,10,1,V-04160
FG-00057,P-005297,7,1,V-03044
FG-00057,P-008941,1,1,V-01150
FG-00057,P-011289,5,1,V-00572
FG-00058,P-009962,12,1,V-01047
FG-00058,P-007114,6,1,V-01920
FG-00058,P-006962,4,1,V-00106
FG-00058,P-009910,11,1,V-01036
FG-00058,P-009481,7,1,V-01091
FG-00058,P-007402,7,1,V-03572
FG-00058,P-008918,7,1,V-00748
FG-00059,P-001572,6,1,V-00670
FG-00059,P-010809,6,1,V-00231
FG-00059,P-004179,7,1,V-00994
FG-00059,P-002527,10,1,V-00473
FG-00059,P-005246,5,1,V-00883
FG-00060,P-004016,12,1,V-00666
FG-00060,P-000695,8,1,V-01335
FG-00060,P-010810,7,1,V-00506
FG-00061,P-002376,11,1,V-01535
FG-00061,P-004125,9,1,V-00612
FG-00061,P-011855,12,1,V-00418
FG-00061,P-011660,10,1,V-00664
FG-00062,P-007265,11,1,V-00664
FG-00062,P-007032,8,1,V-00722
FG-00062,P-000565,4,1,V-00619
FG-00062,P-010812,8,1,V-00639
FG-00063,P-011826,5,1,V-00992
FG-00063,P-005070,9,1,V-00534
FG-00063,P-000987,5,1,V-01183
FG-00063,P-004783,7,1,V-00964
FG-00063,P-009968,5,1,V-00983
FG-00063,P-009511,6,1,V-00038
FG-00063,P-001430,7,1,V-00247
FG-00064,P-000643,12,1,V-00926
FG-00064,P-010175,6,1,V-02539
FG-00064,P-002118,8,1,V-00149
FG-00064,P-007181,1,1,V-01200
FG-00064,P-005409,1,1,V-01350
FG-00064,P-000354,10,1,V-00644
FG-00064,P-002369,8,1,V-02783
FG-00065,P-002909,10,1,V-01186
FG-00065,P-009251,11,1,V-00885
FG-00065,P-004281,3,1,V-00138
FG-00066,P-005119,1,1,V-00990
FG-00066,P-004181,8,1,V-00499
FG-00066,P-004814,5,1,V-00187
FG-00067,P-011779,3,1,V-00752
FG-00067,P-001098,5,1,V-00836
FG-00067,P-001867,9,1,V-01779
FG-00067,P-006642,10,1,V-03968
FG-00067,P-008227,10,1,V-02664
FG-00067,P-000922,1,1,V-02025
FG-00067,P-005436,7,1,V-00098
FG-00068,P-004677,7,1,V-04148
FG-00068,P-005339,9,1,V-00825
FG-00068,P-006757,10,1,V-00712
FG-00068,P-009444,12,1,V-04202
FG-00068,P-004318,1,1,V-01173
FG-00068,P-011073,10,1,V-00385
FG-00068,P-011215,5,1,V-00894
FG-00069,P-005859,8,1,V-03300
FG-00069,P-004928,9,1,V-00915
FG-00069,P-005278,10,1,V-01008
FG-00070,P-009127,10,1,V-01134
FG-00070,P-001733,7,1,V-00194
FG-00070,P-004026,1,1,V-04183
FG-00070,P-007018,2,1,V-04219
FG-00070,P-010153,8,1,V-03865
FG-00070,P-005679,9,1,V-00752
FG-00071,P-008215,3,1,V-00270
FG-00071,P-003396,11,1,V-00289
FG-00071,P-009768,4,1,V-00922
FG-00071,P-005793,7,1,V-00190
FG-00071,P-006410,10,1,V-02132
FG-00071,P-006701,8,1,V-00608
FG-00072,P-005767,7,1,V-00406
FG-00072,P-000262,1,1,V-02112
FG-00072,P-008671,12,1,V-00408
FG-00072,P-004468,5,1,V-00078
FG-00072,P-005421,10,1,V-01186
FG-00072,P-000166,6,1,V-02050
FG-00073,P-007153,2,1,V-00313
FG-00073,P-008445,10,1,V-00915
FG-00073,P-004832,6,1,V-03201
FG-00073,P-003180,5,1,V-00512
FG-00074,P-007745,6,1,V-01019
FG-00074,P-010433,8,1,V-00595
FG-00074,P-010393,12,1,V-00536
FG-00074,P-007523,6,1,V-00105
FG-00074,P-006960,6,1,V-01784
FG-00074,P-008625,7,1,V-02294
FG-00075,P-005726,7,1,V-03090
FG-00075,P-009548,9,1,V-00332
FG-00075,P-006923,12,1,V-02015
FG-00075,P-008507,11,1,V-02077
FG-00075,P-010073,10,1,V-00893
FG-00076,P-008748,7,1,V-00445
FG-00076,P-011715,11,1,V-00107
FG-00076,P-008757,2,1,V-00222
FG-00076,P-006269,4,1,V-00515
FG-00077,P-001000,2,1,V-00672
FG-00077,P-000906,10,1,V-00399
FG-00077,P-011854,4,1,V-00743
FG-00077,P-010137,9,1,V-03933
FG-00078,P-000943,4,1,V-00377
FG-00078,P-006293,12,1,V-00253
FG-00078,P-003827,9,1,V-00518
FG-00078,P-008762,2,1,V-01046
FG-00078,P-008840,8,1,V-00062
FG-00078,P-010161,11,1,V-00633
FG-00078,P-009033,1,1,V-00923
FG-00079,P-011330,5,1,V-00585
FG-00079,P-003493,2,1,V-00017
FG-00079,P-003593,8,1,V-00672
FG-00079,P-011496,4,1,V-00327
FG-00079,P-007844,11,1,V-03120
FG-00080,P-000195,5,1,V-00385
FG-00080,P-010372,4,1,V-00802
FG-00080,P-002523,4,1,V-00542
FG-00080,P-008944,8,1,V-01205
FG-00080,P-006107,1,1,V-00627
FG-00080,P-007652,1,1,V-01360
FG-00081,P-007463,12,1,V-01178
FG-00081,P-006138,3,1,V-00574
FG-00081,P-000930,2,1,V-01923
FG-00081,P-005227,6,1,V-00171
FG-00082,P-006756,9,1,V-01127
FG-00082,P-010256,7,1,V-00695
FG-00082,P-007238,6,1,V-03182
FG-00083,P-010989,12,1,V-01121
FG-00083,P-010218,7,1,V-00574
FG-00083,P-000529,8,1,V-00540
FG-00083,P-011356,8,1,V-01066
FG-00084,P-004286,4,1,V-02246
FG-00084,P-009453,12,1,V-01131
FG-00084,P-011198,7,1,V-01064
FG-00085,P-005782,9,1,V-00940
FG-00085,P-007068,1,1,V-00163
FG-00085,P-001235,1,1,V-00750
FG-00086,P-000996,5,1,V-03085
FG-00086,P-008404,1,1,V-00360
FG-00086,P-008718,1,1,V-00759
FG-00086,P-010385,8,1,V-01157
FG-00086,P-002335,5,1,V-00204
FG-00086,P-002432,3,1,V-00682
FG-00087,P-009805,2,1,V-00305
FG-00087,P-006631,9,1,V-00597
FG-00087,P-011536,1,1,V-00136
FG-00087,P-010971,3,1,V-00307
FG-00088,P-003679,12,1,V-02381
FG-00088,P-004997,10,1,V-00039
FG-00088,P-000049,7,1,V-00279
FG-00088,P-008400,7,1,V-00078
FG-00088,P-009861,9,1,V-00033
FG-00089,P-004803,5,1,V-00572
FG-00089,P-000658,2,1,V-00456
FG-00089,P-005620,8,1,V-00658
FG-00090,P-008505,4,1,V-02436
FG-00090,P-004023,12,1,V-00376
FG-00090,P-006945,8,1,V-00436
FG-00090,P-011552,7,1,V-02875
FG-00090,P-008775,1,1,V-00787
FG-00090,P-002825,1,1,V-02579
FG-00091,P-006799,7,1,V-01759
FG-00091,P-000677,10,1,V-02160
FG-00091,P-006959,10,1,V-03101
FG-00092,P-006431,2,1,V-00338
FG-00092,P-000531,12,1,V-02074
FG-00092,P-006667,2,1,V-02744
FG-00092,P-006035,7,1,V-01167
FG-00092,P-011014,1,1,V-00694
FG-00093,P-007197,4,1,V-00640
FG-00093,P-009111,1,1,V-00789
FG-00093,P-006651,4,1,V-02990
FG-00093,P-003328,2,1,V-00255
FG-00093,P-011776,2,1,V-00361
FG-00093,P-007260,1,1,V-01047
FG-00093,P-000352,7,1,V-01089
FG-00094,P-002493,12,1,V-00671
FG-00094,P-002487,5,1,V-02861
FG-00094,P-011318,8,1,V-00281
FG-00095,P-004518,6,1,V-00048
FG-00095,P-005900,11,1,V-01033
FG-00095,P-007468,8,1,V-00443
FG-00095,P-001213,9,1,V-01010
FG-00095,P-004997,1,1,V-00039
FG-00095,P-011580,3,1,V-00463
FG-00095,P-006283,1,1,V-03502
FG-00096,P-008345,10,1,V-00801
FG-00096,P-007022,7,1,V-00732
FG-00096,P-008054,3,1,V-01191
FG-00096,P-010586,3,1,V-00476
FG-00096,P-000646,5,1,V-01134
FG-00096,P-005442,11,1,V-00889
FG-00096,P-008436,9,1,V-00891
FG-00097,P-000715,7,1,V-00924
FG-00097,P-000735,12,1,V-00061
FG-00097,P-001954,10,1,V-03514
FG-00097,P-005237,9,1,V-00630
FG-00097,P-002320,7,1,V-02312
FG-00098,P-007933,3,1,V-00879
FG-00098,P-006632,3,1,V-00729
FG-00098,P-009471,3,1,V-00697
FG-00098,P-001963,1,1,V-00767
FG-00098,P-009065,8,1,V-03491
FG-00098,P-006840,8,1,V-00637
FG-00098,P-007848,10,1,V-01963
FG-00099,P-000693,3,1,V-00835
FG-00099,P-000764,1,1,V-03920
FG-00099,P-009037,1,1,V-00351
FG-00099,P-010878,11,1,V-00513
FG-00099,P-010148,9,1,V-03894
FG-00099,P-004348,5,1,V-00319
FG-00100,P-001682,3,1,V-00071
FG-00100,P-001871,4,1,V-00684
FG-00100,P-007195,11,1,V-02225
FG-00100,P-004239,1,1,V-00764
FG-00101,P-002159,1,1,V-00069
FG-00101,P-011940,2,1,V-00999
FG-00101,P-002386,4,1,V-00976
FG-00101,P-000121,9,1,V-01465
FG-00101,P-009530,5,1,V-00817
FG-00101,P-004675,2,1,V-00406
FG-00101,P-011889,11,1,V-01811
FG-00102,P-005923,10,1,V-01263
FG-00102,P-006716,6,1,V-00204
FG-00102,P-002057,2,1,V-00066
FG-00102,P-000259,1,1,V-01155
FG-00102,P-008043,6,1,V-01064
FG-00103,P-008912,8,1,V-00463
FG-00103,P-010967,5,1,V-00471
FG-00103,P-003022,1,1,V-02232
FG-00103,P-010986,11,1,V-04064
FG-00103,P-007386,4,1,V-00783
FG-00103,P-010216,8,1,V-00285
FG-00104,P-010557,3,1,V-01012
FG-00104,P-003288,3,1,V-00449
FG-00104,P-005341,4,1,V-02522
FG-00104,P-006620,8,1,V-00469
FG-00104,P-007517,9,1,V-00064
FG-00104,P-004950,7,1,V-00424
FG-00105,P-002427,5,1,V-00353
FG-00105,P-011687,8,1,V-01426
FG-00105,P-000306,3,1,V-00086
FG-00105,P-001560,2,1,V-01148
FG-00105,P-001234,3,1,V-00203
FG-00105,P-007744,7,1,V-01123
FG-00106,P-000799,11,1,V-00322
FG-00106,P-004244,11,1,V-00683
FG-00106,P-007745,4,1,V-01019
FG-00106,P-004886,12,1,V-01230
FG-00106,P-002808,9,1,V-01168
FG-00106,P-003122,8,1,V-01194
FG-00106,P-005298,8,1,V-00870
FG-00107,P-000783,3,1,V-00711
FG-00107,P-011128,5,1,V-01016
FG-00107,P-010466,8,1,V-00663
FG-00108,P-008976,1,1,V-00738
FG-00108,P-010611,9,1,V-00482
FG-00108,P-003258,7,1,V-00160
FG-00108,P-003105,11,1,V-00400
FG-00108,P-008769,10,1,V-00380
FG-00108,P-004069,10,1,V-00335
FG-00109,P-001848,11,1,V-00011
FG-00109,P-008346,1,1,V-00262
FG-00109,P-008577,9,1,V-00896
FG-00109,P-009620,4,1,V-00497
FG-00110,P-007380,11,1,V-00821
FG-00110,P-006251,8,1,V-00037
FG-00110,P-011709,4,1,V-03927
FG-00110,P-009706,2,1,V-01321
FG-00110,P-011324,10,1,V-02774
FG-00110,P-002740,6,1,V-02506
FG-00110,P-009756,5,1,V-01093
FG-00111,P-005102,11,1,V-00304
FG-00111,P-003692,2,1,V-00866
FG-00111,P-000095,5,1,V-01130
FG-00111,P-003860,6,1,V-01032
FG-00111,P-003066,2,1,V-00408
FG-00111,P-000728,11,1,V-00919
FG-00111,P-001798,10,1,V-01020
FG-00112,P-011038,3,1,V-00927
FG-00112,P-000029,4,1,V-01690
FG-00112,P-006242,8,1,V-03735
FG-00112,P-006984,6,1,V-01124
FG-00112,P-004329,8,1,V-01145
FG-00112,P-002075,6,1,V-00863
FG-00113,P-000127,7,1,V-00244
FG-00113,P-004412,6,1,V-00110
FG-00113,P-001151,1,1,V-01437
FG-00113,P-001670,12,1,V-00737
FG-00113,P-001269,11,1,V-00063
FG-00113,P-006459,4,1,V-01019
FG-00114,P-005454,10,1,V-03452
FG-00114,P-007249,10,1,V-02300
FG-00114,P-001188,6,1,V-00924
FG-00114,P-003913,7,1,V-01085
FG-00115,P-008535,8,1,V-00716
FG-00115,P-006727,2,1,V-00678
FG-00115,P-002771,5,1,V-00012
FG-00115,P-006150,4,1,V-00017
FG-00116,P-003634,7,1,V-01641
FG-00116,P-002954,8,1,V-02872
FG-00116,P-002739,1,1,V-01028
FG-00116,P-009787,4,1,V-03269
FG-00116,P-006685,2,1,V-01092
FG-00116,P-010100,6,1,V-00395
FG-00116,P-008107,4,1,V-00559
FG-00117,P-007272,4,1,V-00406
FG-00117,P-000847,9,1,V-04258
FG-00117,P-003316,4,1,V-00693
FG-00117,P-005055,4,1,V-00595
FG-00118,P-004379,6,1,V-00941
FG-00118,P-009227,5,1,V-00969
FG-00118,P-004720,10,1,V-00258
FG-00118,P-008276,10,1,V-03698
FG-00118,P-006583,8,1,V-00054
FG-00118,P-007475,5,1,V-00277
FG-00119,P-010255,11,1,V-01010
FG-00119,P-005425,2,1,V-00429
FG-00119,P-004717,2,1,V-00552
FG-00120,P-005015,7,1,V-03187
FG-00120,P-005914,6,1,V-00656
FG-00120,P-005288,4,1,V-02211
FG-00121,P-000301,6,1,V-01162
FG-00121,P-001619,3,1,V-03424
FG-00121,P-007461,3,1,V-01081
FG-00121,P-006776,9,1,V-01045
FG-00121,P-007388,3,1,V-00898
FG-00122,P-000210,10,1,V-00527
FG-00122,P-005474,9,1,V-01756
FG-00122,P-011818,8,1,V-00346
FG-00122,P-010943,4,1,V-00157
FG-00122,P-009056,2,1,V-01124
FG-00122,P-010277,10,1,V-00365
FG-00122,P-007808,9,1,V-00931
FG-00123,P-001908,1,1,V-04161
FG-00123,P-005492,1,1,V-00242
FG-00123,P-007980,10,1,V-00730
FG-00123,P-001448,12,1,V-01180
FG-00123,P-003643,4,1,V-02971
FG-00123,P-006222,6,1,V-01179
FG-00124,P-003204,11,1,V-00617
FG-00124,P-010067,3,1,V-00686
FG-00124,P-003584,3,1,V-00225
FG-00124,P-005812,5,1,V-02801
FG-00124,P-002560,10,1,V-03389
FG-00124,P-009458,5,1,V-04061
FG-00125,P-005150,11,1,V-00624
FG-00125,P-005343,8,1,V-01160
FG-00125,P-002139,10,1,V-01701
FG-00125,P-011402,6,1,V-00751
FG-00125,P-002421,7,1,V-04178
FG-00125,P-003384,6,1,V-00003
FG-00125,P-005610,10,1,V-00790
FG-00126,P-008136,4,1,V-01723
FG-00126,P-006821,1,1,V-01190
FG-00126,P-009662,1,1,V-01151
FG-00126,P-005025,5,1,V-02820
FG-00126,P-010484,3,1,V-01175
FG-00126,P-006538,9,1,V-01583
FG-00127,P-007999,11,1,V-00469
FG-00127,P-011385,8,1,V-01063
FG-00127,P-005544,4,1,V-03163
FG-00127,P-011569,3,1,V-03193
FG-00127,P-008192,4,1,V-00832
FG-00127,P-003434,6,1,V-02457
FG-00128,P-010358,2,1,V-00746
FG-00128,P-011916,6,1,V-00633
FG-00128,P-007665,1,1,V-00490
FG-00128,P-003125,6,1,V-01129
FG-00129,P-011556,10,1,V-01643
FG-00129,P-010966,5,1,V-00966
FG-00129,P-010434,5,1,V-00458
FG-00129,P-006498,1,1,V-00001
FG-00129,P-011760,9,1,V-00560
FG-00129,P-009131,11,1,V-02791
FG-00129,P-003955,11,1,V-00806
FG-00130,P-001018,4,1,V-00584
FG-00130,P-006767,5,1,V-04297
FG-00130,P-010689,3,1,V-02585
FG-00130,P-001822,1,1,V-00746
FG-00130,P-003386,1,1,V-02939
FG-00130,P-006275,2,1,V-01042
FG-00130,P-009266,6,1,V-01599
FG-00131,P-007023,7,1,V-00359
FG-00131,P-005907,9,1,V-00256
FG-00131,P-004429,3,1,V-00452
FG-00131,P-009920,11,1,V-00421
FG-00131,P-000811,9,1,V-00045
FG-00131,P-003188,8,1,V-00434
FG-00132,P-002671,10,1,V-01190
FG-00132,P-007075,5,1,V-00615
FG-00132,P-003740,10,1,V-00204
FG-00132,P-001070,4,1,V-00218
FG-00132,P-006800,5,1,V-03800
FG-00132,P-010812,6,1,V-00639
FG-00132,P-007442,11,1,V-01103
FG-00133,P-009531,4,1,V-01411
FG-00133,P-000873,9,1,V-00073
FG-00133,P-008427,11,1,V-00721
FG-00133,P-010768,4,1,V-01399
FG-00133,P-003724,10,1,V-00992
FG-00133,P-011768,9,1,V-00153
FG-00134,P-010010,7,1,V-01103
FG-00134,P-007893,11,1,V-00494
FG-00134,P-001741,11,1,V-02842
FG-00134,P-005882,2,1,V-00286
FG-00134,P-010772,4,1,V-00446
FG-00134,P-001936,9,1,V-00951
FG-00134,P-005391,1,1,V-00613
FG-00135,P-001732,2,1,V-00788
FG-00135,P-003209,9,1,V-00532
FG-00135,P-006035,12,1,V-01167
FG-00135,P-001866,7,1,V-00530
FG-00135,P-009183,1,1,V-00660
