po_number,po_item,supplier_id,confirmation_id,confirmation_type,confirmation_timestamp_or_date,confirmed_qty,confirmation_channel
450010046,00070,SUP1002,CONF1004605,CH,2026-10-08,277,EDI
450010046,00070,SUP1002,CONF1004606,CH,2026-10-10,277,PORTAL
450010047,00080,SUP1006,CONF1004701,AB,2026-09-28,825,EDI
450010047,00080,SUP1006,CONF1004702,CH,2026-09-30,825,PORTAL
450010048,00010,SUP1004,CONF1004801,AB,2026-10-05,563,EDI
450010048,00010,SUP1004,CONF1004802,CH,2026-10-07,563,PORTAL
450010049,00020,SUP1003,CONF1004901,AB,2026-09-24,708,EDI
450010049,00020,SUP1003,CONF1004902,CH,2026-09-26,708,PORTAL
450010050,00030,SUP1001,CONF1005001,AB,2026-10-07,120,EDI
450010050,00030,SUP1001,CONF1005002,CH,2026-10-09,120,PORTAL
450010051,00040,SUP1008,CONF1005101,AB,2026-10-01,83,EDI
450010051,00040,SUP1008,CONF1005102,CH,2026-10-03,83,PORTAL
450010052,00050,SUP1007,CONF1005201,AB,2026-10-04,684,EDI
450010053,00060,SUP1005,CONF1005301,AB,2026-10-10,180,EDI
450010054,00070,SUP1002,CONF1005401,AB,2026-09-30,304,EDI
450010054,00070,SUP1002,CONF1005402,CH,2026-10-02,304,PORTAL
450010054,00070,SUP1002,CONF1005403,CH,2026-10-04,304,EDI
450010054,00070,SUP1002,CONF1005404,CH,2026-10-06,304,PORTAL
450010054,00070,SUP1002,CONF1005405,CH,2026-10-08,304,EDI
450010055,00080,SUP1006,CONF1005501,AB,2026-10-11,448,EDI
450010056,00010,SUP1004,CONF1005601,AB,2026-09-27,566,EDI
450010056,00010,SUP1004,CONF1005602,CH,2026-09-29,566,PORTAL
450010057,00020,SUP1003,CONF1005701,AB,2026-09-19,361,EDI
450010057,00020,SUP1003,CONF1005702,CH,2026-09-21,361,PORTAL
450010058,00030,SUP1001,CONF1005801,AB,2026-09-26,835,EDI
450010059,00040,SUP1008,CONF1005901,AB,2026-09-16,689,EDI
450010059,00040,SUP1008,CONF1005902,CH,2026-09-18,689,PORTAL
450010060,00050,SUP1007,CONF1006001,AB,2026-10-04,670,EDI
450010060,00050,SUP1007,CONF1006002,CH,2026-10-06,670,PORTAL
450010061,00060,SUP1005,CONF1006101,AB,2026-10-10,416,EDI
450010061,00060,SUP1005,CONF1006102,CH,2026-10-12,416,PORTAL
450010062,00070,SUP1002,CONF1006201,AB,2026-09-25,349,EDI
450010062,00070,SUP1002,CONF1006202,CH,2026-09-27,349,PORTAL
450010062,00070,SUP1002,CONF1006203,CH,2026-09-29,349,EDI
450010062,00070,SUP1002,CONF1006204,CH,2026-10-01,349,PORTAL
450010063,00080,SUP1006,CONF1006301,AB,2026-09-24,127,EDI
450010064,00010,SUP1004,CONF1006401,AB,2026-10-11,974,EDI
450010064,00010,SUP1004,CONF1006402,CH,2026-10-13,974,PORTAL
450010065,00020,SUP1003,CONF1006501,AB,2026-10-01,643,EDI
450010066,00030,SUP1001,CONF1006601,AB,2026-10-07,714,EDI
450010066,00030,SUP1001,CONF1006602,CH,2026-10-09,714,PORTAL
450010067,00040,SUP1008,CONF1006701,AB,2026-10-16,957,EDI
450010068,00050,SUP1007,CONF1006801,AB,2026-09-22,897,EDI
450010069,00060,SUP1005,CONF1006901,AB,2026-09-21,546,EDI
450010069,00060,SUP1005,CONF1006902,CH,2026-09-23,546,PORTAL
450010070,00070,SUP1002,CONF1007001,AB,2026-09-19,989,EDI
450010070,00070,SUP1002,CONF1007002,CH,2026-09-21,989,PORTAL
450010070,00070,SUP1002,CONF1007003,CH,2026-09-23,989,EDI
450010070,00070,SUP1002,CONF1007004,CH,2026-09-25,989,PORTAL
450010070,00070,SUP1002,CONF1007005,CH,2026-09-27,989,EDI
450010071,00080,SUP1006,CONF1007101,AB,2026-10-02,728,EDI
450010071,00080,SUP1006,CONF1007102,CH,2026-10-04,728,PORTAL
450010072,00010,SUP1004,CONF1007201,AB,2026-09-24,892,EDI
450010073,00020,SUP1003,CONF1007301,AB,2026-10-12,901,EDI
450010074,00030,SUP1001,CONF1007401,AB,2026-10-14,340,EDI
450010074,00030,SUP1001,CONF1007402,CH,2026-10-16,340,PORTAL
450010075,00040,SUP1008,CONF1007501,AB,2026-09-27,967,EDI
450010076,00050,SUP1007,CONF1007601,AB,2026-09-29,459,EDI
450010076,00050,SUP1007,CONF1007602,CH,2026-10-01,459,PORTAL
450010077,00060,SUP1005,CONF1007701,AB,2026-10-05,307,EDI
450010078,00070,SUP1002,CONF1007801,AB,2026-10-08,71,EDI
450010078,00070,SUP1002,CONF1007802,CH,2026-10-10,71,PORTAL
450010078,00070,SUP1002,CONF1007803,CH,2026-10-12,71,EDI
450010079,00080,SUP1006,CONF1007901,AB,2026-10-01,783,EDI
450010079,00080,SUP1006,CONF1007902,CH,2026-10-03,783,PORTAL
450010080,00010,SUP1004,CONF1008001,AB,2026-09-21,249,EDI
450010081,00020,SUP1003,CONF1008101,AB,2026-10-03,279,EDI
450010082,00030,SUP1001,CONF1008201,AB,2026-10-05,801,EDI
450010082,00030,SUP1001,CONF1008202,CH,2026-10-07,801,PORTAL
450010083,00040,SUP1008,CONF1008301,AB,2026-09-26,97,EDI
450010083,00040,SUP1008,CONF1008302,CH,2026-09-28,97,PORTAL
450010084,00050,SUP1007,CONF1008401,AB,2026-10-06,799,EDI
450010084,00050,SUP1007,CONF1008402,CH,2026-10-08,799,PORTAL
450010085,00060,SUP1005,CONF1008501,AB,2026-09-25,210,EDI
450010086,00070,SUP1002,CONF1008601,AB,2026-10-01,598,EDI
450010086,00070,SUP1002,CONF1008602,CH,2026-10-03,598,PORTAL
450010086,00070,SUP1002,CONF1008603,CH,2026-10-05,598,EDI
450010086,00070,SUP1002,CONF1008604,CH,2026-10-07,598,PORTAL
450010086,00070,SUP1002,CONF1008605,CH,2026-10-09,598,EDI
450010086,00070,SUP1002,CONF1008606,CH,2026-10-11,598,PORTAL
450010086,00070,SUP1002,CONF1008607,CH,2026-10-13,598,EDI
450010087,00080,SUP1006,CONF1008701,AB,2026-09-23,721,EDI
450010088,00010,SUP1004,CONF1008801,AB,2026-09-26,613,EDI
450010088,00010,SUP1004,CONF1008802,CH,2026-09-28,613,PORTAL
450010089,00020,SUP1003,CONF1008901,AB,2026-09-24,460,EDI
450010090,00030,SUP1001,CONF1009001,AB,2026-09-30,744,EDI
450010090,00030,SUP1001,CONF1009002,CH,2026-10-02,744,PORTAL
450010091,00040,SUP1008,CONF1009101,AB,2026-10-04,763,EDI
450010092,00050,SUP1007,CONF1009201,AB,2026-09-23,356,EDI
450010092,00050,SUP1007,CONF1009202,CH,2026-09-25,356,PORTAL
450010093,00060,SUP1005,CONF1009301,AB,2026-10-05,58,EDI
450010093,00060,SUP1005,CONF1009302,CH,2026-10-07,58,PORTAL
450010094,00070,SUP1002,CONF1009401,AB,2026-09-24,300,EDI
450010094,00070,SUP1002,CONF1009402,CH,2026-09-26,300,PORTAL
450010094,00070,SUP1002,CONF1009403,CH,2026-09-28,300,EDI
450010094,00070,SUP1002,CONF1009404,CH,2026-09-30,300,PORTAL
450010094,00070,SUP1002,CONF1009405,CH,2026-10-02,300,EDI
450010094,00070,SUP1002,CONF1009406,CH,2026-10-04,300,PORTAL
450010095,00080,SUP1006,CONF1009501,AB,2026-10-13,413,EDI
450010095,00080,SUP1006,CONF1009502,CH,2026-10-15,413,PORTAL
450010096,00010,SUP1004,CONF1009601,AB,2026-09-23,600,EDI
450010096,00010,SUP1004,CONF1009602,CH,2026-09-25,600,PORTAL
450010097,00020,SUP1003,CONF1009701,AB,2026-09-25,452,EDI
450010098,00030,SUP1001,CONF1009801,AB,2026-10-05,687,EDI
450010098,00030,SUP1001,CONF1009802,CH,2026-10-07,687,PORTAL
450010099,00040,SUP1008,CONF1009901,AB,2026-09-26,412,EDI
450010099,00040,SUP1008,CONF1009902,CH,2026-09-28,412,PORTAL
450010100,00050,SUP1007,CONF1010001,AB,2026-10-12,203,EDI
450010101,00060,SUP1005,CONF1010101,AB,2026-10-15,471,EDI
450010102,00070,SUP1002,CONF1010201,AB,2026-10-04,423,EDI
450010102,00070,SUP1002,CONF1010202,CH,2026-10-06,423,PORTAL
450010102,00070,SUP1002,CONF1010203,CH,2026-10-08,423,EDI
450010102,00070,SUP1002,CONF1010204,CH,2026-10-10,423,PORTAL
450010103,00080,SUP1006,CONF1010301,AB,2026-09-30,317,EDI
450010103,00080,SUP1006,CONF1010302,CH,2026-10-02,317,PORTAL
450010104,00010,SUP1004,CONF1010401,AB,2026-09-30,865,EDI
450010105,00020,SUP1003,CONF1010501,AB,2026-09-26,892,EDI
450010106,00030,SUP1001,CONF1010601,AB,2026-09-29,528,EDI
450010107,00040,SUP1008,CONF1010701,AB,2026-10-10,75,EDI
450010108,00050,SUP1007,CONF1010801,AB,2026-09-24,980,EDI
450010109,00060,SUP1005,CONF1010901,AB,2026-09-19,359,EDI
450010110,00070,SUP1002,CONF1011001,AB,2026-09-22,749,EDI
450010110,00070,SUP1002,CONF1011002,CH,2026-09-24,749,PORTAL
450010110,00070,SUP1002,CONF1011003,CH,2026-09-26,749,EDI
450010110,00070,SUP1002,CONF1011004,CH,2026-09-28,749,PORTAL
450010110,00070,SUP1002,CONF1011005,CH,2026-09-30,749,EDI
450010110,00070,SUP1002,CONF1011006,CH,2026-10-02,749,PORTAL
450010111,00080,SUP1006,CONF1011101,AB,2026-09-25,917,EDI
450010111,00080,SUP1006,CONF1011102,CH,2026-09-27,917,PORTAL
450010112,00010,SUP1004,CONF1011201,AB,2026-09-28,143,EDI
450010113,00020,SUP1003,CONF1011301,AB,2026-09-28,222,EDI
450010114,00030,SUP1001,CONF1011401,AB,2026-09-28,372,EDI
450010114,00030,SUP1001,CONF1011402,CH,2026-09-30,372,PORTAL
450010115,00040,SUP1008,CONF1011501,AB,2026-10-12,551,EDI
450010115,00040,SUP1008,CONF1011502,CH,2026-10-14,551,PORTAL
450010116,00050,SUP1007,CONF1011601,AB,2026-10-06,242,EDI
450010117,00060,SUP1005,CONF1011701,AB,2026-09-22,464,EDI
450010118,00070,SUP1002,CONF1011801,AB,2026-10-09,336,EDI
450010118,00070,SUP1002,CONF1011802,CH,2026-10-11,336,PORTAL
450010118,00070,SUP1002,CONF1011803,CH,2026-10-13,336,EDI
450010119,00080,SUP1006,CONF1011901,AB,2026-10-07,819,EDI
450010120,00010,SUP1004,CONF1012001,AB,2026-09-29,686,EDI
450010120,00010,SUP1004,CONF1012002,CH,2026-10-01,686,PORTAL
450010121,00020,SUP1003,CONF1012101,AB,2026-10-09,438,EDI
450010122,00030,SUP1001,CONF1012201,AB,2026-09-26,411,EDI
450010122,00030,SUP1001,CONF1012202,CH,2026-09-28,411,PORTAL
450010123,00040,SUP1008,CONF1012301,AB,2026-09-27,837,EDI
450010123,00040,SUP1008,CONF1012302,CH,2026-09-29,837,PORTAL
450010124,00050,SUP1007,CONF1012401,AB,2026-10-13,875,EDI
450010125,00060,SUP1005,CONF1012501,AB,2026-10-12,451,EDI
450010125,00060,SUP1005,CONF1012502,CH,2026-10-14,451,PORTAL
450010126,00070,SUP1002,CONF1012601,AB,2026-09-14,691,EDI
450010126,00070,SUP1002,CONF1012602,CH,2026-09-16,691,PORTAL
450010126,00070,SUP1002,CONF1012603,CH,2026-09-18,691,EDI
450010126,00070,SUP1002,CONF1012604,CH,2026-09-20,691,PORTAL
450010126,00070,SUP1002,CONF1012605,CH,2026-09-22,691,EDI
450010126,00070,SUP1002,CONF1012606,CH,2026-09-24,691,PORTAL
450010127,00080,SUP1006,CONF1012701,AB,2026-09-21,300,EDI
450010127,00080,SUP1006,CONF1012702,CH,2026-09-23,300,PORTAL
450010128,00010,SUP1004,CONF1012801,AB,2026-10-03,904,EDI
450010129,00020,SUP1003,CONF1012901,AB,2026-10-04,420,EDI
450010129,00020,SUP1003,CONF1012902,CH,2026-10-06,420,PORTAL
450010130,00030,SUP1001,CONF1013001,AB,2026-09-19,528,EDI
450010130,00030,SUP1001,CONF1013002,CH,2026-09-21,528,PORTAL
450010131,00040,SUP1008,CONF1013101,AB,2026-10-04,544,EDI
450010132,00050,SUP1007,CONF1013201,AB,2026-10-06,132,EDI
450010133,00060,SUP1005,CONF1013301,AB,2026-09-27,456,EDI
450010133,00060,SUP1005,CONF1013302,CH,2026-09-29,456,PORTAL
450010134,00070,SUP1002,CONF1013401,AB,2026-09-16,733,EDI
450010134,00070,SUP1002,CONF1013402,CH,2026-09-18,733,PORTAL
450010134,00070,SUP1002,CONF1013403,CH,2026-09-20,733,EDI
450010134,00070,SUP1002,CONF1013404,CH,2026-09-22,733,PORTAL
450010134,00070,SUP1002,CONF1013405,CH,2026-09-24,733,EDI
450010135,00080,SUP1006,CONF1013501,AB,2026-10-03,78,EDI
450010136,00010,SUP1004,CONF1013601,AB,2026-10-08,94,EDI
450010137,00020,SUP1003,CONF1013701,AB,2026-10-07,502,EDI
450010138,00030,SUP1001,CONF1013801,AB,2026-09-28,829,EDI
450010138,00030,SUP1001,CONF1013802,CH,2026-09-30,829,PORTAL
450010139,00040,SUP1008,CONF1013901,AB,2026-10-12,263,EDI
450010140,00050,SUP1007,CONF1014001,AB,2026-10-13,819,EDI
450010141,00060,SUP1005,CONF1014101,AB,2026-09-27,448,EDI
450010142,00070,SUP1002,CONF1014201,AB,2026-10-09,240,EDI
450010142,00070,SUP1002,CONF1014202,CH,2026-10-11,240,PORTAL
450010142,00070,SUP1002,CONF1014203,CH,2026-10-13,240,EDI
450010142,00070,SUP1002,CONF1014204,CH,2026-10-15,240,PORTAL
450010143,00080,SUP1006,CONF1014301,AB,2026-10-04,344,EDI
450010143,00080,SUP1006,CONF1014302,CH,2026-10-06,344,PORTAL
450010144,00010,SUP1004,CONF1014401,AB,2026-10-06,739,EDI
450010145,00020,SUP1003,CONF1014501,AB,2026-09-29,688,EDI
450010146,00030,SUP1001,CONF1014601,AB,2026-09-23,335,EDI
450010146,00030,SUP1001,CONF1014602,CH,2026-09-25,335,PORTAL
450010147,00040,SUP1008,CONF1014701,AB,2026-09-30,500,EDI
450010148,00050,SUP1007,CONF1014801,AB,2026-09-19,544,EDI
450010148,00050,SUP1007,CONF1014802,CH,2026-09-21,544,PORTAL
450010149,00060,SUP1005,CONF1014901,AB,2026-09-19,385,EDI
450010150,00070,SUP1002,CONF1015001,AB,2026-10-05,374,EDI
450010150,00070,SUP1002,CONF1015002,CH,2026-10-07,374,PORTAL
450010150,00070,SUP1002,CONF1015003,CH,2026-10-09,374,EDI
450010150,00070,SUP1002,CONF1015004,CH,2026-10-11,374,PORTAL
450010150,00070,SUP1002,CONF1015005,CH,2026-10-13,374,EDI
450010151,00080,SUP1006,CONF1015101,AB,2026-09-18,891,EDI
450010151,00080,SUP1006,CONF1015102,CH,2026-09-20,891,PORTAL
450010152,00010,SUP1004,CONF1015201,AB,2026-10-06,952,EDI
450010152,00010,SUP1004,CONF1015202,CH,2026-10-08,952,PORTAL
450010153,00020,SUP1003,CONF1015301,AB,2026-10-05,60,EDI
450010153,00020,SUP1003,CONF1015302,CH,2026-10-07,60,PORTAL
450010154,00030,SUP1001,CONF1015401,AB,2026-10-07,67,EDI
450010155,00040,SUP1008,CONF1015501,AB,2026-09-22,193,EDI
450010155,00040,SUP1008,CONF1015502,CH,2026-09-24,193,PORTAL
450010156,00050,SUP1007,CONF1015601,AB,2026-10-12,670,EDI
450010157,00060,SUP1005,CONF1015701,AB,2026-09-28,414,EDI
450010158,00070,SUP1002,CONF1015801,AB,2026-10-03,516,EDI
450010158,00070,SUP1002,CONF1015802,CH,2026-10-05,516,PORTAL
450010158,00070,SUP1002,CONF1015803,CH,2026-10-07,516,EDI
450010158,00070,SUP1002,CONF1015804,CH,2026-10-09,516,PORTAL
450010158,00070,SUP1002,CONF1015805,CH,2026-10-11,516,EDI
450010159,00080,SUP1006,CONF1015901,AB,2026-10-02,753,EDI
450010159,00080,SUP1006,CONF1015902,CH,2026-10-04,753,PORTAL
