po_number,po_item,supplier_id,material_id,plant_id,ordered_qty,confirmed_qty,requested_delivery_date,confirmed_delivery_date,po_status,confirmation_status,confirmation_change_count,demo_scenario
450010035,00040,SUP1008,MAT1001,PL01,904,904,2026-09-22,2026-09-21,OPEN,CONFIRMED,1,NEW_SUPPLIER
450010036,00050,SUP1007,MAT1001,PL02,360,360,2026-10-06,2026-10-07,OPEN,CONFIRMED,0,HIGH_IMPACT
450010037,00060,SUP1005,MAT1005,PL02,386,202,2026-10-03,2026-10-02,OPEN,CONFIRMED,0,PARTIAL_CONFIRMATION
450010038,00070,SUP1002,MAT1002,PL03,721,721,2026-10-07,2026-10-07,OPEN,CONFIRMED,4,MULTIPLE_CHANGES
450010039,00080,SUP1006,MAT1008,PL02,445,445,2026-10-01,2026-10-02,OPEN,CONFIRMED,1,NORMAL_VARIANCE
450010040,00010,SUP1004,MAT1005,PL04,878,878,2026-10-03,2026-10-04,OPEN,CONFIRMED,1,STABLE
450010041,00020,SUP1003,MAT1003,PL03,474,474,2026-09-23,2026-09-23,OPEN,CONFIRMED,1,CHRONIC_LATE
450010042,00030,SUP1001,MAT1010,PL04,991,991,2026-10-04,2026-10-05,OPEN,CONFIRMED,0,RECENT_DETERIORATION
450010043,00040,SUP1008,MAT1003,PL01,941,941,2026-10-05,2026-10-06,OPEN,CONFIRMED,0,NEW_SUPPLIER
450010044,00050,SUP1007,MAT1007,PL03,404,404,2026-09-27,2026-09-28,OPEN,CONFIRMED,0,HIGH_IMPACT
450010045,00060,SUP1005,MAT1002,PL01,197,137,2026-09-24,2026-09-23,OPEN,CONFIRMED,1,PARTIAL_CONFIRMATION
450010046,00070,SUP1002,MAT1001,PL04,277,277,2026-10-09,2026-10-10,OPEN,CONFIRMED,5,MULTIPLE_CHANGES
450010047,00080,SUP1006,MAT1006,PL04,825,825,2026-09-29,2026-09-30,OPEN,CONFIRMED,1,NORMAL_VARIANCE
450010048,00010,SUP1004,MAT1010,PL01,563,563,2026-10-06,2026-10-07,OPEN,CONFIRMED,1,STABLE
450010049,00020,SUP1003,MAT1001,PL02,708,708,2026-09-26,2026-09-26,OPEN,CONFIRMED,1,CHRONIC_LATE
450010050,00030,SUP1001,MAT1002,PL02,120,120,2026-10-08,2026-10-09,OPEN,CONFIRMED,1,RECENT_DETERIORATION
450010051,00040,SUP1008,MAT1002,PL01,83,83,2026-10-02,2026-10-03,OPEN,CONFIRMED,1,NEW_SUPPLIER
450010052,00050,SUP1007,MAT1003,PL03,684,684,2026-10-03,2026-10-04,OPEN,CONFIRMED,0,HIGH_IMPACT
450010053,00060,SUP1005,MAT1005,PL01,330,180,2026-10-09,2026-10-10,OPEN,CONFIRMED,0,PARTIAL_CONFIRMATION
450010054,00070,SUP1002,MAT1003,PL03,304,304,2026-10-08,2026-10-08,OPEN,CONFIRMED,4,MULTIPLE_CHANGES
450010055,00080,SUP1006,MAT1005,PL01,448,448,2026-10-10,2026-10-11,OPEN,CONFIRMED,0,NORMAL_VARIANCE
450010056,00010,SUP1004,MAT1007,PL02,566,566,2026-09-28,2026-09-29,OPEN,CONFIRMED,1,STABLE
450010057,00020,SUP1003,MAT1008,PL02,361,361,2026-09-21,2026-09-21,OPEN,CONFIRMED,1,CHRONIC_LATE
450010058,00030,SUP1001,MAT1004,PL01,835,835,2026-09-25,2026-09-26,OPEN,CONFIRMED,0,RECENT_DETERIORATION
450010059,00040,SUP1008,MAT1001,PL04,689,689,2026-09-19,2026-09-18,OPEN,CONFIRMED,1,NEW_SUPPLIER
450010060,00050,SUP1007,MAT1005,PL04,670,670,2026-10-05,2026-10-06,OPEN,CONFIRMED,1,HIGH_IMPACT
450010061,00060,SUP1005,MAT1009,PL01,748,416,2026-10-12,2026-10-12,OPEN,CONFIRMED,1,PARTIAL_CONFIRMATION
450010062,00070,SUP1002,MAT1004,PL04,349,349,2026-09-29,2026-10-01,OPEN,CONFIRMED,3,MULTIPLE_CHANGES
450010063,00080,SUP1006,MAT1001,PL01,127,127,2026-09-25,2026-09-24,OPEN,CONFIRMED,0,NORMAL_VARIANCE
450010064,00010,SUP1004,MAT1008,PL01,974,974,2026-10-12,2026-10-13,OPEN,CONFIRMED,1,STABLE
450010065,00020,SUP1003,MAT1009,PL03,643,643,2026-10-01,2026-10-01,OPEN,CONFIRMED,0,CHRONIC_LATE
450010066,00030,SUP1001,MAT1002,PL04,714,714,2026-10-08,2026-10-09,OPEN,CONFIRMED,1,RECENT_DETERIORATION
450010067,00040,SUP1008,MAT1006,PL01,957,957,2026-10-15,2026-10-16,OPEN,CONFIRMED,0,NEW_SUPPLIER
450010068,00050,SUP1007,MAT1001,PL03,897,897,2026-09-21,2026-09-22,OPEN,CONFIRMED,0,HIGH_IMPACT
450010069,00060,SUP1005,MAT1008,PL01,977,546,2026-09-23,2026-09-23,OPEN,CONFIRMED,1,PARTIAL_CONFIRMATION
450010070,00070,SUP1002,MAT1001,PL02,989,989,2026-09-26,2026-09-27,OPEN,CONFIRMED,4,MULTIPLE_CHANGES
450010071,00080,SUP1006,MAT1008,PL03,728,728,2026-10-03,2026-10-04,OPEN,CONFIRMED,1,NORMAL_VARIANCE
450010072,00010,SUP1004,MAT1007,PL04,892,892,2026-09-25,2026-09-24,OPEN,CONFIRMED,0,STABLE
450010073,00020,SUP1003,MAT1005,PL01,901,901,2026-10-12,2026-10-12,OPEN,CONFIRMED,0,CHRONIC_LATE
450010074,00030,SUP1001,MAT1009,PL02,340,340,2026-10-15,2026-10-16,OPEN,CONFIRMED,1,RECENT_DETERIORATION
450010075,00040,SUP1008,MAT1002,PL01,967,967,2026-09-26,2026-09-27,OPEN,CONFIRMED,0,NEW_SUPPLIER
450010076,00050,SUP1007,MAT1010,PL03,459,459,2026-09-30,2026-10-01,OPEN,CONFIRMED,1,HIGH_IMPACT
450010077,00060,SUP1005,MAT1006,PL01,434,307,2026-10-06,2026-10-05,OPEN,CONFIRMED,0,PARTIAL_CONFIRMATION
450010078,00070,SUP1002,MAT1006,PL04,71,71,2026-10-10,2026-10-12,OPEN,CONFIRMED,2,MULTIPLE_CHANGES
450010079,00080,SUP1006,MAT1008,PL04,783,783,2026-10-03,2026-10-03,OPEN,CONFIRMED,1,NORMAL_VARIANCE
450010080,00010,SUP1004,MAT1008,PL01,249,249,2026-09-20,2026-09-21,OPEN,CONFIRMED,0,STABLE
450010081,00020,SUP1003,MAT1002,PL02,279,279,2026-10-03,2026-10-03,OPEN,CONFIRMED,0,CHRONIC_LATE
450010082,00030,SUP1001,MAT1002,PL03,801,801,2026-10-06,2026-10-07,OPEN,CONFIRMED,1,RECENT_DETERIORATION
450010083,00040,SUP1008,MAT1009,PL03,97,97,2026-09-28,2026-09-28,OPEN,CONFIRMED,1,NEW_SUPPLIER
450010084,00050,SUP1007,MAT1007,PL02,799,799,2026-10-07,2026-10-08,OPEN,CONFIRMED,1,HIGH_IMPACT
450010085,00060,SUP1005,MAT1007,PL02,430,210,2026-09-26,2026-09-25,OPEN,CONFIRMED,0,PARTIAL_CONFIRMATION
450010086,00070,SUP1002,MAT1009,PL02,598,598,2026-10-13,2026-10-13,OPEN,CONFIRMED,6,MULTIPLE_CHANGES
450010087,00080,SUP1006,MAT1007,PL02,721,721,2026-09-24,2026-09-23,OPEN,CONFIRMED,0,NORMAL_VARIANCE
450010088,00010,SUP1004,MAT1008,PL04,613,613,2026-09-27,2026-09-28,OPEN,CONFIRMED,1,STABLE
450010089,00020,SUP1003,MAT1002,PL02,460,460,2026-09-24,2026-09-24,OPEN,CONFIRMED,0,CHRONIC_LATE
450010090,00030,SUP1001,MAT1007,PL02,744,744,2026-10-01,2026-10-02,OPEN,CONFIRMED,1,RECENT_DETERIORATION
450010091,00040,SUP1008,MAT1002,PL02,763,763,2026-10-05,2026-10-04,OPEN,CONFIRMED,0,NEW_SUPPLIER
450010092,00050,SUP1007,MAT1010,PL03,356,356,2026-09-24,2026-09-25,OPEN,CONFIRMED,1,HIGH_IMPACT
450010093,00060,SUP1005,MAT1009,PL04,114,58,2026-10-07,2026-10-07,OPEN,CONFIRMED,1,PARTIAL_CONFIRMATION
450010094,00070,SUP1002,MAT1006,PL03,300,300,2026-10-02,2026-10-04,OPEN,CONFIRMED,5,MULTIPLE_CHANGES
450010095,00080,SUP1006,MAT1004,PL04,413,413,2026-10-14,2026-10-15,OPEN,CONFIRMED,1,NORMAL_VARIANCE
450010096,00010,SUP1004,MAT1007,PL04,600,600,2026-09-24,2026-09-25,OPEN,CONFIRMED,1,STABLE
450010097,00020,SUP1003,MAT1003,PL04,452,452,2026-09-25,2026-09-25,OPEN,CONFIRMED,0,CHRONIC_LATE
450010098,00030,SUP1001,MAT1010,PL04,687,687,2026-10-06,2026-10-07,OPEN,CONFIRMED,1,RECENT_DETERIORATION
450010099,00040,SUP1008,MAT1003,PL04,412,412,2026-09-28,2026-09-28,OPEN,CONFIRMED,1,NEW_SUPPLIER
450010100,00050,SUP1007,MAT1008,PL01,203,203,2026-10-11,2026-10-12,OPEN,CONFIRMED,0,HIGH_IMPACT
450010101,00060,SUP1005,MAT1010,PL02,981,471,2026-10-15,2026-10-15,OPEN,CONFIRMED,0,PARTIAL_CONFIRMATION
450010102,00070,SUP1002,MAT1007,PL01,423,423,2026-10-10,2026-10-10,OPEN,CONFIRMED,3,MULTIPLE_CHANGES
450010103,00080,SUP1006,MAT1007,PL01,317,317,2026-10-03,2026-10-02,OPEN,CONFIRMED,1,NORMAL_VARIANCE
450010104,00010,SUP1004,MAT1008,PL01,865,865,2026-10-01,2026-09-30,OPEN,CONFIRMED,0,STABLE
450010105,00020,SUP1003,MAT1004,PL01,892,892,2026-09-26,2026-09-26,OPEN,CONFIRMED,0,CHRONIC_LATE
450010106,00030,SUP1001,MAT1009,PL04,528,528,2026-09-28,2026-09-29,OPEN,CONFIRMED,0,RECENT_DETERIORATION
450010107,00040,SUP1008,MAT1010,PL03,75,75,2026-10-11,2026-10-10,OPEN,CONFIRMED,0,NEW_SUPPLIER
450010108,00050,SUP1007,MAT1003,PL04,980,980,2026-09-23,2026-09-24,OPEN,CONFIRMED,0,HIGH_IMPACT
450010109,00060,SUP1005,MAT1007,PL03,694,359,2026-09-19,2026-09-19,OPEN,CONFIRMED,0,PARTIAL_CONFIRMATION
450010110,00070,SUP1002,MAT1001,PL02,749,749,2026-10-02,2026-10-02,OPEN,CONFIRMED,5,MULTIPLE_CHANGES
450010111,00080,SUP1006,MAT1008,PL01,917,917,2026-09-26,2026-09-27,OPEN,CONFIRMED,1,NORMAL_VARIANCE
450010112,00010,SUP1004,MAT1006,PL01,143,143,2026-09-29,2026-09-28,OPEN,CONFIRMED,0,STABLE
450010113,00020,SUP1003,MAT1006,PL01,222,222,2026-09-28,2026-09-28,OPEN,CONFIRMED,0,CHRONIC_LATE
450010114,00030,SUP1001,MAT1004,PL02,372,372,2026-09-29,2026-09-30,OPEN,CONFIRMED,1,RECENT_DETERIORATION
450010115,00040,SUP1008,MAT1005,PL03,551,551,2026-10-14,2026-10-14,OPEN,CONFIRMED,1,NEW_SUPPLIER
450010116,00050,SUP1007,MAT1008,PL01,242,242,2026-10-05,2026-10-06,OPEN,CONFIRMED,0,HIGH_IMPACT
450010117,00060,SUP1005,MAT1006,PL03,681,464,2026-09-22,2026-09-22,OPEN,CONFIRMED,0,PARTIAL_CONFIRMATION
450010118,00070,SUP1002,MAT1005,PL01,336,336,2026-10-12,2026-10-13,OPEN,CONFIRMED,2,MULTIPLE_CHANGES
450010119,00080,SUP1006,MAT1008,PL03,819,819,2026-10-07,2026-10-07,OPEN,CONFIRMED,0,NORMAL_VARIANCE
450010120,00010,SUP1004,MAT1005,PL03,686,686,2026-10-01,2026-10-01,OPEN,CONFIRMED,1,STABLE
450010121,00020,SUP1003,MAT1002,PL02,438,438,2026-10-09,2026-10-09,OPEN,CONFIRMED,0,CHRONIC_LATE
450010122,00030,SUP1001,MAT1006,PL01,411,411,2026-09-27,2026-09-28,OPEN,CONFIRMED,1,RECENT_DETERIORATION
450010123,00040,SUP1008,MAT1003,PL03,837,837,2026-09-28,2026-09-29,OPEN,CONFIRMED,1,NEW_SUPPLIER
450010124,00050,SUP1007,MAT1005,PL01,875,875,2026-10-12,2026-10-13,OPEN,CONFIRMED,0,HIGH_IMPACT
450010125,00060,SUP1005,MAT1009,PL02,850,451,2026-10-15,2026-10-14,OPEN,CONFIRMED,1,PARTIAL_CONFIRMATION
450010126,00070,SUP1002,MAT1005,PL03,691,691,2026-09-24,2026-09-24,OPEN,CONFIRMED,5,MULTIPLE_CHANGES
450010127,00080,SUP1006,MAT1002,PL03,300,300,2026-09-24,2026-09-23,OPEN,CONFIRMED,1,NORMAL_VARIANCE
450010128,00010,SUP1004,MAT1010,PL03,904,904,2026-10-03,2026-10-03,OPEN,CONFIRMED,0,STABLE
450010129,00020,SUP1003,MAT1009,PL04,420,420,2026-10-06,2026-10-06,OPEN,CONFIRMED,1,CHRONIC_LATE
450010130,00030,SUP1001,MAT1003,PL04,528,528,2026-09-20,2026-09-21,OPEN,CONFIRMED,1,RECENT_DETERIORATION
450010131,00040,SUP1008,MAT1005,PL01,544,544,2026-10-05,2026-10-04,OPEN,CONFIRMED,0,NEW_SUPPLIER
450010132,00050,SUP1007,MAT1008,PL03,132,132,2026-10-05,2026-10-06,OPEN,CONFIRMED,0,HIGH_IMPACT
450010133,00060,SUP1005,MAT1010,PL01,642,456,2026-09-28,2026-09-29,OPEN,CONFIRMED,1,PARTIAL_CONFIRMATION
450010134,00070,SUP1002,MAT1004,PL02,733,733,2026-09-23,2026-09-24,OPEN,CONFIRMED,4,MULTIPLE_CHANGES
450010135,00080,SUP1006,MAT1001,PL01,78,78,2026-10-03,2026-10-03,OPEN,CONFIRMED,0,NORMAL_VARIANCE
450010136,00010,SUP1004,MAT1004,PL02,94,94,2026-10-09,2026-10-08,OPEN,CONFIRMED,0,STABLE
450010137,00020,SUP1003,MAT1010,PL03,502,502,2026-10-07,2026-10-07,OPEN,CONFIRMED,0,CHRONIC_LATE
450010138,00030,SUP1001,MAT1005,PL04,829,829,2026-09-29,2026-09-30,OPEN,CONFIRMED,1,RECENT_DETERIORATION
450010139,00040,SUP1008,MAT1006,PL01,263,263,2026-10-11,2026-10-12,OPEN,CONFIRMED,0,NEW_SUPPLIER
450010140,00050,SUP1007,MAT1009,PL01,819,819,2026-10-12,2026-10-13,OPEN,CONFIRMED,0,HIGH_IMPACT
450010141,00060,SUP1005,MAT1008,PL01,600,448,2026-09-27,2026-09-27,OPEN,CONFIRMED,0,PARTIAL_CONFIRMATION
450010142,00070,SUP1002,MAT1009,PL02,240,240,2026-10-13,2026-10-15,OPEN,CONFIRMED,3,MULTIPLE_CHANGES
450010143,00080,SUP1006,MAT1002,PL03,344,344,2026-10-05,2026-10-06,OPEN,CONFIRMED,1,NORMAL_VARIANCE
450010144,00010,SUP1004,MAT1001,PL01,739,739,2026-10-05,2026-10-06,OPEN,CONFIRMED,0,STABLE
450010145,00020,SUP1003,MAT1007,PL04,688,688,2026-09-29,2026-09-29,OPEN,CONFIRMED,0,CHRONIC_LATE
450010146,00030,SUP1001,MAT1004,PL02,335,335,2026-09-24,2026-09-25,OPEN,CONFIRMED,1,RECENT_DETERIORATION
450010147,00040,SUP1008,MAT1005,PL04,500,500,2026-10-01,2026-09-30,OPEN,CONFIRMED,0,NEW_SUPPLIER
450010148,00050,SUP1007,MAT1002,PL04,544,544,2026-09-20,2026-09-21,OPEN,CONFIRMED,1,HIGH_IMPACT
450010149,00060,SUP1005,MAT1001,PL04,685,385,2026-09-19,2026-09-19,OPEN,CONFIRMED,0,PARTIAL_CONFIRMATION
450010150,00070,SUP1002,MAT1006,PL02,374,374,2026-10-12,2026-10-13,OPEN,CONFIRMED,4,MULTIPLE_CHANGES
450010151,00080,SUP1006,MAT1006,PL01,891,891,2026-09-19,2026-09-20,OPEN,CONFIRMED,1,NORMAL_VARIANCE
450010152,00010,SUP1004,MAT1004,PL01,952,952,2026-10-09,2026-10-08,OPEN,CONFIRMED,1,STABLE
450010153,00020,SUP1003,MAT1010,PL03,60,60,2026-10-07,2026-10-07,OPEN,CONFIRMED,1,CHRONIC_LATE
450010154,00030,SUP1001,MAT1004,PL01,67,67,2026-10-06,2026-10-07,OPEN,CONFIRMED,0,RECENT_DETERIORATION
450010155,00040,SUP1008,MAT1001,PL04,193,193,2026-09-24,2026-09-24,OPEN,CONFIRMED,1,NEW_SUPPLIER
450010156,00050,SUP1007,MAT1007,PL04,670,670,2026-10-11,2026-10-12,OPEN,CONFIRMED,0,HIGH_IMPACT
450010157,00060,SUP1005,MAT1007,PL04,750,414,2026-09-28,2026-09-28,OPEN,CONFIRMED,0,PARTIAL_CONFIRMATION
450010158,00070,SUP1002,MAT1005,PL02,516,516,2026-10-09,2026-10-11,OPEN,CONFIRMED,4,MULTIPLE_CHANGES
450010159,00080,SUP1006,MAT1008,PL04,753,753,2026-10-03,2026-10-04,OPEN,CONFIRMED,1,NORMAL_VARIANCE
