batch_id,material_id,plant_id,batch_qty,manufacture_date,expiry_date,days_to_expiry,expired
B20112,MAT2001,PL04,614,2026-02-28,2026-08-27,0,Y
B20113,MAT2004,PL02,638,2023-10-31,2024-10-30,0,Y
B20114,MAT2004,PL02,660,2026-04-04,2028-04-03,565,N
B20115,MAT2010,PL04,95,2024-03-12,2024-09-08,0,Y
B20116,MAT2001,PL01,303,2025-04-26,2025-07-25,0,Y
B20117,MAT2007,PL01,618,2025-01-19,2025-04-19,0,Y
B20118,MAT2005,PL01,630,2025-01-19,2026-01-19,0,Y
B20119,MAT2006,PL01,383,2025-07-28,2026-01-24,0,Y
B20120,MAT2003,PL02,228,2025-09-11,2025-12-10,0,Y
B20121,MAT2010,PL04,232,2023-11-07,2024-02-05,0,Y
B20122,MAT2001,PL02,187,2024-01-15,2025-01-14,0,Y
B20123,MAT2007,PL04,105,2026-05-15,2026-11-11,56,N
B20124,MAT2003,PL04,346,2024-02-26,2024-08-24,0,Y
B20125,MAT2004,PL02,145,2024-05-28,2024-11-24,0,Y
B20126,MAT2008,PL01,341,2026-04-10,2027-04-10,206,N
B20127,MAT2007,PL03,522,2024-06-01,2025-06-01,0,Y
B20128,MAT2001,PL02,171,2024-10-04,2025-04-02,0,Y
B20129,MAT2006,PL04,110,2026-09-08,2028-09-07,722,N
B20130,MAT2001,PL01,130,2026-01-03,2027-01-03,109,N
B20131,MAT2001,PL01,157,2024-02-24,2024-05-24,0,Y
B20132,MAT2003,PL03,636,2024-04-03,2025-04-03,0,Y
B20133,MAT2006,PL03,40,2024-07-07,2025-07-07,0,Y
B20134,MAT2006,PL01,515,2026-06-11,2026-09-09,0,Y
B20135,MAT2009,PL03,310,2025-11-23,2027-11-23,433,N
B20136,MAT2005,PL03,673,2025-02-18,2025-08-17,0,Y
B20137,MAT2009,PL03,327,2023-09-20,2024-03-18,0,Y
B20138,MAT2010,PL02,289,2025-11-29,2026-11-29,74,N
B20139,MAT2003,PL01,290,2026-05-26,2026-08-24,0,Y
B20140,MAT2001,PL01,301,2026-08-28,2027-02-24,161,N
B20141,MAT2001,PL01,22,2024-03-12,2024-06-10,0,Y
B20142,MAT2009,PL01,246,2025-01-03,2027-01-03,109,N
B20143,MAT2006,PL03,60,2026-03-19,2026-06-17,0,Y
B20144,MAT2007,PL01,451,2025-04-14,2025-10-11,0,Y
B20145,MAT2008,PL01,484,2023-09-29,2024-09-28,0,Y
B20146,MAT2010,PL02,596,2025-12-22,2026-12-22,97,N
B20147,MAT2007,PL01,154,2025-09-04,2026-03-03,0,Y
B20148,MAT2004,PL02,109,2026-03-10,2026-09-06,0,Y
B20149,MAT2009,PL04,83,2026-07-06,2028-07-05,658,N
B20150,MAT2008,PL04,204,2025-04-14,2027-04-14,210,N
B20151,MAT2007,PL04,678,2025-06-07,2025-09-05,0,Y
B20152,MAT2009,PL02,648,2024-05-30,2024-11-26,0,Y
B20153,MAT2006,PL02,57,2023-12-19,2024-03-18,0,Y
B20154,MAT2001,PL03,84,2026-02-28,2028-02-28,530,N
B20155,MAT2004,PL04,677,2024-07-21,2025-07-21,0,Y
B20156,MAT2007,PL01,499,2025-08-29,2025-11-27,0,Y
B20157,MAT2001,PL03,607,2026-05-21,2028-05-20,612,N
B20158,MAT2006,PL04,359,2024-04-05,2025-04-05,0,Y
B20159,MAT2002,PL04,441,2023-09-26,2023-12-25,0,Y
B20160,MAT2008,PL03,84,2024-01-06,2024-07-04,0,Y
B20161,MAT2005,PL01,604,2026-03-08,2028-03-07,538,N
B20162,MAT2010,PL02,684,2025-10-01,2027-10-01,380,N
B20163,MAT2001,PL04,430,2024-08-09,2026-08-09,0,Y
B20164,MAT2007,PL02,312,2026-01-23,2026-07-22,0,Y
B20165,MAT2001,PL01,249,2024-08-15,2025-02-11,0,Y
B20166,MAT2007,PL04,647,2025-04-14,2025-10-11,0,Y
B20167,MAT2004,PL02,570,2024-04-27,2024-07-26,0,Y
B20168,MAT2001,PL04,521,2026-07-29,2027-01-25,131,N
B20169,MAT2005,PL03,235,2023-11-09,2024-05-07,0,Y
B20170,MAT2010,PL01,503,2024-01-26,2026-01-25,0,Y
B20171,MAT2007,PL02,653,2023-12-08,2025-12-07,0,Y
B20172,MAT2005,PL01,599,2024-02-21,2024-08-19,0,Y
B20173,MAT2009,PL03,314,2024-08-03,2025-01-30,0,Y
B20174,MAT2002,PL01,181,2024-07-30,2025-01-26,0,Y
B20175,MAT2004,PL03,396,2024-01-19,2026-01-18,0,Y
B20176,MAT2005,PL04,171,2026-07-05,2027-07-05,292,N
B20177,MAT2001,PL02,565,2024-05-31,2024-08-29,0,Y
B20178,MAT2008,PL04,527,2024-01-31,2024-04-30,0,Y
B20179,MAT2010,PL04,265,2026-08-11,2027-02-07,144,N
B20180,MAT2006,PL01,366,2025-01-31,2027-01-31,137,N
B20181,MAT2002,PL02,25,2025-01-11,2027-01-11,117,N
B20182,MAT2006,PL02,627,2025-05-17,2027-05-17,243,N
B20183,MAT2001,PL03,458,2025-10-25,2026-04-23,0,Y
B20184,MAT2002,PL04,120,2024-10-24,2025-10-24,0,Y
B20185,MAT2001,PL02,491,2024-04-01,2024-09-28,0,Y
B20186,MAT2003,PL01,465,2024-09-28,2024-12-27,0,Y
B20187,MAT2008,PL01,182,2023-12-20,2025-12-19,0,Y
B20188,MAT2003,PL01,334,2026-02-20,2026-05-21,0,Y
B20189,MAT2007,PL02,342,2026-06-21,2026-09-19,3,N
B20190,MAT2001,PL04,59,2025-02-25,2025-08-24,0,Y
B20191,MAT2004,PL04,295,2025-05-30,2027-05-30,256,N
B20192,MAT2002,PL03,286,2026-04-16,2026-07-15,0,Y
B20193,MAT2004,PL04,86,2023-11-05,2024-11-04,0,Y
B20194,MAT2006,PL01,357,2024-10-09,2025-01-07,0,Y
B20195,MAT2009,PL01,425,2024-07-26,2025-01-22,0,Y
B20196,MAT2008,PL02,360,2024-07-19,2026-07-19,0,Y
B20197,MAT2010,PL03,372,2023-11-14,2024-11-13,0,Y
B20198,MAT2004,PL01,454,2024-10-28,2025-01-26,0,Y
B20199,MAT2007,PL03,86,2024-02-24,2024-05-24,0,Y
B20200,MAT2005,PL02,639,2026-04-17,2026-07-16,0,Y
B20201,MAT2004,PL02,476,2024-09-11,2025-09-11,0,Y
B20202,MAT2009,PL01,20,2024-04-17,2026-04-17,0,Y
B20203,MAT2010,PL02,39,2024-02-28,2025-02-27,0,Y
B20204,MAT2005,PL03,423,2025-05-21,2025-08-19,0,Y
B20205,MAT2007,PL01,148,2025-02-05,2025-05-06,0,Y
B20206,MAT2010,PL04,685,2026-06-25,2026-12-22,97,N
B20207,MAT2010,PL01,613,2024-05-26,2026-05-26,0,Y
B20208,MAT2002,PL01,566,2024-05-16,2024-08-14,0,Y
B20209,MAT2010,PL01,288,2025-01-18,2025-04-18,0,Y
B20210,MAT2007,PL03,217,2023-11-17,2024-02-15,0,Y
B20211,MAT2008,PL03,630,2024-05-29,2024-08-27,0,Y
B20212,MAT2007,PL04,533,2025-11-06,2026-11-06,51,N
B20213,MAT2007,PL03,205,2026-08-06,2026-11-04,49,N
B20214,MAT2001,PL04,650,2025-09-19,2025-12-18,0,Y
B20215,MAT2004,PL02,598,2024-08-21,2024-11-19,0,Y
B20216,MAT2004,PL02,79,2024-12-22,2025-03-22,0,Y
B20217,MAT2009,PL02,674,2024-08-17,2026-08-17,0,Y
B20218,MAT2004,PL02,577,2026-04-20,2027-04-20,216,N
B20219,MAT2007,PL04,584,2026-01-24,2028-01-24,495,N
B20220,MAT2008,PL04,642,2024-04-21,2024-07-20,0,Y
B20221,MAT2003,PL01,556,2025-07-30,2026-01-26,0,Y
B20222,MAT2003,PL04,629,2025-03-12,2026-03-12,0,Y
B20223,MAT2004,PL01,521,2024-12-07,2025-03-07,0,Y
B20224,MAT2006,PL03,152,2024-03-11,2025-03-11,0,Y
B20225,MAT2007,PL01,457,2026-04-18,2026-07-17,0,Y
B20226,MAT2003,PL04,186,2025-02-10,2025-05-11,0,Y
B20227,MAT2007,PL02,468,2023-12-20,2024-06-17,0,Y
B20228,MAT2009,PL03,147,2024-02-11,2025-02-10,0,Y
B20229,MAT2003,PL04,646,2024-08-13,2026-08-13,0,Y
B20230,MAT2005,PL02,302,2024-09-18,2025-09-18,0,Y
B20231,MAT2009,PL01,139,2026-03-06,2026-06-04,0,Y
B20232,MAT2010,PL01,140,2024-08-21,2025-08-21,0,Y
B20233,MAT2004,PL03,485,2026-01-25,2027-01-25,131,N
B20234,MAT2001,PL04,198,2025-05-20,2025-08-18,0,Y
B20235,MAT2003,PL03,206,2025-12-19,2026-03-19,0,Y
B20236,MAT2007,PL02,632,2024-05-27,2025-05-27,0,Y
B20237,MAT2003,PL02,359,2026-03-14,2026-09-10,0,Y
B20238,MAT2009,PL03,563,2024-06-17,2024-09-15,0,Y
B20239,MAT2009,PL04,509,2024-02-10,2025-02-09,0,Y
B20240,MAT2006,PL02,298,2024-08-28,2025-02-24,0,Y
B20241,MAT2004,PL01,392,2026-07-06,2027-01-02,108,N
B20242,MAT2010,PL02,90,2025-07-22,2027-07-22,309,N
B20243,MAT2002,PL02,395,2026-05-02,2026-10-29,43,N
B20244,MAT2007,PL01,502,2023-10-25,2024-04-22,0,Y
B20245,MAT2001,PL03,481,2026-08-11,2027-02-07,144,N
B20246,MAT2005,PL03,417,2025-08-17,2025-11-15,0,Y
B20247,MAT2003,PL01,475,2024-02-06,2026-02-05,0,Y
B20248,MAT2003,PL01,95,2026-05-21,2026-08-19,0,Y
B20249,MAT2008,PL03,139,2024-05-26,2024-08-24,0,Y
B20250,MAT2004,PL04,395,2024-09-17,2025-03-16,0,Y
B20251,MAT2001,PL01,128,2023-11-29,2024-02-27,0,Y
B20252,MAT2005,PL04,562,2025-10-09,2026-10-09,23,N
B20253,MAT2005,PL02,309,2026-05-30,2026-08-28,0,Y
B20254,MAT2009,PL04,659,2026-08-08,2028-08-07,691,N
B20255,MAT2002,PL02,47,2025-01-27,2025-04-27,0,Y
B20256,MAT2002,PL01,480,2024-05-16,2024-08-14,0,Y
B20257,MAT2006,PL03,366,2026-05-28,2028-05-27,619,N
B20258,MAT2002,PL03,173,2025-02-22,2026-02-22,0,Y
B20259,MAT2010,PL01,199,2026-05-21,2027-05-21,247,N
B20260,MAT2004,PL04,33,2023-09-21,2024-09-20,0,Y
B20261,MAT2004,PL01,656,2026-07-16,2027-01-12,118,N
B20262,MAT2010,PL04,382,2026-07-17,2028-07-16,669,N
B20263,MAT2004,PL03,602,2025-10-27,2027-10-27,406,N
B20264,MAT2006,PL03,474,2026-04-23,2026-10-20,34,N
B20265,MAT2002,PL01,283,2023-11-10,2024-05-08,0,Y
B20266,MAT2009,PL01,336,2025-04-08,2026-04-08,0,Y
B20267,MAT2003,PL01,628,2025-04-04,2025-10-01,0,Y
B20268,MAT2010,PL02,170,2024-12-13,2026-12-13,88,N
B20269,MAT2010,PL01,37,2026-08-23,2027-02-19,156,N
B20270,MAT2008,PL01,601,2023-10-15,2024-01-13,0,Y
B20271,MAT2010,PL02,93,2026-03-22,2026-09-18,2,N
B20272,MAT2010,PL03,68,2024-03-22,2024-09-18,0,Y
B20273,MAT2002,PL04,59,2025-10-10,2026-10-10,24,N
B20274,MAT2004,PL04,365,2025-10-07,2027-10-07,386,N
B20275,MAT2008,PL03,422,2024-01-16,2024-04-15,0,Y
B20276,MAT2010,PL02,172,2024-06-07,2024-09-05,0,Y
B20277,MAT2010,PL03,354,2025-11-12,2026-02-10,0,Y
B20278,MAT2007,PL02,692,2025-05-15,2026-05-15,0,Y
B20279,MAT2002,PL04,494,2025-05-05,2025-11-01,0,Y
B20280,MAT2008,PL04,557,2025-02-28,2025-08-27,0,Y
B20281,MAT2004,PL01,105,2026-08-24,2027-08-24,342,N
B20282,MAT2005,PL03,488,2024-03-17,2025-03-17,0,Y
B20283,MAT2008,PL01,265,2025-06-23,2025-12-20,0,Y
B20284,MAT2006,PL04,679,2026-05-11,2027-05-11,237,N
B20285,MAT2006,PL04,636,2025-05-26,2025-08-24,0,Y
B20286,MAT2001,PL04,123,2023-12-02,2024-12-01,0,Y
B20287,MAT2009,PL03,239,2024-09-22,2024-12-21,0,Y
B20288,MAT2002,PL04,535,2025-01-11,2025-04-11,0,Y
B20289,MAT2010,PL03,652,2025-02-02,2025-05-03,0,Y
B20290,MAT2006,PL04,313,2025-04-05,2025-07-04,0,Y
B20291,MAT2004,PL02,615,2023-11-15,2024-11-14,0,Y
B20292,MAT2002,PL03,10,2026-08-09,2026-11-07,52,N
B20293,MAT2009,PL04,384,2024-02-23,2024-05-23,0,Y
B20294,MAT2009,PL04,284,2024-05-20,2025-05-20,0,Y
B20295,MAT2004,PL02,308,2024-05-09,2025-05-09,0,Y
B20296,MAT2004,PL04,497,2026-02-17,2028-02-17,519,N
B20297,MAT2006,PL03,589,2026-02-09,2026-05-10,0,Y
B20298,MAT2010,PL02,347,2026-03-29,2028-03-28,559,N
B20299,MAT2007,PL01,288,2023-12-08,2024-06-05,0,Y
B20300,MAT2006,PL03,239,2026-07-22,2028-07-21,674,N
B20301,MAT2006,PL01,23,2025-04-25,2025-10-22,0,Y
B20302,MAT2005,PL02,86,2023-11-06,2024-02-04,0,Y
B20303,MAT2007,PL01,294,2024-10-04,2026-10-04,18,N
B20304,MAT2003,PL04,11,2026-04-29,2026-10-26,40,N
B20305,MAT2002,PL04,220,2023-10-08,2024-10-07,0,Y
B20306,MAT2007,PL02,232,2025-08-04,2026-08-04,0,Y
B20307,MAT2001,PL01,157,2026-04-18,2026-07-17,0,Y
B20308,MAT2010,PL01,153,2026-05-24,2026-08-22,0,Y
B20309,MAT2006,PL03,105,2023-10-07,2024-10-06,0,Y
B20310,MAT2007,PL04,364,2025-06-30,2026-06-30,0,Y
B20311,MAT2005,PL03,138,2025-10-12,2026-04-10,0,Y
B20312,MAT2003,PL02,599,2025-05-15,2027-05-15,241,N
B20313,MAT2004,PL04,484,2024-11-24,2025-02-22,0,Y
B20314,MAT2009,PL04,596,2024-12-11,2025-12-11,0,Y
B20315,MAT2001,PL02,66,2025-01-29,2025-04-29,0,Y
B20316,MAT2002,PL04,126,2025-07-02,2026-07-02,0,Y
B20317,MAT2008,PL01,413,2026-04-19,2026-10-16,30,N
B20318,MAT2009,PL04,97,2026-04-10,2028-04-09,571,N
B20319,MAT2003,PL02,251,2026-07-16,2028-07-15,668,N
