stock_id,plant_id,material_id,physical_qty,blocked_qty,quality_hold_qty,reserved_qty,wrong_location_qty,expired_qty,calculated_usable_qty,storage_location,demo_scenario
STK100078,PL04,MAT2001,779,0,0,895,0,0,0,BLK,NEGATIVE_AVAILABLE
STK100079,PL01,MAT2005,1335,267,200,333,133,0,402,B02,MIXED
STK100080,PL03,MAT2005,50,39,0,0,0,0,11,C03,BLOCKED
STK100081,PL04,MAT2001,1444,0,600,0,0,0,844,BLK,QUALITY_HOLD
STK100082,PL04,MAT2004,74,0,0,55,0,0,19,A01,RESERVED
STK100083,PL02,MAT2010,288,0,0,0,194,0,94,B02,WRONG_LOCATION
STK100084,PL04,MAT2005,586,0,0,0,0,345,241,B02,EXPIRED
STK100085,PL04,MAT2010,1185,0,0,0,0,308,877,QH1,SHELF_LIFE_RISK
STK100086,PL01,MAT2002,464,0,0,0,0,0,464,QH1,USABLE
STK100087,PL04,MAT2004,1396,209,0,209,0,0,978,C03,DUPLICATE_STOCK
STK100088,PL03,MAT2004,277,0,0,318,0,0,0,B02,NEGATIVE_AVAILABLE
STK100089,PL02,MAT2009,991,198,148,247,99,0,299,A01,MIXED
STK100090,PL02,MAT2005,147,104,0,0,0,0,43,EXT,BLOCKED
STK100091,PL01,MAT2007,259,0,193,0,0,0,66,QH1,QUALITY_HOLD
STK100092,PL02,MAT2005,1315,0,0,737,0,0,578,C03,RESERVED
STK100093,PL04,MAT2001,718,0,0,0,479,0,239,A01,WRONG_LOCATION
STK100094,PL02,MAT2006,826,0,0,0,0,407,419,QH1,EXPIRED
STK100095,PL02,MAT2001,77,0,0,0,0,22,55,B02,SHELF_LIFE_RISK
STK100096,PL04,MAT2002,905,0,0,0,0,0,905,B02,USABLE
STK100097,PL02,MAT2010,1400,210,0,210,0,0,980,B02,DUPLICATE_STOCK
STK100098,PL03,MAT2003,600,0,0,690,0,0,0,B02,NEGATIVE_AVAILABLE
STK100099,PL02,MAT2001,351,70,52,87,35,0,107,C03,MIXED
STK100100,PL04,MAT2010,1275,493,0,0,0,0,782,C03,BLOCKED
STK100101,PL01,MAT2005,1033,0,645,0,0,0,388,BLK,QUALITY_HOLD
STK100102,PL04,MAT2003,202,0,0,138,0,0,64,QH1,RESERVED
STK100103,PL03,MAT2005,607,0,0,0,407,0,200,BLK,WRONG_LOCATION
STK100104,PL03,MAT2010,361,0,0,0,0,260,101,BLK,EXPIRED
STK100105,PL03,MAT2004,955,0,0,0,0,244,711,B02,SHELF_LIFE_RISK
STK100106,PL01,MAT2009,97,0,0,0,0,0,97,QH1,USABLE
STK100107,PL04,MAT2003,1038,155,0,155,0,0,728,EXT,DUPLICATE_STOCK
STK100108,PL02,MAT2008,198,0,0,227,0,0,0,A01,NEGATIVE_AVAILABLE
STK100109,PL01,MAT2005,719,143,107,179,71,0,219,C03,MIXED
STK100110,PL03,MAT2007,1012,375,0,0,0,0,637,QH1,BLOCKED
STK100111,PL02,MAT2002,1185,0,579,0,0,0,606,A01,QUALITY_HOLD
STK100112,PL03,MAT2007,623,0,0,456,0,0,167,QH1,RESERVED
STK100113,PL02,MAT2001,250,0,0,0,121,0,129,A01,WRONG_LOCATION
STK100114,PL02,MAT2002,1034,0,0,0,0,861,173,C03,EXPIRED
STK100115,PL01,MAT2009,1090,0,0,0,0,286,804,QH1,SHELF_LIFE_RISK
STK100116,PL02,MAT2007,1006,0,0,0,0,0,1006,BLK,USABLE
STK100117,PL04,MAT2007,35,5,0,5,0,0,25,QH1,DUPLICATE_STOCK
STK100118,PL01,MAT2001,284,0,0,326,0,0,0,B02,NEGATIVE_AVAILABLE
STK100119,PL04,MAT2004,1008,201,151,252,100,0,304,A01,MIXED
STK100120,PL04,MAT2006,394,308,0,0,0,0,86,BLK,BLOCKED
STK100121,PL04,MAT2006,1181,0,727,0,0,0,454,C03,QUALITY_HOLD
STK100122,PL04,MAT2003,423,0,0,300,0,0,123,EXT,RESERVED
STK100123,PL04,MAT2007,313,0,0,0,173,0,140,C03,WRONG_LOCATION
STK100124,PL01,MAT2008,1498,0,0,0,0,1072,426,B02,EXPIRED
STK100125,PL03,MAT2008,145,0,0,0,0,36,109,QH1,SHELF_LIFE_RISK
STK100126,PL01,MAT2003,1394,0,0,0,0,0,1394,EXT,USABLE
STK100127,PL01,MAT2002,1310,196,0,196,0,0,918,EXT,DUPLICATE_STOCK
STK100128,PL01,MAT2007,432,0,0,496,0,0,0,BLK,NEGATIVE_AVAILABLE
STK100129,PL04,MAT2002,1441,288,216,360,144,0,433,BLK,MIXED
STK100130,PL02,MAT2005,82,40,0,0,0,0,42,BLK,BLOCKED
STK100131,PL04,MAT2009,1245,0,989,0,0,0,256,QH1,QUALITY_HOLD
STK100132,PL04,MAT2001,490,0,0,185,0,0,305,EXT,RESERVED
STK100133,PL01,MAT2001,443,0,0,0,308,0,135,C03,WRONG_LOCATION
STK100134,PL04,MAT2007,1133,0,0,0,0,973,160,A01,EXPIRED
STK100135,PL04,MAT2001,1134,0,0,0,0,301,833,C03,SHELF_LIFE_RISK
STK100136,PL01,MAT2009,1054,0,0,0,0,0,1054,QH1,USABLE
STK100137,PL04,MAT2006,510,76,0,76,0,0,358,BLK,DUPLICATE_STOCK
STK100138,PL04,MAT2006,1054,0,0,1212,0,0,0,C03,NEGATIVE_AVAILABLE
STK100139,PL01,MAT2010,78,15,11,19,7,0,26,EXT,MIXED
STK100140,PL02,MAT2004,29,13,0,0,0,0,16,QH1,BLOCKED
STK100141,PL02,MAT2002,982,0,644,0,0,0,338,BLK,QUALITY_HOLD
STK100142,PL04,MAT2010,691,0,0,386,0,0,305,QH1,RESERVED
STK100143,PL03,MAT2008,988,0,0,0,659,0,329,BLK,WRONG_LOCATION
STK100144,PL03,MAT2008,1096,0,0,0,0,515,581,A01,EXPIRED
STK100145,PL02,MAT2002,253,0,0,0,0,58,195,B02,SHELF_LIFE_RISK
STK100146,PL02,MAT2008,492,0,0,0,0,0,492,C03,USABLE
STK100147,PL03,MAT2010,194,29,0,29,0,0,136,B02,DUPLICATE_STOCK
STK100148,PL01,MAT2009,1496,0,0,1720,0,0,0,C03,NEGATIVE_AVAILABLE
STK100149,PL02,MAT2004,339,67,50,84,33,0,105,C03,MIXED
STK100150,PL04,MAT2005,1268,544,0,0,0,0,724,C03,BLOCKED
STK100151,PL04,MAT2005,864,0,421,0,0,0,443,BLK,QUALITY_HOLD
STK100152,PL03,MAT2005,729,0,0,383,0,0,346,A01,RESERVED
STK100153,PL03,MAT2006,513,0,0,0,348,0,165,C03,WRONG_LOCATION
STK100154,PL04,MAT2001,1105,0,0,0,0,721,384,C03,EXPIRED
STK100155,PL04,MAT2001,682,0,0,0,0,137,545,A01,SHELF_LIFE_RISK
STK100156,PL03,MAT2010,1048,0,0,0,0,0,1048,EXT,USABLE
STK100157,PL02,MAT2007,621,93,0,93,0,0,435,C03,DUPLICATE_STOCK
STK100158,PL02,MAT2003,1039,0,0,1194,0,0,0,A01,NEGATIVE_AVAILABLE
STK100159,PL02,MAT2007,71,14,10,17,7,0,23,A01,MIXED
STK100160,PL04,MAT2010,578,340,0,0,0,0,238,C03,BLOCKED
STK100161,PL03,MAT2009,213,0,85,0,0,0,128,EXT,QUALITY_HOLD
STK100162,PL04,MAT2001,340,0,0,159,0,0,181,QH1,RESERVED
STK100163,PL01,MAT2007,1232,0,0,0,799,0,433,C03,WRONG_LOCATION
STK100164,PL03,MAT2008,191,0,0,0,0,106,85,QH1,EXPIRED
STK100165,PL03,MAT2004,1293,0,0,0,0,231,1062,C03,SHELF_LIFE_RISK
STK100166,PL01,MAT2008,647,0,0,0,0,0,647,BLK,USABLE
STK100167,PL02,MAT2004,479,71,0,71,0,0,337,QH1,DUPLICATE_STOCK
STK100168,PL04,MAT2008,558,0,0,641,0,0,0,B02,NEGATIVE_AVAILABLE
STK100169,PL01,MAT2010,749,149,112,187,74,0,227,B02,MIXED
STK100170,PL04,MAT2006,1378,961,0,0,0,0,417,C03,BLOCKED
STK100171,PL01,MAT2001,1352,0,509,0,0,0,843,BLK,QUALITY_HOLD
STK100172,PL02,MAT2003,293,0,0,137,0,0,156,QH1,RESERVED
STK100173,PL04,MAT2007,960,0,0,0,372,0,588,BLK,WRONG_LOCATION
STK100174,PL03,MAT2004,1066,0,0,0,0,532,534,C03,EXPIRED
STK100175,PL04,MAT2006,1217,0,0,0,0,329,888,BLK,SHELF_LIFE_RISK
STK100176,PL03,MAT2010,1300,0,0,0,0,0,1300,C03,USABLE
STK100177,PL04,MAT2003,966,144,0,144,0,0,678,B02,DUPLICATE_STOCK
STK100178,PL01,MAT2002,398,0,0,457,0,0,0,B02,NEGATIVE_AVAILABLE
STK100179,PL01,MAT2003,1481,296,222,370,148,0,445,BLK,MIXED
STK100180,PL02,MAT2008,785,289,0,0,0,0,496,C03,BLOCKED
STK100181,PL01,MAT2001,127,0,84,0,0,0,43,EXT,QUALITY_HOLD
STK100182,PL01,MAT2002,839,0,0,478,0,0,361,QH1,RESERVED
STK100183,PL02,MAT2008,1477,0,0,0,783,0,694,A01,WRONG_LOCATION
STK100184,PL03,MAT2010,1094,0,0,0,0,579,515,B02,EXPIRED
STK100185,PL01,MAT2009,599,0,0,0,0,68,531,EXT,SHELF_LIFE_RISK
STK100186,PL03,MAT2006,98,0,0,0,0,0,98,EXT,USABLE
STK100187,PL03,MAT2002,134,20,0,20,0,0,94,A01,DUPLICATE_STOCK
STK100188,PL02,MAT2003,940,0,0,1081,0,0,0,A01,NEGATIVE_AVAILABLE
STK100189,PL01,MAT2006,311,62,46,77,31,0,95,BLK,MIXED
STK100190,PL02,MAT2008,382,154,0,0,0,0,228,BLK,BLOCKED
STK100191,PL02,MAT2010,1166,0,599,0,0,0,567,A01,QUALITY_HOLD
STK100192,PL01,MAT2010,1077,0,0,840,0,0,237,BLK,RESERVED
STK100193,PL01,MAT2010,444,0,0,0,295,0,149,QH1,WRONG_LOCATION
STK100194,PL02,MAT2007,439,0,0,0,0,190,249,B02,EXPIRED
STK100195,PL03,MAT2010,1009,0,0,0,0,133,876,B02,SHELF_LIFE_RISK
STK100196,PL01,MAT2004,496,0,0,0,0,0,496,A01,USABLE
STK100197,PL01,MAT2002,338,50,0,50,0,0,238,QH1,DUPLICATE_STOCK
STK100198,PL04,MAT2003,1119,0,0,1286,0,0,0,A01,NEGATIVE_AVAILABLE
STK100199,PL02,MAT2009,443,88,66,110,44,0,135,QH1,MIXED
STK100200,PL04,MAT2001,383,267,0,0,0,0,116,EXT,BLOCKED
STK100201,PL03,MAT2007,700,0,515,0,0,0,185,B02,QUALITY_HOLD
STK100202,PL02,MAT2008,1296,0,0,678,0,0,618,A01,RESERVED
STK100203,PL01,MAT2010,413,0,0,0,154,0,259,B02,WRONG_LOCATION
STK100204,PL04,MAT2004,166,0,0,0,0,129,37,C03,EXPIRED
STK100205,PL02,MAT2003,602,0,0,0,0,172,430,QH1,SHELF_LIFE_RISK
STK100206,PL02,MAT2002,1017,0,0,0,0,0,1017,BLK,USABLE
STK100207,PL01,MAT2010,967,145,0,145,0,0,677,BLK,DUPLICATE_STOCK
STK100208,PL04,MAT2008,141,0,0,162,0,0,0,BLK,NEGATIVE_AVAILABLE
STK100209,PL01,MAT2005,1313,262,196,328,131,0,396,C03,MIXED
STK100210,PL03,MAT2005,548,306,0,0,0,0,242,B02,BLOCKED
STK100211,PL03,MAT2005,1258,0,853,0,0,0,405,B02,QUALITY_HOLD
STK100212,PL04,MAT2008,1485,0,0,703,0,0,782,A01,RESERVED
STK100213,PL01,MAT2002,296,0,0,0,120,0,176,EXT,WRONG_LOCATION
STK100214,PL02,MAT2006,566,0,0,0,0,242,324,C03,EXPIRED
STK100215,PL01,MAT2008,162,0,0,0,0,30,132,QH1,SHELF_LIFE_RISK
STK100216,PL02,MAT2010,1009,0,0,0,0,0,1009,B02,USABLE
STK100217,PL01,MAT2002,1489,223,0,223,0,0,1043,QH1,DUPLICATE_STOCK
STK100218,PL03,MAT2004,791,0,0,909,0,0,0,QH1,NEGATIVE_AVAILABLE
STK100219,PL03,MAT2005,325,65,48,81,32,0,99,A01,MIXED
