plant_id,line_id,fg_family,weekly_capacity_units,utilization_pct,changeover_hours,status
PL-09,PL-09-L3,Interior module,1279,93.7,3.5,planned down
PL-10,PL-10-L1,Thermal system,1004,84.4,3.2,running
PL-10,PL-10-L2,Thermal system,1004,80,2.7,planned down
PL-10,PL-10-L3,Electrical & electronics,1004,62.5,0.9,planned down
PL-10,PL-10-L4,Thermal system,1004,86.2,0.7,running
PL-10,PL-10-L5,E-drive,1004,94.6,3.3,running
PL-10,PL-10-L6,Thermal system,1004,95.4,5.4,running
PL-10,PL-10-L7,Exterior module,1004,60.4,2.6,planned down
PL-11,PL-11-L1,Service kit,1898,88.5,4.9,running
PL-11,PL-11-L2,Powertrain,1898,60.3,2.8,running
PL-11,PL-11-L3,Chassis & suspension,1898,62.4,4.4,planned down
PL-11,PL-11-L4,Service kit,1898,69.2,0.7,running
PL-11,PL-11-L5,Powertrain,1898,60.4,4,running
PL-11,PL-11-L6,Powertrain,1898,83.1,5.9,running
PL-11,PL-11-L7,Chassis & suspension,1898,95,3.5,running
PL-11,PL-11-L8,Powertrain,1898,78.5,1.3,running
PL-12,PL-12-L1,Service kit,2412,83.2,2.5,running
PL-12,PL-12-L2,Service kit,2412,64,2,planned down
PL-12,PL-12-L3,Exterior module,2412,74.7,0.8,running
PL-12,PL-12-L4,Exterior module,2412,64,4.9,running
PL-12,PL-12-L5,Powertrain,2412,92.1,4.6,running
PL-12,PL-12-L6,Powertrain,2412,76.1,4.9,running
PL-12,PL-12-L7,Service kit,2412,63.6,5.7,running
PL-12,PL-12-L8,Service kit,2412,79.6,5.8,running
PL-13,PL-13-L1,Exterior module,1577,88.7,4.4,running
PL-13,PL-13-L2,Body-in-white,1577,97.3,3.7,running
PL-13,PL-13-L3,Powertrain,1577,76,0.9,running
PL-14,PL-14-L1,Electrical & electronics,1701,69.8,4.3,running
PL-14,PL-14-L2,Service kit,1701,73.7,2.3,running
PL-14,PL-14-L3,Powertrain,1701,62.2,1.4,running
PL-14,PL-14-L4,Exterior module,1701,91.9,3.2,planned down
PL-14,PL-14-L5,Powertrain,1701,82.8,0.7,running
PL-14,PL-14-L6,Body-in-white,1701,59,5.2,running
PL-15,PL-15-L1,Body-in-white,2044,75.3,4.4,planned down
PL-15,PL-15-L2,Electrical & electronics,2044,68.7,3.1,running
PL-15,PL-15-L3,Electrical & electronics,2044,82.4,2,planned down
PL-15,PL-15-L4,E-drive,2044,80.7,5.3,planned down
PL-15,PL-15-L5,Powertrain,2044,62.9,0.6,running
PL-15,PL-15-L6,Body-in-white,2044,73.9,4,running
PL-15,PL-15-L7,Body-in-white,2044,80.6,5,running
PL-15,PL-15-L8,Electrical & electronics,2044,91.3,2.1,running
PL-15,PL-15-L9,Body-in-white,2044,66.1,4.3,running
PL-16,PL-16-L1,Exterior module,1010,58,5.8,planned down
PL-16,PL-16-L2,E-drive,1010,70.6,2.6,running
PL-16,PL-16-L3,Powertrain,1010,92,2.7,planned down
PL-16,PL-16-L4,E-drive,1010,92.9,0.9,running
PL-16,PL-16-L5,Powertrain,1010,66.5,5.2,running
PL-16,PL-16-L6,Exterior module,1010,78.5,0.6,running
PL-16,PL-16-L7,Interior module,1010,65.7,0.6,planned down
PL-17,PL-17-L1,Electrical & electronics,2062,91,2.7,running
PL-17,PL-17-L2,E-drive,2062,92.6,1.7,running
PL-17,PL-17-L3,Electrical & electronics,2062,96.5,1.3,running
PL-17,PL-17-L4,Powertrain,2062,69.2,3,running
PL-17,PL-17-L5,Body-in-white,2062,80.1,5.1,planned down
PL-17,PL-17-L6,Chassis & suspension,2062,89.8,3.7,running
PL-17,PL-17-L7,Service kit,2062,95,4.1,running
PL-17,PL-17-L8,Body-in-white,2062,85.8,3.8,planned down
PL-17,PL-17-L9,Chassis & suspension,2062,84.4,3.1,running
PL-18,PL-18-L1,Interior module,2263,64.1,0.5,running
PL-18,PL-18-L2,Body-in-white,2263,75.3,5.6,planned down
PL-18,PL-18-L3,Body-in-white,2263,77.5,0.8,running
PL-18,PL-18-L4,Thermal system,2263,65.3,3.4,running
PL-18,PL-18-L5,E-drive,2263,87,2.2,running
PL-19,PL-19-L1,Interior module,1096,81.9,5.7,running
PL-19,PL-19-L2,Chassis & suspension,1096,77.9,1,running
PL-19,PL-19-L3,Electrical & electronics,1096,93.8,2,running
PL-19,PL-19-L4,Interior module,1096,67.4,0.7,running
PL-19,PL-19-L5,Service kit,1096,95.3,2.4,running
PL-19,PL-19-L6,Powertrain,1096,84.7,4.8,planned down
PL-19,PL-19-L7,Interior module,1096,82.8,1.5,running
PL-19,PL-19-L8,Service kit,1096,84.5,3.6,planned down
PL-19,PL-19-L9,Exterior module,1096,84.1,2.9,planned down
PL-20,PL-20-L1,Electrical & electronics,2257,71.8,0.7,running
PL-20,PL-20-L2,Thermal system,2257,79.9,5.7,running
PL-20,PL-20-L3,Powertrain,2257,80.2,1.1,running
PL-20,PL-20-L4,Electrical & electronics,2257,97.9,2.2,running
PL-20,PL-20-L5,Service kit,2257,82.1,4.4,running
PL-20,PL-20-L6,Interior module,2257,79.7,3.6,planned down
PL-20,PL-20-L7,Exterior module,2257,71.7,5.1,running
