plant_id,part_id,on_hand_qty,days_cover,in_transit_qty,safety_stock_qty,as_of_date
PL-10,P-003620,9855,20,5218,1438,2026-09-15
PL-11,P-004840,16300,14,8420,238,2026-09-15
PL-18,P-001944,16471,27,4355,1611,2026-09-15
PL-11,P-004161,37494,11,5714,450,2026-09-15
PL-08,P-009486,35425,32,17494,792,2026-09-15
PL-17,P-001958,11148,41,2740,403,2026-09-15
PL-20,P-005027,24578,13,4730,347,2026-09-15
PL-02,P-010438,373,22,9044,678,2026-09-15
PL-08,P-000728,27979,39,3946,1287,2026-09-15
PL-14,P-009213,9253,2,3005,686,2026-09-15
PL-14,P-007031,10958,33,14926,978,2026-09-15
PL-03,P-003187,9213,9,12382,610,2026-09-15
PL-11,P-003287,1359,41,9357,361,2026-09-15
PL-05,P-006569,19955,15,1088,1537,2026-09-15
PL-19,P-001678,26270,13,13546,307,2026-09-15
PL-04,P-000091,19336,18,6317,189,2026-09-15
PL-17,P-006997,23642,38,17198,987,2026-09-15
PL-06,P-007488,26572,11,2564,552,2026-09-15
PL-06,P-001841,38170,12,6110,114,2026-09-15
PL-08,P-008302,33130,39,17695,544,2026-09-15
PL-18,P-005786,20799,33,7110,1505,2026-09-15
PL-03,P-007066,25696,18,4597,406,2026-09-15
PL-07,P-008110,1243,26,2094,578,2026-09-15
PL-03,P-005951,35589,31,2565,146,2026-09-15
PL-14,P-008614,12884,36,4508,195,2026-09-15
PL-03,P-002910,38989,39,10955,29,2026-09-15
PL-10,P-008116,39427,4,2099,138,2026-09-15
PL-01,P-008407,22367,7,10258,748,2026-09-15
PL-14,P-009174,22693,30,14312,1080,2026-09-15
PL-02,P-004777,17481,31,12142,1392,2026-09-15
PL-01,P-006601,20920,39,13141,1661,2026-09-15
PL-11,P-003285,320,30,6583,1624,2026-09-15
PL-11,P-010337,16941,31,802,1046,2026-09-15
PL-13,P-008952,38368,5,2664,379,2026-09-15
PL-09,P-002237,5621,10,2069,793,2026-09-15
PL-04,P-006200,557,1,4150,584,2026-09-15
PL-10,P-007343,39936,7,3601,1903,2026-09-15
PL-03,P-009384,34305,18,17413,699,2026-09-15
PL-07,P-007195,5039,35,3118,2059,2026-09-15
PL-20,P-009279,23982,42,13823,1945,2026-09-15
PL-19,P-001751,19743,35,11775,118,2026-09-15
PL-15,P-009569,15207,11,7179,778,2026-09-15
PL-03,P-001470,14719,26,1560,1682,2026-09-15
PL-06,P-002418,39342,40,15292,436,2026-09-15
PL-11,P-010131,6866,9,10070,1564,2026-09-15
PL-18,P-011177,22544,25,3289,54,2026-09-15
PL-15,P-001945,39163,26,7512,246,2026-09-15
PL-17,P-007288,33778,30,770,307,2026-09-15
PL-01,P-007514,5414,14,17264,127,2026-09-15
PL-18,P-003445,16136,5,13366,951,2026-09-15
PL-16,P-006218,29253,25,13845,601,2026-09-15
PL-04,P-004094,35867,2,1825,128,2026-09-15
PL-06,P-009579,36773,6,8644,1398,2026-09-15
PL-06,P-001300,13456,14,8216,999,2026-09-15
PL-01,P-003167,12171,41,230,731,2026-09-15
PL-07,P-003083,31173,32,9320,874,2026-09-15
PL-16,P-005608,35777,7,10620,311,2026-09-15
PL-17,P-000248,1419,6,17841,458,2026-09-15
PL-05,P-002272,13825,32,1309,528,2026-09-15
PL-19,P-008802,10288,11,2491,380,2026-09-15
PL-01,P-006175,19383,13,7449,165,2026-09-15
PL-13,P-004003,20684,0,12576,222,2026-09-15
PL-20,P-009687,13766,23,4981,817,2026-09-15
PL-08,P-009105,29389,37,15149,257,2026-09-15
PL-14,P-001591,7844,22,2092,166,2026-09-15
PL-14,P-004872,22451,28,1348,179,2026-09-15
PL-09,P-011058,12611,24,4826,563,2026-09-15
PL-16,P-000910,3270,21,4998,540,2026-09-15
PL-19,P-011105,18376,30,15196,386,2026-09-15
PL-13,P-000889,17753,16,5067,673,2026-09-15
PL-14,P-009095,11969,33,8645,229,2026-09-15
PL-12,P-004711,30906,41,12091,236,2026-09-15
PL-18,P-006843,11331,26,4195,958,2026-09-15
PL-18,P-001694,39261,39,13134,323,2026-09-15
PL-19,P-007890,26856,3,3128,1645,2026-09-15
PL-04,P-007829,13484,37,12400,61,2026-09-15
PL-16,P-000507,28872,31,8547,767,2026-09-15
PL-03,P-011170,35571,34,13078,248,2026-09-15
PL-17,P-003991,10623,21,650,305,2026-09-15
PL-03,P-004427,4962,6,6516,1210,2026-09-15
PL-18,P-004819,6141,16,17084,450,2026-09-15
PL-20,P-010822,18009,17,3321,742,2026-09-15
PL-04,P-008219,12373,24,6186,631,2026-09-15
PL-10,P-000263,15108,38,1474,123,2026-09-15
PL-07,P-001717,14937,34,7496,731,2026-09-15
PL-04,P-003912,19926,19,7060,920,2026-09-15
PL-12,P-002238,6889,26,12353,938,2026-09-15
PL-14,P-006198,25053,2,11701,417,2026-09-15
PL-16,P-001299,19879,9,13935,1155,2026-09-15
PL-16,P-000342,28491,3,15284,369,2026-09-15
PL-03,P-009880,37050,11,4580,413,2026-09-15
PL-05,P-008458,15330,25,7091,1068,2026-09-15
PL-15,P-011520,27084,4,6742,1305,2026-09-15
PL-19,P-002287,8993,22,2905,91,2026-09-15
PL-12,P-007210,28752,36,12404,233,2026-09-15
PL-10,P-011636,6430,42,6204,490,2026-09-15
PL-18,P-002637,25340,21,16313,1458,2026-09-15
PL-02,P-002573,21634,15,24,572,2026-09-15
PL-11,P-007349,38339,2,8879,954,2026-09-15
PL-17,P-010453,31844,32,8593,791,2026-09-15
PL-20,P-010401,39771,11,15066,539,2026-09-15
PL-15,P-007820,30829,12,2318,1508,2026-09-15
PL-10,P-008043,12513,18,129,45,2026-09-15
PL-03,P-010269,3607,2,245,765,2026-09-15
PL-19,P-006009,18016,20,7554,1398,2026-09-15
PL-14,P-002314,6998,21,8547,261,2026-09-15
PL-10,P-005984,20767,6,17011,1506,2026-09-15
PL-11,P-000332,30353,7,14168,871,2026-09-15
PL-07,P-000793,28899,42,4698,832,2026-09-15
PL-13,P-008645,870,21,5195,646,2026-09-15
PL-13,P-005883,297,29,8905,923,2026-09-15
PL-12,P-011796,27852,17,12075,173,2026-09-15
PL-18,P-001668,13597,34,8135,773,2026-09-15
PL-10,P-005092,30275,30,6232,415,2026-09-15
PL-15,P-000285,13431,31,17640,233,2026-09-15
PL-10,P-008470,22066,28,1223,163,2026-09-15
PL-16,P-009329,9317,34,4704,974,2026-09-15
PL-18,P-011749,19441,15,3996,1199,2026-09-15
PL-04,P-004141,17547,37,1529,405,2026-09-15
PL-01,P-006332,24691,18,8353,857,2026-09-15
PL-18,P-011191,5465,13,7051,1084,2026-09-15
PL-04,P-009417,30791,12,11212,1063,2026-09-15
PL-06,P-000133,27497,30,11544,2075,2026-09-15
PL-10,P-001785,1202,18,765,779,2026-09-15
PL-10,P-005091,32319,32,14355,622,2026-09-15
PL-09,P-003226,29244,37,14121,235,2026-09-15
PL-16,P-010737,30528,30,17601,266,2026-09-15
PL-19,P-008662,11408,37,6522,207,2026-09-15
PL-03,P-005728,2198,26,1188,236,2026-09-15
PL-05,P-003029,19005,39,16747,81,2026-09-15
PL-14,P-009050,13701,15,14985,525,2026-09-15
PL-03,P-011989,2488,6,1767,155,2026-09-15
PL-03,P-009860,23142,2,6497,118,2026-09-15
PL-03,P-004525,32867,39,14282,362,2026-09-15
PL-15,P-004355,23822,8,14890,125,2026-09-15
PL-20,P-006487,14547,7,15183,1520,2026-09-15
PL-01,P-004253,25072,40,16703,854,2026-09-15
PL-01,P-007149,14006,34,3597,1005,2026-09-15
PL-11,P-002444,19851,2,9087,682,2026-09-15
PL-11,P-011836,38658,8,17552,114,2026-09-15
PL-11,P-004368,18472,32,2936,300,2026-09-15
PL-10,P-008699,30280,21,12882,164,2026-09-15
PL-16,P-008687,37836,10,16719,302,2026-09-15
PL-18,P-004677,7407,18,10469,498,2026-09-15
PL-16,P-003815,25554,27,4391,1144,2026-09-15
PL-12,P-000726,21021,34,6402,916,2026-09-15
PL-20,P-001857,28324,38,15212,108,2026-09-15
PL-11,P-007374,37951,35,8158,1074,2026-09-15
PL-18,P-002543,3936,21,5806,1220,2026-09-15
PL-15,P-000659,36337,40,6390,838,2026-09-15
PL-07,P-010692,6293,14,7329,1146,2026-09-15
PL-07,P-009520,7547,34,2423,252,2026-09-15
PL-15,P-005787,2809,1,5069,790,2026-09-15
PL-10,P-000693,8905,29,52,179,2026-09-15
PL-01,P-005221,33567,19,8330,590,2026-09-15
PL-07,P-010193,21617,14,724,218,2026-09-15
PL-06,P-005765,31611,6,946,453,2026-09-15
PL-15,P-001420,18272,0,9713,658,2026-09-15
PL-17,P-010835,33741,11,7266,105,2026-09-15
PL-03,P-000970,14282,25,11372,1585,2026-09-15
PL-18,P-006118,1196,42,8943,268,2026-09-15
PL-02,P-010211,7647,13,2065,693,2026-09-15
PL-01,P-001104,39599,17,10400,272,2026-09-15
PL-12,P-009677,1414,11,11858,966,2026-09-15
PL-05,P-005111,17514,21,15278,337,2026-09-15
PL-17,P-004352,33205,8,14572,1787,2026-09-15
PL-09,P-001348,33043,34,4745,1784,2026-09-15
PL-18,P-000902,26186,16,8298,1553,2026-09-15
PL-07,P-009578,27772,28,12990,1976,2026-09-15
PL-01,P-002922,5872,35,12961,1362,2026-09-15
PL-03,P-006959,17507,12,3740,1261,2026-09-15
PL-09,P-005251,37109,27,6012,2003,2026-09-15
PL-20,P-007610,19113,0,12173,630,2026-09-15
PL-20,P-007431,5635,35,1877,460,2026-09-15
PL-05,P-004470,2885,16,13034,300,2026-09-15
PL-01,P-009357,18590,16,17219,305,2026-09-15
PL-11,P-008012,9786,7,6326,1745,2026-09-15
PL-14,P-003199,8332,33,10634,740,2026-09-15
PL-16,P-011377,22950,5,6408,347,2026-09-15
PL-05,P-002636,13972,4,15862,245,2026-09-15
PL-20,P-002488,32818,17,2837,1698,2026-09-15
PL-08,P-009490,24950,11,8105,510,2026-09-15
PL-14,P-002706,25275,35,1820,553,2026-09-15
PL-19,P-000796,1083,20,1559,947,2026-09-15
PL-02,P-006592,32184,11,9588,1817,2026-09-15
PL-11,P-010394,13418,17,16735,548,2026-09-15
PL-01,P-000337,33658,4,3569,881,2026-09-15
PL-14,P-010093,20284,1,10676,191,2026-09-15
PL-07,P-011421,31483,15,13682,1366,2026-09-15
PL-15,P-006464,2913,4,11671,572,2026-09-15
PL-08,P-001070,23039,38,8593,480,2026-09-15
PL-12,P-004344,35013,17,2527,86,2026-09-15
PL-15,P-002061,15106,2,6303,154,2026-09-15
PL-12,P-007092,30650,31,1035,625,2026-09-15
PL-01,P-007451,26928,16,4879,415,2026-09-15
PL-11,P-010678,4834,40,16697,532,2026-09-15
PL-05,P-006783,1910,14,17695,321,2026-09-15
PL-02,P-011648,11177,17,17304,1295,2026-09-15
PL-20,P-005338,37324,8,16015,1086,2026-09-15
PL-13,P-004048,10984,4,7490,534,2026-09-15
PL-05,P-008988,31390,28,265,266,2026-09-15
PL-02,P-003357,18180,36,1816,294,2026-09-15
PL-11,P-008222,17132,25,11850,51,2026-09-15
PL-17,P-006488,34419,17,3508,477,2026-09-15
PL-10,P-009900,22347,2,9821,980,2026-09-15
PL-11,P-003938,18773,34,14422,1580,2026-09-15
PL-01,P-000299,25095,29,9295,850,2026-09-15
PL-06,P-007121,26360,31,16347,608,2026-09-15
PL-09,P-002015,24066,40,915,453,2026-09-15
PL-09,P-008982,20296,42,12231,122,2026-09-15
PL-05,P-006287,13208,30,3234,592,2026-09-15
PL-11,P-002916,31342,18,4418,641,2026-09-15
PL-14,P-009294,19984,15,10337,1962,2026-09-15
PL-12,P-008088,29616,30,7508,186,2026-09-15
PL-06,P-000001,16642,18,15571,1944,2026-09-15
PL-08,P-004195,2759,38,17906,892,2026-09-15
PL-19,P-002109,3862,3,8708,262,2026-09-15
PL-05,P-005743,24918,36,10684,783,2026-09-15
PL-04,P-011670,16167,24,10394,650,2026-09-15
PL-16,P-004895,30915,26,2830,523,2026-09-15
PL-01,P-010938,8459,35,14222,107,2026-09-15
PL-13,P-006957,20005,24,10487,198,2026-09-15
PL-02,P-002008,33072,11,17275,1635,2026-09-15
PL-05,P-001569,23562,39,2258,1251,2026-09-15
PL-11,P-006812,6700,19,490,702,2026-09-15
PL-02,P-003646,21096,27,9209,888,2026-09-15
PL-09,P-007034,16589,30,12679,373,2026-09-15
PL-10,P-001152,38958,10,16618,338,2026-09-15
PL-09,P-004505,5354,19,12535,1362,2026-09-15
PL-05,P-009760,36121,0,5093,458,2026-09-15
PL-19,P-001642,3813,25,9514,403,2026-09-15
PL-09,P-005460,31404,40,9153,543,2026-09-15
PL-08,P-004488,11198,6,4880,670,2026-09-15
PL-15,P-001175,16516,15,11842,412,2026-09-15
PL-05,P-009924,32125,41,12797,146,2026-09-15
PL-10,P-008457,9298,26,2498,466,2026-09-15
PL-02,P-001615,29697,14,13793,391,2026-09-15
PL-01,P-000317,11527,40,7255,1024,2026-09-15
PL-14,P-006238,4113,37,3445,1117,2026-09-15
PL-02,P-006254,5678,4,14374,294,2026-09-15
PL-18,P-000577,16168,30,15634,955,2026-09-15
PL-17,P-005549,14997,42,8994,261,2026-09-15
PL-11,P-003027,24996,7,4196,682,2026-09-15
PL-11,P-007874,21271,2,12413,335,2026-09-15
PL-20,P-002089,19460,18,11340,1740,2026-09-15
PL-09,P-005302,24671,37,7464,608,2026-09-15
PL-06,P-001393,12542,19,11649,342,2026-09-15
PL-10,P-010754,20037,36,14110,494,2026-09-15
PL-14,P-007842,38119,36,13029,819,2026-09-15
PL-17,P-004962,33988,26,7829,425,2026-09-15
PL-12,P-008414,19494,38,10434,1021,2026-09-15
PL-01,P-001008,17220,13,7896,1111,2026-09-15
PL-03,P-008196,29063,6,4728,1495,2026-09-15
PL-15,P-006497,36382,3,1149,1295,2026-09-15
PL-02,P-001216,28488,11,15505,1283,2026-09-15
PL-03,P-002431,19890,39,1336,1685,2026-09-15
PL-07,P-000623,28754,5,3232,1054,2026-09-15
PL-04,P-000843,2072,29,8639,154,2026-09-15
PL-02,P-005792,19479,2,16555,160,2026-09-15
PL-03,P-006259,19996,23,16456,1322,2026-09-15
PL-06,P-002905,26868,2,3085,2047,2026-09-15
PL-03,P-009038,27371,30,1056,143,2026-09-15
PL-03,P-002576,29661,18,4563,316,2026-09-15
PL-15,P-009674,39906,32,14185,504,2026-09-15
PL-16,P-001080,32471,25,3682,972,2026-09-15
PL-19,P-004100,16468,5,17215,312,2026-09-15
PL-18,P-006757,5885,26,8463,1840,2026-09-15
PL-11,P-007068,30457,28,17942,167,2026-09-15
PL-04,P-000135,12685,27,10500,221,2026-09-15
PL-09,P-001666,15735,1,13620,238,2026-09-15
PL-16,P-011356,9589,41,15929,322,2026-09-15
PL-03,P-006041,21506,21,4321,2093,2026-09-15
PL-13,P-009451,23866,22,10456,1235,2026-09-15
PL-20,P-007371,521,25,3227,1246,2026-09-15
PL-07,P-009040,14213,15,12300,262,2026-09-15
PL-13,P-008170,4970,18,10928,1416,2026-09-15
PL-18,P-011002,15269,40,11385,1203,2026-09-15
PL-06,P-000980,34451,26,15338,622,2026-09-15
PL-04,P-008698,15124,22,11624,961,2026-09-15
PL-04,P-002507,30378,13,11319,1205,2026-09-15
PL-16,P-006296,25227,6,1649,176,2026-09-15
PL-17,P-005274,1216,27,2598,176,2026-09-15
PL-12,P-010759,12036,21,7820,1550,2026-09-15
PL-04,P-007843,32911,28,7082,418,2026-09-15
PL-12,P-010073,9817,8,9863,1372,2026-09-15
PL-15,P-011681,28880,22,1149,268,2026-09-15
PL-12,P-001260,23936,2,7976,345,2026-09-15
PL-13,P-007715,33959,20,13034,678,2026-09-15
PL-12,P-002749,24039,7,12753,535,2026-09-15
PL-12,P-002659,6666,36,3877,997,2026-09-15
PL-05,P-000669,16498,14,3762,250,2026-09-15
PL-11,P-006159,34160,18,7543,929,2026-09-15
PL-13,P-009613,35477,25,15134,498,2026-09-15
PL-13,P-010828,34265,21,14807,173,2026-09-15
PL-13,P-011456,22014,18,6981,487,2026-09-15
PL-04,P-000225,38950,28,9982,57,2026-09-15
PL-11,P-006770,10482,29,14022,337,2026-09-15
PL-15,P-010854,3619,6,14613,168,2026-09-15
PL-13,P-008412,11810,2,5227,380,2026-09-15
PL-06,P-001230,16607,10,15297,739,2026-09-15
PL-06,P-001838,32837,41,8854,773,2026-09-15
PL-01,P-004084,33232,5,17253,722,2026-09-15
PL-06,P-007717,1170,11,17687,52,2026-09-15
PL-10,P-008768,28805,2,1711,904,2026-09-15
PL-15,P-001393,14932,29,3854,462,2026-09-15
PL-08,P-007922,34956,37,1733,645,2026-09-15
PL-08,P-010766,26758,13,17052,468,2026-09-15
PL-08,P-009464,13651,11,11548,1808,2026-09-15
PL-18,P-009162,1433,18,2508,541,2026-09-15
PL-14,P-009969,13291,1,6994,716,2026-09-15
PL-15,P-002733,36536,19,5564,725,2026-09-15
PL-17,P-000489,21241,22,17178,131,2026-09-15
PL-01,P-006973,25459,35,12170,151,2026-09-15
PL-01,P-006901,17188,0,11920,455,2026-09-15
PL-17,P-005896,12193,41,11184,389,2026-09-15
PL-03,P-001811,21698,18,4097,931,2026-09-15
PL-12,P-002447,37247,4,4789,48,2026-09-15
PL-12,P-008106,24335,4,14477,2190,2026-09-15
PL-02,P-007706,4062,42,3882,1242,2026-09-15
PL-07,P-009205,5727,38,1121,1035,2026-09-15
PL-16,P-011444,25329,2,13775,590,2026-09-15
PL-08,P-004064,37963,14,3976,1571,2026-09-15
PL-05,P-003605,38543,32,2058,1476,2026-09-15
PL-19,P-008013,17660,30,3716,1224,2026-09-15
PL-09,P-011258,10203,32,6967,313,2026-09-15
PL-19,P-007477,36137,27,6461,272,2026-09-15
PL-18,P-010600,18021,23,9085,1714,2026-09-15
PL-14,P-011648,996,2,6440,958,2026-09-15
PL-03,P-008561,30504,19,3747,1032,2026-09-15
PL-11,P-011160,13557,30,5213,1680,2026-09-15
PL-13,P-003580,13299,0,13972,579,2026-09-15
PL-05,P-004855,16459,10,523,494,2026-09-15
PL-05,P-006104,1674,24,4268,1483,2026-09-15
PL-08,P-006667,35855,22,6397,1459,2026-09-15
PL-07,P-002390,28506,11,2164,1617,2026-09-15
PL-06,P-007718,32535,8,8565,805,2026-09-15
PL-07,P-000155,7139,30,806,838,2026-09-15
PL-14,P-003674,26385,7,15816,816,2026-09-15
PL-17,P-009647,38528,12,12457,174,2026-09-15
PL-16,P-008417,8524,22,12357,511,2026-09-15
PL-12,P-008698,21977,32,17249,281,2026-09-15
PL-11,P-002116,5529,21,16800,382,2026-09-15
PL-17,P-003314,18926,13,6037,662,2026-09-15
PL-20,P-004736,30088,42,7834,1341,2026-09-15
PL-11,P-010379,29089,41,14689,640,2026-09-15
PL-07,P-001067,22489,5,3219,815,2026-09-15
PL-04,P-008018,8363,6,15656,1579,2026-09-15
PL-03,P-010321,17292,29,7150,663,2026-09-15
PL-11,P-010199,7873,11,5169,68,2026-09-15
PL-07,P-008371,19583,9,13622,335,2026-09-15
PL-10,P-005121,3517,31,16917,333,2026-09-15
PL-02,P-001687,5159,30,5871,699,2026-09-15
PL-18,P-003962,35399,18,13525,895,2026-09-15
PL-18,P-003031,29047,25,4490,745,2026-09-15
PL-18,P-005541,6512,30,7699,216,2026-09-15
PL-16,P-009980,36709,21,5308,409,2026-09-15
PL-20,P-009467,20071,20,13372,693,2026-09-15
PL-12,P-006334,22323,24,12633,336,2026-09-15
PL-09,P-009322,24832,42,7694,586,2026-09-15
PL-09,P-009477,28509,23,17957,1432,2026-09-15
PL-03,P-008457,27811,3,17211,465,2026-09-15
PL-19,P-009741,11867,13,12695,137,2026-09-15
PL-08,P-007953,23749,20,14078,197,2026-09-15
PL-07,P-010852,8724,34,2080,622,2026-09-15
PL-03,P-003311,721,40,14654,160,2026-09-15
PL-04,P-011513,5438,32,9791,85,2026-09-15
PL-06,P-005439,31243,31,3304,1236,2026-09-15
PL-01,P-011179,7657,27,13404,402,2026-09-15
PL-20,P-008491,28264,16,10786,1007,2026-09-15
PL-17,P-006100,12895,2,7275,259,2026-09-15
PL-18,P-010124,35421,38,15021,727,2026-09-15
PL-18,P-004689,800,18,15939,353,2026-09-15
PL-18,P-000738,10924,40,2640,1497,2026-09-15
PL-19,P-010270,25499,24,11618,842,2026-09-15
PL-15,P-009257,34444,19,12111,1060,2026-09-15
PL-08,P-006282,24381,19,17935,246,2026-09-15
PL-12,P-008016,36391,40,1807,477,2026-09-15
PL-01,P-005993,7705,27,2426,1319,2026-09-15
PL-16,P-010315,38944,7,2865,1219,2026-09-15
PL-11,P-003783,23406,27,10950,456,2026-09-15
PL-04,P-001206,28222,12,13164,233,2026-09-15
PL-09,P-004073,21461,22,11575,1298,2026-09-15
PL-15,P-005072,26950,8,11273,1064,2026-09-15
PL-01,P-006947,32213,32,54,440,2026-09-15
PL-20,P-008556,27020,7,5726,767,2026-09-15
PL-14,P-000534,3004,12,5471,1303,2026-09-15
PL-01,P-000420,11304,38,3438,787,2026-09-15
PL-20,P-001221,7515,5,17152,707,2026-09-15
PL-16,P-008871,24103,41,1635,209,2026-09-15
PL-05,P-005747,32161,1,2439,1143,2026-09-15
PL-02,P-007940,19593,8,4125,112,2026-09-15
PL-16,P-010249,33947,42,9427,415,2026-09-15
PL-11,P-011462,27675,2,13259,1212,2026-09-15
PL-16,P-002318,14136,30,11234,1115,2026-09-15
PL-14,P-004222,26560,28,7426,287,2026-09-15
PL-11,P-003132,22113,13,16927,735,2026-09-15
PL-06,P-010838,1501,36,8423,259,2026-09-15
PL-10,P-011720,13819,27,6676,243,2026-09-15
PL-18,P-005933,39031,29,5550,547,2026-09-15
PL-10,P-006434,19133,13,9249,210,2026-09-15
PL-08,P-008157,36077,32,11766,344,2026-09-15
PL-20,P-005673,2573,13,14415,846,2026-09-15
PL-04,P-007640,13337,38,9750,273,2026-09-15
PL-02,P-000939,11690,18,11378,526,2026-09-15
PL-18,P-003413,32297,13,222,363,2026-09-15
PL-02,P-010278,17538,7,16816,1442,2026-09-15
PL-18,P-010379,5236,18,9355,2023,2026-09-15
PL-02,P-011163,21579,39,14625,1327,2026-09-15
PL-14,P-006389,17637,14,6624,1260,2026-09-15
PL-12,P-006902,13422,18,3968,1008,2026-09-15
PL-01,P-008979,32335,18,12946,741,2026-09-15
PL-02,P-003608,13748,37,14707,624,2026-09-15
PL-11,P-006348,14814,2,17436,708,2026-09-15
PL-11,P-001810,6803,41,7827,878,2026-09-15
PL-02,P-010124,9006,20,9645,1401,2026-09-15
PL-09,P-001769,16850,3,14943,1215,2026-09-15
PL-09,P-008481,22967,20,6604,867,2026-09-15
PL-11,P-000544,32924,17,11472,290,2026-09-15
PL-19,P-009182,33819,9,12534,773,2026-09-15
PL-08,P-009896,16291,8,12582,745,2026-09-15
PL-13,P-005098,31323,27,15546,743,2026-09-15
PL-18,P-007062,34985,0,3494,219,2026-09-15
PL-19,P-009771,29455,38,4199,972,2026-09-15
PL-08,P-009498,19771,22,4249,566,2026-09-15
PL-11,P-001579,25372,3,9244,2043,2026-09-15
PL-05,P-011616,5949,39,15510,1302,2026-09-15
PL-10,P-002078,15130,4,395,617,2026-09-15
PL-04,P-004604,15336,18,10520,419,2026-09-15
PL-07,P-001065,25538,11,12488,774,2026-09-15
PL-12,P-003386,22833,7,16792,1042,2026-09-15
PL-19,P-007936,11518,17,15846,1104,2026-09-15
PL-12,P-007769,21923,16,11623,2038,2026-09-15
PL-10,P-007904,38352,3,4223,638,2026-09-15
PL-12,P-007864,13504,3,8039,733,2026-09-15
PL-11,P-000634,18175,14,4150,311,2026-09-15
PL-01,P-002829,32406,11,10258,238,2026-09-15
PL-20,P-001850,119,19,2031,1274,2026-09-15
PL-15,P-004987,15981,14,8257,376,2026-09-15
PL-02,P-011497,23454,3,5837,1109,2026-09-15
PL-08,P-004414,9144,25,5552,1079,2026-09-15
PL-13,P-003002,33102,42,12740,809,2026-09-15
PL-16,P-004018,10227,26,6772,151,2026-09-15
PL-10,P-003201,6933,20,526,1364,2026-09-15
PL-16,P-010205,12030,5,4128,1485,2026-09-15
PL-14,P-011504,14175,30,11147,180,2026-09-15
PL-11,P-011179,2447,29,6367,534,2026-09-15
