customer_id,customer_name,customer_type,region,country,tier_rank,otif_target_pct,penalty_usd_per_day,annual_revenue_usd,contract_type
C-00067,Cordis Systems 00067,Tier-1,APAC-SE,Malaysia,266,95,1907,1700000,LTA
C-00068,Baltia Distribution 00068,Distributor,APAC-NE,Taiwan,49,95,2654,4400000,LTA
C-00069,Cordis Distribution 00069,Distributor,APAC-NE,Japan,280,95,2503,1200000,LTA
C-00070,Atlas Motors 00070,OEM,APAC-SE,Thailand,449,98,12919,68400000,LTA
C-00071,Atlas Motors 00071,OEM,NA-US,United States,130,98,46861,70900000,consignment
C-00072,Atlas Distribution 00072,Distributor,APAC-IN,India,241,95,2678,1100000,LTA
C-00073,Orion Distribution 00073,Distributor,NA-MX,Mexico,91,95,3128,2300000,consignment
C-00074,Delantra Distribution 00074,Distributor,NA-MX,Mexico,356,95,1715,600000,LTA
C-00075,Orion Systems 00075,Tier-1,EMEA-E,Romania,47,95,3835,5200000,LTA
C-00076,Norvia Motors 00076,OEM,SA,Brazil,262,98,59602,54500000,consignment
C-00077,Norvia Distribution 00077,Distributor,SA,Brazil,100,95,2971,600000,spot
C-00078,Delantra Motors 00078,OEM,NA-MX,Mexico,410,98,45245,80000000,LTA
C-00079,Baltia Distribution 00079,Distributor,NA-US,United States,332,95,3987,3000000,LTA
C-00080,Orion Distribution 00080,Aftermarket,NA-US,United States,219,95,1899,500000,spot
C-00081,Atlas Systems 00081,Tier-1,APAC-NE,China,489,95,1415,3400000,LTA
C-00082,Vantage Distribution 00082,Aftermarket,APAC-IN,India,248,95,2965,5400000,consignment
C-00083,Delantra Motors 00083,OEM,NA-US,United States,437,98,40969,11500000,spot
C-00084,Delantra Distribution 00084,Distributor,NA-MX,Mexico,172,95,486,5400000,LTA
C-00085,Cordis Distribution 00085,Aftermarket,EMEA-W,France,420,95,2650,3100000,LTA
C-00086,Kestrel Distribution 00086,Distributor,EMEA-W,France,469,95,2543,5000000,LTA
C-00087,Orion Distribution 00087,Distributor,SA,Brazil,272,95,2099,500000,consignment
C-00088,Baltia Distribution 00088,Aftermarket,EMEA-W,France,170,95,584,1000000,spot
C-00089,Norvia Systems 00089,Tier-1,NA-MX,Mexico,288,95,2639,4400000,consignment
C-00090,Vantage Systems 00090,Tier-1,APAC-SE,Vietnam,298,95,624,1900000,LTA
C-00091,Kestrel Distribution 00091,Aftermarket,EMEA-E,Poland,202,95,174,300000,spot
C-00092,Sumida Motors 00092,OEM,APAC-NE,South Korea,199,98,36343,52100000,spot
C-00093,Cordis Systems 00093,Tier-1,NA-US,United States,207,95,356,4200000,spot
C-00094,Kestrel Distribution 00094,Distributor,SA,Brazil,64,95,964,800000,LTA
C-00095,Delantra Motors 00095,OEM,APAC-NE,Taiwan,223,98,36523,3400000,LTA
C-00096,Atlas Motors 00096,OEM,EMEA-W,Germany,39,98,26506,53900000,LTA
C-00097,Norvia Motors 00097,OEM,NA-US,United States,118,98,22281,67000000,LTA
C-00098,Atlas Distribution 00098,Aftermarket,APAC-NE,China,148,95,893,4700000,LTA
C-00099,Sumida Systems 00099,Tier-1,EMEA-W,Spain,272,95,2220,2600000,consignment
C-00100,Baltia Distribution 00100,Aftermarket,EMEA-E,Romania,496,95,1245,5800000,consignment
C-00101,Atlas Distribution 00101,Aftermarket,NA-US,United States,50,95,1004,1500000,consignment
C-00102,Atlas Distribution 00102,Distributor,SA,Argentina,336,95,2361,2400000,LTA
C-00103,Orion Motors 00103,OEM,APAC-IN,India,191,98,44701,74800000,spot
C-00104,Sumida Motors 00104,OEM,APAC-SE,Thailand,134,98,6532,37900000,LTA
C-00105,Baltia Motors 00105,OEM,SA,Brazil,45,98,24929,49900000,consignment
C-00106,Norvia Systems 00106,Tier-1,SA,Argentina,57,95,1223,5200000,consignment
C-00107,Delantra Motors 00107,OEM,EMEA-W,Italy,345,98,25568,42400000,consignment
C-00108,Delantra Motors 00108,OEM,APAC-NE,Japan,247,98,9752,76500000,consignment
C-00109,Cordis Motors 00109,OEM,APAC-IN,India,232,98,44247,57900000,spot
C-00110,Delantra Distribution 00110,Distributor,EMEA-E,Turkey,485,95,2782,2200000,LTA
C-00111,Delantra Distribution 00111,Aftermarket,APAC-SE,Malaysia,430,95,2865,4200000,LTA
C-00112,Orion Systems 00112,Tier-1,APAC-IN,India,422,95,1190,4100000,LTA
C-00113,Delantra Motors 00113,OEM,APAC-IN,India,85,98,10095,69100000,consignment
C-00114,Sumida Motors 00114,OEM,NA-MX,Mexico,192,98,54115,18000000,consignment
C-00115,Delantra Distribution 00115,Distributor,NA-MX,Mexico,386,95,1033,1300000,LTA
C-00116,Norvia Distribution 00116,Aftermarket,NA-US,United States,391,95,2859,3600000,consignment
C-00117,Bluepeak Systems 00117,Tier-1,NA-MX,Mexico,268,95,765,4600000,spot
C-00118,Kestrel Motors 00118,OEM,APAC-SE,Indonesia,492,98,51805,79000000,LTA
C-00119,Baltia Distribution 00119,Distributor,APAC-IN,India,498,95,1114,100000,consignment
C-00120,Sumida Motors 00120,OEM,NA-MX,Mexico,311,98,14680,48900000,consignment
C-00121,Vantage Systems 00121,Tier-1,EMEA-W,Italy,239,95,3397,1500000,LTA
C-00122,Norvia Distribution 00122,Distributor,NA-MX,Mexico,418,95,3650,3800000,LTA
C-00123,Kestrel Distribution 00123,Distributor,EMEA-E,Czechia,166,95,1395,1500000,LTA
C-00124,Delantra Motors 00124,OEM,NA-MX,Mexico,469,98,27396,11400000,consignment
C-00125,Vantage Distribution 00125,Aftermarket,SA,Argentina,406,95,1443,3300000,LTA
C-00126,Bluepeak Systems 00126,Tier-1,APAC-NE,South Korea,418,95,3785,500000,spot
C-00127,Cordis Distribution 00127,Aftermarket,APAC-IN,India,266,95,3689,5500000,consignment
C-00128,Cordis Distribution 00128,Aftermarket,NA-US,United States,400,95,2751,1300000,LTA
C-00129,Kestrel Motors 00129,OEM,NA-MX,Mexico,31,98,51426,53500000,LTA
C-00130,Sumida Motors 00130,OEM,SA,Brazil,82,98,7365,31100000,LTA
C-00131,Orion Motors 00131,OEM,APAC-IN,India,274,98,59087,20900000,LTA
C-00132,Delantra Motors 00132,OEM,EMEA-W,Germany,369,98,9362,87900000,consignment
C-00133,Vantage Distribution 00133,Aftermarket,APAC-NE,Japan,188,95,2692,2700000,spot
C-00134,Orion Motors 00134,OEM,NA-MX,Mexico,189,98,47737,34500000,spot
C-00135,Norvia Systems 00135,Tier-1,EMEA-E,Turkey,437,95,3049,5500000,consignment
C-00136,Orion Motors 00136,OEM,EMEA-E,Poland,303,98,16937,12700000,LTA
C-00137,Delantra Distribution 00137,Distributor,SA,Argentina,499,95,3882,4800000,LTA
C-00138,Sumida Motors 00138,OEM,APAC-SE,Malaysia,247,98,6466,66400000,spot
C-00139,Delantra Systems 00139,Tier-1,EMEA-W,Spain,186,95,2032,2200000,LTA
C-00140,Bluepeak Motors 00140,OEM,SA,Brazil,110,98,41454,44900000,LTA
C-00141,Cordis Distribution 00141,Distributor,NA-MX,Mexico,442,95,663,600000,LTA
C-00142,Orion Distribution 00142,Aftermarket,EMEA-E,Turkey,359,95,1439,3100000,consignment
C-00143,Orion Distribution 00143,Aftermarket,EMEA-W,Spain,127,95,1315,2400000,consignment
C-00144,Vantage Systems 00144,Tier-1,SA,Brazil,392,95,3286,5800000,LTA
C-00145,Sumida Systems 00145,Tier-1,SA,Argentina,308,95,2457,4500000,LTA
C-00146,Orion Motors 00146,OEM,SA,Argentina,49,98,58987,61300000,consignment
C-00147,Baltia Distribution 00147,Distributor,SA,Brazil,260,95,361,500000,spot
C-00148,Bluepeak Motors 00148,OEM,APAC-SE,Indonesia,121,98,28023,65000000,spot
C-00149,Orion Motors 00149,OEM,NA-MX,Mexico,370,98,20227,72100000,LTA
C-00150,Baltia Distribution 00150,Aftermarket,APAC-NE,China,431,95,972,4200000,LTA
C-00151,Norvia Motors 00151,OEM,EMEA-W,Spain,327,98,25900,19200000,LTA
C-00152,Cordis Distribution 00152,Distributor,SA,Brazil,116,95,2173,4300000,LTA
C-00153,Kestrel Motors 00153,OEM,NA-US,United States,187,98,30684,70900000,spot
C-00154,Norvia Distribution 00154,Aftermarket,EMEA-E,Turkey,405,95,2858,2700000,LTA
C-00155,Cordis Distribution 00155,Distributor,SA,Brazil,292,95,2127,3400000,spot
C-00156,Norvia Motors 00156,OEM,NA-US,United States,44,98,18710,52400000,spot
C-00157,Vantage Distribution 00157,Distributor,APAC-NE,South Korea,33,95,2621,600000,LTA
C-00158,Bluepeak Motors 00158,OEM,EMEA-E,Poland,108,98,50062,51000000,consignment
C-00159,Norvia Motors 00159,OEM,APAC-SE,Indonesia,14,98,44258,18600000,consignment
C-00160,Orion Distribution 00160,Aftermarket,APAC-NE,China,238,95,2893,4400000,consignment
C-00161,Atlas Systems 00161,Tier-1,EMEA-W,Germany,22,95,1355,2000000,LTA
C-00162,Norvia Motors 00162,OEM,NA-MX,Mexico,363,98,6787,77500000,LTA
C-00163,Orion Motors 00163,OEM,APAC-SE,Indonesia,38,98,9382,23800000,consignment
C-00164,Delantra Distribution 00164,Aftermarket,NA-US,United States,481,95,45,5300000,consignment
C-00165,Vantage Motors 00165,OEM,EMEA-E,Romania,375,98,58588,34400000,LTA
C-00166,Sumida Motors 00166,OEM,EMEA-E,Romania,60,98,40150,31200000,consignment
C-00167,Baltia Motors 00167,OEM,APAC-NE,China,99,98,58931,74100000,LTA
C-00168,Atlas Motors 00168,OEM,SA,Argentina,166,98,22171,71700000,spot
C-00169,Sumida Distribution 00169,Distributor,EMEA-W,Germany,356,95,3882,2200000,LTA
C-00170,Kestrel Distribution 00170,Aftermarket,SA,Brazil,322,95,228,1700000,spot
C-00171,Norvia Motors 00171,OEM,APAC-IN,India,225,98,18242,43700000,spot
C-00172,Cordis Motors 00172,OEM,NA-MX,Mexico,327,98,50562,37500000,spot
C-00173,Orion Motors 00173,OEM,NA-US,United States,319,98,45977,35000000,spot
C-00174,Bluepeak Distribution 00174,Aftermarket,APAC-IN,India,239,95,2890,5000000,consignment
C-00175,Atlas Systems 00175,Tier-1,NA-US,United States,31,95,1983,4100000,LTA
C-00176,Delantra Distribution 00176,Distributor,NA-US,United States,190,95,736,1300000,spot
C-00177,Bluepeak Distribution 00177,Distributor,APAC-IN,India,460,95,3381,200000,LTA
C-00178,Delantra Distribution 00178,Distributor,APAC-IN,India,349,95,2141,4500000,consignment
C-00179,Sumida Distribution 00179,Aftermarket,APAC-IN,India,133,95,2371,6000000,spot
C-00180,Cordis Distribution 00180,Distributor,APAC-IN,India,481,95,1610,5900000,spot
C-00181,Sumida Distribution 00181,Aftermarket,APAC-IN,India,226,95,509,4900000,LTA
C-00182,Cordis Motors 00182,OEM,APAC-IN,India,156,98,52918,48200000,LTA
C-00183,Bluepeak Distribution 00183,Aftermarket,NA-MX,Mexico,275,95,210,500000,spot
C-00184,Vantage Distribution 00184,Distributor,NA-MX,Mexico,290,95,1791,4900000,spot
C-00185,Norvia Distribution 00185,Distributor,NA-US,United States,321,95,10,1500000,LTA
C-00186,Vantage Motors 00186,OEM,EMEA-E,Poland,449,98,13382,84100000,LTA
C-00187,Cordis Distribution 00187,Aftermarket,APAC-NE,Taiwan,71,95,2388,3300000,spot
C-00188,Orion Motors 00188,OEM,APAC-IN,India,196,98,23014,43600000,spot
C-00189,Vantage Systems 00189,Tier-1,EMEA-E,Turkey,456,95,2972,5300000,LTA
C-00190,Baltia Systems 00190,Tier-1,APAC-IN,India,137,95,3931,3900000,consignment
C-00191,Norvia Systems 00191,Tier-1,APAC-IN,India,382,95,2937,3500000,LTA
C-00192,Kestrel Distribution 00192,Aftermarket,EMEA-E,Turkey,410,95,3040,400000,LTA
C-00193,Bluepeak Motors 00193,OEM,APAC-IN,India,189,98,51762,13200000,spot
C-00194,Kestrel Motors 00194,OEM,NA-MX,Mexico,354,98,51476,33300000,spot
C-00195,Atlas Motors 00195,OEM,NA-US,United States,435,98,27613,37800000,spot
C-00196,Orion Motors 00196,OEM,APAC-NE,China,296,98,27094,87300000,LTA
C-00197,Baltia Systems 00197,Tier-1,APAC-NE,Japan,417,95,1953,5100000,spot
C-00198,Orion Distribution 00198,Aftermarket,APAC-IN,India,127,95,1444,1100000,spot
C-00199,Bluepeak Motors 00199,OEM,APAC-NE,South Korea,492,98,44918,53000000,consignment
C-00200,Atlas Distribution 00200,Distributor,EMEA-E,Poland,244,95,2554,900000,consignment
C-00201,Bluepeak Distribution 00201,Distributor,EMEA-W,Italy,110,95,3906,4400000,spot
C-00202,Bluepeak Motors 00202,OEM,EMEA-E,Turkey,291,98,11217,29000000,spot
C-00203,Sumida Distribution 00203,Distributor,EMEA-W,Spain,260,95,2809,100000,spot
C-00204,Baltia Distribution 00204,Aftermarket,NA-MX,Mexico,26,95,3759,4400000,spot
C-00205,Norvia Motors 00205,OEM,EMEA-E,Czechia,67,98,24058,55100000,consignment
C-00206,Cordis Systems 00206,Tier-1,SA,Argentina,454,95,119,100000,spot
C-00207,Cordis Distribution 00207,Aftermarket,APAC-SE,Indonesia,386,95,513,5400000,LTA
C-00208,Sumida Systems 00208,Tier-1,NA-US,United States,491,95,3093,5700000,spot
C-00209,Baltia Distribution 00209,Distributor,EMEA-E,Turkey,451,95,3850,2800000,LTA
C-00210,Norvia Distribution 00210,Distributor,NA-US,United States,272,95,1330,5900000,spot
C-00211,Delantra Distribution 00211,Distributor,EMEA-E,Turkey,199,95,1830,2600000,LTA
C-00212,Orion Motors 00212,OEM,APAC-NE,Japan,262,98,9680,28100000,LTA
C-00213,Orion Distribution 00213,Distributor,APAC-NE,South Korea,436,95,801,1600000,consignment
C-00214,Delantra Distribution 00214,Aftermarket,APAC-IN,India,150,95,181,5600000,LTA
C-00215,Baltia Distribution 00215,Distributor,SA,Brazil,492,95,3081,1800000,LTA
C-00216,Orion Motors 00216,OEM,EMEA-E,Romania,189,98,23680,16100000,consignment
C-00217,Sumida Motors 00217,OEM,APAC-IN,India,461,98,15728,64000000,LTA
C-00218,Cordis Distribution 00218,Distributor,NA-US,United States,375,95,270,3100000,consignment
C-00219,Cordis Motors 00219,OEM,APAC-NE,South Korea,97,98,48962,89200000,spot
C-00220,Kestrel Distribution 00220,Aftermarket,APAC-SE,Thailand,357,95,493,3500000,LTA
C-00221,Vantage Motors 00221,OEM,APAC-NE,Japan,224,98,40445,59100000,spot
C-00222,Vantage Motors 00222,OEM,SA,Brazil,162,98,49461,60800000,LTA
C-00223,Atlas Distribution 00223,Distributor,NA-MX,Mexico,447,95,76,200000,LTA
C-00224,Orion Distribution 00224,Aftermarket,EMEA-E,Turkey,427,95,1244,2400000,consignment
C-00225,Orion Distribution 00225,Aftermarket,APAC-NE,China,259,95,2720,2600000,spot
C-00226,Kestrel Motors 00226,OEM,NA-US,United States,35,98,26113,7900000,spot
C-00227,Orion Motors 00227,OEM,APAC-IN,India,495,98,48734,73900000,LTA
C-00228,Baltia Motors 00228,OEM,APAC-IN,India,382,98,48671,75100000,spot
C-00229,Sumida Systems 00229,Tier-1,EMEA-E,Czechia,241,95,3191,5700000,spot
C-00230,Bluepeak Motors 00230,OEM,EMEA-W,France,198,98,25740,7700000,LTA
C-00231,Orion Motors 00231,OEM,NA-MX,Mexico,112,98,37805,44000000,LTA
C-00232,Sumida Systems 00232,Tier-1,APAC-IN,India,202,95,3085,1000000,LTA
C-00233,Norvia Systems 00233,Tier-1,APAC-NE,Japan,377,95,3411,3900000,consignment
C-00234,Vantage Distribution 00234,Aftermarket,APAC-IN,India,283,95,640,5300000,consignment
C-00235,Norvia Motors 00235,OEM,SA,Argentina,211,98,19954,37100000,LTA
C-00236,Delantra Motors 00236,OEM,NA-US,United States,417,98,38166,76400000,consignment
C-00237,Orion Motors 00237,OEM,APAC-IN,India,13,98,11371,17400000,consignment
C-00238,Kestrel Distribution 00238,Distributor,EMEA-W,France,477,95,3117,200000,LTA
C-00239,Delantra Systems 00239,Tier-1,APAC-NE,South Korea,85,95,1550,3900000,consignment
C-00240,Bluepeak Systems 00240,Tier-1,NA-US,United States,131,95,907,5800000,LTA
C-00241,Atlas Distribution 00241,Distributor,APAC-IN,India,318,95,1570,300000,consignment
C-00242,Cordis Systems 00242,Tier-1,APAC-IN,India,102,95,1605,1700000,consignment
C-00243,Baltia Distribution 00243,Distributor,APAC-NE,China,287,95,2510,1000000,LTA
C-00244,Baltia Distribution 00244,Aftermarket,EMEA-W,Spain,336,95,542,5400000,LTA
C-00245,Kestrel Systems 00245,Tier-1,NA-US,United States,255,95,817,5100000,spot
C-00246,Bluepeak Motors 00246,OEM,SA,Argentina,37,98,22860,58700000,LTA
C-00247,Norvia Distribution 00247,Distributor,SA,Argentina,270,95,1024,4600000,LTA
C-00248,Sumida Motors 00248,OEM,APAC-IN,India,274,98,55565,36000000,LTA
C-00249,Atlas Motors 00249,OEM,APAC-SE,Malaysia,60,98,6861,50300000,LTA
C-00250,Cordis Motors 00250,OEM,NA-US,United States,130,98,35286,79200000,LTA
C-00251,Cordis Motors 00251,OEM,NA-MX,Mexico,105,98,40415,88900000,LTA
C-00252,Kestrel Distribution 00252,Aftermarket,EMEA-E,Czechia,85,95,1473,5200000,spot
C-00253,Vantage Distribution 00253,Aftermarket,EMEA-E,Poland,459,95,2522,2600000,consignment
C-00254,Atlas Systems 00254,Tier-1,EMEA-W,Italy,449,95,3674,1400000,consignment
C-00255,Baltia Distribution 00255,Distributor,NA-MX,Mexico,391,95,3422,4700000,LTA
C-00256,Orion Distribution 00256,Distributor,APAC-IN,India,411,95,555,800000,consignment
C-00257,Sumida Distribution 00257,Distributor,APAC-NE,Japan,84,95,1519,5300000,consignment
C-00258,Kestrel Distribution 00258,Distributor,NA-MX,Mexico,484,95,3210,3000000,LTA
C-00259,Delantra Systems 00259,Tier-1,APAC-NE,China,354,95,1196,5200000,spot
C-00260,Atlas Distribution 00260,Aftermarket,EMEA-E,Turkey,448,95,3930,1700000,spot
C-00261,Orion Motors 00261,OEM,EMEA-E,Czechia,389,98,45459,89900000,LTA
C-00262,Cordis Motors 00262,OEM,EMEA-W,Italy,206,98,25470,35900000,LTA
C-00263,Orion Distribution 00263,Distributor,EMEA-E,Czechia,25,95,1765,300000,consignment
C-00264,Bluepeak Motors 00264,OEM,APAC-SE,Vietnam,315,98,34454,7000000,spot
C-00265,Orion Motors 00265,OEM,APAC-SE,Indonesia,427,98,44254,7800000,spot
C-00266,Bluepeak Motors 00266,OEM,NA-US,United States,63,98,27792,25200000,LTA
C-00267,Sumida Distribution 00267,Distributor,NA-US,United States,120,95,2320,2000000,spot
C-00268,Norvia Motors 00268,OEM,APAC-SE,Indonesia,382,98,42120,36100000,LTA
C-00269,Atlas Systems 00269,Tier-1,APAC-SE,Thailand,114,95,1794,4500000,LTA
C-00270,Vantage Distribution 00270,Distributor,APAC-IN,India,392,95,2871,600000,LTA
C-00271,Baltia Motors 00271,OEM,SA,Argentina,105,98,42656,69400000,consignment
C-00272,Delantra Motors 00272,OEM,APAC-NE,South Korea,30,98,28766,29700000,LTA
C-00273,Sumida Motors 00273,OEM,APAC-IN,India,218,98,49681,9800000,LTA
C-00274,Baltia Distribution 00274,Distributor,APAC-IN,India,246,95,81,4600000,spot
C-00275,Sumida Distribution 00275,Aftermarket,APAC-NE,South Korea,348,95,1179,1000000,LTA
C-00276,Delantra Distribution 00276,Distributor,EMEA-W,Italy,229,95,1891,1300000,consignment
C-00277,Sumida Motors 00277,OEM,APAC-SE,Thailand,40,98,10340,47600000,spot
C-00278,Sumida Distribution 00278,Distributor,EMEA-E,Czechia,56,95,2076,4400000,LTA
C-00279,Orion Distribution 00279,Distributor,NA-US,United States,495,95,1937,3700000,spot
C-00280,Atlas Motors 00280,OEM,NA-MX,Mexico,147,98,12534,31200000,LTA
C-00281,Cordis Systems 00281,Tier-1,APAC-NE,China,164,95,3033,2300000,spot
C-00282,Bluepeak Distribution 00282,Aftermarket,NA-MX,Mexico,273,95,3770,5700000,consignment
C-00283,Atlas Distribution 00283,Aftermarket,EMEA-W,Spain,446,95,3543,5100000,consignment
C-00284,Sumida Systems 00284,Tier-1,SA,Argentina,38,95,175,3800000,LTA
C-00285,Cordis Motors 00285,OEM,EMEA-E,Romania,447,98,17166,44900000,LTA
C-00286,Cordis Motors 00286,OEM,NA-US,United States,411,98,15164,15200000,LTA
C-00287,Cordis Motors 00287,OEM,NA-MX,Mexico,26,98,47820,27400000,consignment
C-00288,Baltia Motors 00288,OEM,EMEA-W,Germany,118,98,19096,83100000,spot
C-00289,Atlas Distribution 00289,Aftermarket,NA-MX,Mexico,128,95,3006,2500000,spot
C-00290,Delantra Motors 00290,OEM,APAC-IN,India,455,98,32717,33300000,consignment
C-00291,Kestrel Distribution 00291,Distributor,SA,Argentina,268,95,961,900000,consignment
C-00292,Norvia Systems 00292,Tier-1,NA-MX,Mexico,326,95,42,2400000,consignment
C-00293,Cordis Distribution 00293,Aftermarket,APAC-IN,India,52,95,1540,3600000,consignment
C-00294,Kestrel Motors 00294,OEM,APAC-IN,India,204,98,20442,71400000,consignment
C-00295,Atlas Distribution 00295,Aftermarket,APAC-NE,South Korea,445,95,1434,400000,LTA
C-00296,Baltia Motors 00296,OEM,APAC-SE,Malaysia,491,98,5361,30500000,LTA
C-00297,Norvia Systems 00297,Tier-1,NA-MX,Mexico,141,95,3695,1600000,LTA
C-00298,Cordis Systems 00298,Tier-1,APAC-IN,India,495,95,1366,400000,consignment
C-00299,Sumida Motors 00299,OEM,EMEA-E,Poland,152,98,32852,67300000,spot
