fg_id,description,program,fg_family,plant_id,price_usd,std_cost_usd,margin_pct,weekly_volume,lifecycle
FG-00121,Exterior module assembly 00121,Aftermarket Service,Electrical & electronics,PL-10,3992.53,3509.43,12.1,1604,ramp-up
FG-00122,Exterior module assembly 00122,Aftermarket Service,Powertrain,PL-08,3680.5,3058.5,16.9,564,mature
FG-00123,Body-in-white assembly 00123,Aftermarket Service,Chassis & suspension,PL-11,1693.92,1256.89,25.8,1239,mature
FG-00124,Service kit assembly 00124,BEV Crossover,Interior module,PL-01,2633.57,2201.66,16.4,3207,ramp-up
FG-00125,Exterior module assembly 00125,Aftermarket Service,Powertrain,PL-06,954.41,834.15,12.6,2391,mature
FG-00126,Chassis & suspension assembly 00126,C-SUV Gen4,Service kit,PL-15,1164.39,900.07,22.7,2802,mature
FG-00127,Service kit assembly 00127,Pickup Midsize,Chassis & suspension,PL-07,2965.48,2763.83,6.8,2980,mature
FG-00128,Body-in-white assembly 00128,BEV Compact,Chassis & suspension,PL-17,1196.84,1137,5,2535,run-out
FG-00129,Exterior module assembly 00129,Aftermarket Service,Body-in-white,PL-19,580.21,533.79,8,2302,run-out
FG-00130,Exterior module assembly 00130,D-Sedan,Powertrain,PL-04,3717.49,3301.13,11.2,1891,mature
FG-00131,Service kit assembly 00131,Hybrid D-Sedan,Thermal system,PL-15,1425.47,1291.48,9.4,2213,mature
FG-00132,E-drive assembly 00132,D-Sedan,Service kit,PL-20,2802.79,2231.02,20.4,1612,run-out
FG-00133,Interior module assembly 00133,C-SUV Gen4,E-drive,PL-16,1154.07,1091.75,5.4,748,mature
FG-00134,Thermal system assembly 00134,C-SUV Gen4,Chassis & suspension,PL-15,421.25,353.43,16.1,1100,mature
FG-00135,Electrical & electronics assembly 00135,E-Van Commercial,Powertrain,PL-03,2402.03,1933.63,19.5,863,mature
FG-00136,E-drive assembly 00136,C-SUV Gen5,Exterior module,PL-17,460.64,392.93,14.7,3378,ramp-up
FG-00137,Service kit assembly 00137,D-Sedan,Powertrain,PL-16,505.68,382.29,24.4,273,run-out
FG-00138,Interior module assembly 00138,BEV Compact,Body-in-white,PL-10,2755.18,2573.34,6.6,1152,ramp-up
FG-00139,E-drive assembly 00139,BEV Crossover,Chassis & suspension,PL-07,2458.89,2122.02,13.7,200,mature
FG-00140,Chassis & suspension assembly 00140,C-SUV Gen5,Electrical & electronics,PL-12,1267.69,1175.15,7.3,673,ramp-up
FG-00141,Powertrain assembly 00141,BEV Compact,Service kit,PL-02,165.25,149.39,9.6,2769,run-out
FG-00142,Body-in-white assembly 00142,BEV Compact,Exterior module,PL-08,3046.83,2443.56,19.8,235,mature
FG-00143,Interior module assembly 00143,BEV Compact,Interior module,PL-13,1860.28,1389.63,25.3,848,mature
FG-00144,Thermal system assembly 00144,C-SUV Gen4,Powertrain,PL-09,1479.26,1187.85,19.7,2700,mature
FG-00145,Thermal system assembly 00145,Aftermarket Service,Interior module,PL-12,1208.58,1134.86,6.1,1916,mature
FG-00146,Chassis & suspension assembly 00146,C-SUV Gen4,Service kit,PL-07,3556.81,3332.73,6.3,1555,mature
FG-00147,Service kit assembly 00147,C-SUV Gen4,Service kit,PL-15,416.02,364.85,12.3,2779,run-out
FG-00148,Exterior module assembly 00148,E-Van Commercial,Exterior module,PL-11,3128.71,2844,9.1,998,mature
FG-00149,Thermal system assembly 00149,Hybrid D-Sedan,Thermal system,PL-09,101.97,96.06,5.8,2090,run-out
FG-00150,Service kit assembly 00150,Aftermarket Service,Thermal system,PL-05,4013.76,3744.84,6.7,1998,mature
FG-00151,Service kit assembly 00151,C-SUV Gen4,Electrical & electronics,PL-17,1636.44,1449.89,11.4,1536,mature
FG-00152,Powertrain assembly 00152,B-Hatch Facelift,Interior module,PL-01,1562.48,1217.17,22.1,3472,mature
FG-00153,Powertrain assembly 00153,BEV Compact,Interior module,PL-06,1167.3,1010.88,13.4,3233,mature
FG-00154,Service kit assembly 00154,BEV Crossover,E-drive,PL-19,1614.36,1306.02,19.1,3472,mature
FG-00155,E-drive assembly 00155,Pickup Midsize,Powertrain,PL-11,267.44,250.59,6.3,3353,mature
FG-00156,Chassis & suspension assembly 00156,Hybrid D-Sedan,Powertrain,PL-20,2060.02,1660.38,19.4,362,mature
FG-00157,Electrical & electronics assembly 00157,C-SUV Gen5,Electrical & electronics,PL-06,4116.98,3124.79,24.1,858,mature
FG-00158,E-drive assembly 00158,BEV Crossover,Powertrain,PL-05,3488.38,2741.87,21.4,1563,ramp-up
FG-00159,Electrical & electronics assembly 00159,E-Van Commercial,Powertrain,PL-01,3065.46,2608.71,14.9,2472,mature
FG-00160,Powertrain assembly 00160,B-Hatch Facelift,Exterior module,PL-09,3213.86,2985.68,7.1,2051,mature
FG-00161,E-drive assembly 00161,E-Van Commercial,Body-in-white,PL-20,4053.99,3081.03,24,1170,mature
FG-00162,Body-in-white assembly 00162,BEV Compact,Thermal system,PL-18,1768.58,1501.52,15.1,660,mature
FG-00163,Exterior module assembly 00163,Pickup Midsize,Chassis & suspension,PL-16,3867.48,2927.68,24.3,49,run-out
FG-00164,Thermal system assembly 00164,C-SUV Gen5,Service kit,PL-06,1084.55,919.7,15.2,1262,mature
FG-00165,Body-in-white assembly 00165,BEV Compact,Chassis & suspension,PL-08,3936.82,3472.28,11.8,2163,mature
FG-00166,Body-in-white assembly 00166,B-Hatch Facelift,Interior module,PL-11,2675.81,1990.8,25.6,2611,mature
FG-00167,E-drive assembly 00167,E-Van Commercial,Exterior module,PL-16,211.04,185.5,12.1,367,mature
FG-00168,Service kit assembly 00168,D-Sedan,Electrical & electronics,PL-10,1665.7,1507.46,9.5,3300,ramp-up
FG-00169,Service kit assembly 00169,C-SUV Gen4,Chassis & suspension,PL-20,2114.53,1668.36,21.1,1181,mature
FG-00170,E-drive assembly 00170,Aftermarket Service,Exterior module,PL-18,1588.95,1366.5,14,2944,mature
FG-00171,E-drive assembly 00171,E-Van Commercial,Body-in-white,PL-11,1644.22,1438.69,12.5,3283,ramp-up
FG-00172,Interior module assembly 00172,Hybrid D-Sedan,Interior module,PL-20,108.96,83.68,23.2,3365,mature
FG-00173,Thermal system assembly 00173,C-SUV Gen5,Electrical & electronics,PL-14,636.74,572.43,10.1,2479,mature
FG-00174,Chassis & suspension assembly 00174,Aftermarket Service,Exterior module,PL-10,3819.92,3476.13,9,2207,mature
FG-00175,Interior module assembly 00175,Hybrid D-Sedan,Exterior module,PL-19,640.65,597.09,6.8,439,mature
FG-00176,Electrical & electronics assembly 00176,E-Van Commercial,Chassis & suspension,PL-10,1499.04,1115.29,25.6,1683,mature
FG-00177,Thermal system assembly 00177,Aftermarket Service,Exterior module,PL-18,1098.59,926.11,15.7,2102,mature
FG-00178,Service kit assembly 00178,BEV Crossover,Interior module,PL-20,3838.71,3109.36,19,2190,ramp-up
FG-00179,Electrical & electronics assembly 00179,C-SUV Gen4,Interior module,PL-06,1684.49,1505.93,10.6,1732,run-out
FG-00180,Thermal system assembly 00180,Pickup Midsize,E-drive,PL-17,78.69,71.21,9.5,3498,ramp-up
FG-00181,Service kit assembly 00181,C-SUV Gen5,Chassis & suspension,PL-09,485.77,381.82,21.4,3005,ramp-up
FG-00182,E-drive assembly 00182,Hybrid D-Sedan,Electrical & electronics,PL-16,1893.32,1696.41,10.4,2142,ramp-up
FG-00183,Powertrain assembly 00183,BEV Crossover,E-drive,PL-09,495.48,453.36,8.5,1287,run-out
FG-00184,Powertrain assembly 00184,BEV Compact,Powertrain,PL-17,4178.69,3618.75,13.4,173,mature
FG-00185,Powertrain assembly 00185,C-SUV Gen5,Powertrain,PL-13,3639.54,2773.33,23.8,3715,run-out
FG-00186,Electrical & electronics assembly 00186,B-Hatch Facelift,Service kit,PL-08,4009.83,3332.17,16.9,2552,run-out
FG-00187,Thermal system assembly 00187,E-Van Commercial,Service kit,PL-13,648.88,521.05,19.7,139,run-out
FG-00188,Electrical & electronics assembly 00188,B-Hatch Facelift,Chassis & suspension,PL-01,2977.9,2635.44,11.5,3215,mature
FG-00189,Chassis & suspension assembly 00189,C-SUV Gen5,Body-in-white,PL-04,2481.68,2238.48,9.8,2107,ramp-up
FG-00190,Body-in-white assembly 00190,B-Hatch Facelift,Thermal system,PL-05,1217.37,1116.33,8.3,1371,mature
FG-00191,Electrical & electronics assembly 00191,D-Sedan,Powertrain,PL-13,1110.5,998.34,10.1,2457,mature
FG-00192,Powertrain assembly 00192,Aftermarket Service,Exterior module,PL-04,3898.2,2962.63,24,2687,run-out
FG-00193,E-drive assembly 00193,Pickup Midsize,Chassis & suspension,PL-05,944.53,724.45,23.3,2968,mature
FG-00194,Interior module assembly 00194,C-SUV Gen4,Service kit,PL-14,2788.08,2180.28,21.8,1567,mature
FG-00195,Powertrain assembly 00195,BEV Crossover,Powertrain,PL-12,391.71,296.13,24.4,414,mature
FG-00196,Powertrain assembly 00196,Pickup Midsize,Chassis & suspension,PL-17,3519.53,3290.76,6.5,1235,mature
FG-00197,Interior module assembly 00197,Pickup Midsize,Powertrain,PL-11,2505.98,2235.33,10.8,2874,mature
FG-00198,Electrical & electronics assembly 00198,C-SUV Gen5,Interior module,PL-01,2997.17,2739.41,8.6,3574,mature
FG-00199,Service kit assembly 00199,BEV Compact,Thermal system,PL-02,704.42,634.68,9.9,660,mature
FG-00200,Chassis & suspension assembly 00200,C-SUV Gen5,Service kit,PL-12,4199.87,4015.08,4.4,2746,run-out
FG-00201,Thermal system assembly 00201,E-Van Commercial,Body-in-white,PL-03,1879.46,1512.97,19.5,1532,ramp-up
FG-00202,Powertrain assembly 00202,B-Hatch Facelift,Powertrain,PL-12,1897.92,1717.62,9.5,1499,mature
FG-00203,E-drive assembly 00203,Pickup Midsize,Chassis & suspension,PL-05,3806.07,3242.77,14.8,1630,mature
FG-00204,E-drive assembly 00204,BEV Crossover,Chassis & suspension,PL-17,1610.25,1275.32,20.8,1004,mature
FG-00205,Service kit assembly 00205,E-Van Commercial,Body-in-white,PL-12,1633.94,1284.28,21.4,1780,mature
FG-00206,Electrical & electronics assembly 00206,D-Sedan,Chassis & suspension,PL-12,1166.61,899.46,22.9,2036,mature
FG-00207,E-drive assembly 00207,C-SUV Gen5,Service kit,PL-12,2689.67,2369.6,11.9,1113,mature
FG-00208,Service kit assembly 00208,Aftermarket Service,Powertrain,PL-03,1354.74,1127.14,16.8,2376,mature
FG-00209,Chassis & suspension assembly 00209,BEV Crossover,Thermal system,PL-18,3883.96,2986.77,23.1,2026,mature
FG-00210,Exterior module assembly 00210,E-Van Commercial,Service kit,PL-03,4102.6,3893.37,5.1,1775,mature
FG-00211,Powertrain assembly 00211,BEV Crossover,Interior module,PL-01,2358.78,2155.92,8.6,25,ramp-up
FG-00212,Exterior module assembly 00212,C-SUV Gen5,Chassis & suspension,PL-18,2350.48,1861.58,20.8,3130,mature
FG-00213,Powertrain assembly 00213,B-Hatch Facelift,Interior module,PL-10,1979.59,1544.08,22,26,mature
FG-00214,Exterior module assembly 00214,C-SUV Gen4,Electrical & electronics,PL-09,3163.28,2404.09,24,2328,mature
FG-00215,Service kit assembly 00215,B-Hatch Facelift,Electrical & electronics,PL-03,3207.49,2392.79,25.4,2416,mature
FG-00216,Electrical & electronics assembly 00216,D-Sedan,Service kit,PL-08,982.62,794.94,19.1,770,mature
FG-00217,Electrical & electronics assembly 00217,D-Sedan,Chassis & suspension,PL-07,1281.44,1200.71,6.3,451,mature
FG-00218,Service kit assembly 00218,BEV Crossover,Exterior module,PL-12,739.1,611.24,17.3,2768,mature
FG-00219,Body-in-white assembly 00219,BEV Crossover,Chassis & suspension,PL-14,1020.43,949,7,342,mature
FG-00220,Exterior module assembly 00220,Aftermarket Service,Exterior module,PL-20,3569.4,2791.27,21.8,1605,ramp-up
FG-00221,Exterior module assembly 00221,Hybrid D-Sedan,Thermal system,PL-15,2540.68,2012.22,20.8,3538,run-out
FG-00222,Thermal system assembly 00222,Pickup Midsize,Interior module,PL-12,843.54,738.94,12.4,3406,mature
FG-00223,E-drive assembly 00223,C-SUV Gen5,Interior module,PL-01,3592.81,2827.54,21.3,335,run-out
FG-00224,Thermal system assembly 00224,BEV Crossover,Interior module,PL-20,1432.06,1165.7,18.6,1843,mature
FG-00225,Exterior module assembly 00225,Pickup Midsize,E-drive,PL-12,1899.03,1652.16,13,1314,run-out
FG-00226,Interior module assembly 00226,Hybrid D-Sedan,Thermal system,PL-09,803.16,671.44,16.4,2015,run-out
FG-00227,Powertrain assembly 00227,Aftermarket Service,Service kit,PL-01,1645.35,1373.87,16.5,711,mature
FG-00228,Interior module assembly 00228,C-SUV Gen5,Interior module,PL-11,4134.93,3183.9,23,2712,run-out
FG-00229,E-drive assembly 00229,Hybrid D-Sedan,Exterior module,PL-03,3353.75,3045.2,9.2,281,ramp-up
FG-00230,Electrical & electronics assembly 00230,D-Sedan,E-drive,PL-02,3722.52,3126.92,16,1388,mature
FG-00231,Electrical & electronics assembly 00231,BEV Crossover,Chassis & suspension,PL-17,2064.35,1651.48,20,2922,run-out
FG-00232,E-drive assembly 00232,D-Sedan,Service kit,PL-17,2090.35,1960.75,6.2,2899,mature
FG-00233,Electrical & electronics assembly 00233,E-Van Commercial,Service kit,PL-01,2137.63,2043.57,4.4,2509,ramp-up
FG-00234,Body-in-white assembly 00234,C-SUV Gen5,Chassis & suspension,PL-09,1864.27,1454.13,22,1779,mature
FG-00235,Interior module assembly 00235,Hybrid D-Sedan,Thermal system,PL-06,2971.62,2811.15,5.4,204,mature
FG-00236,E-drive assembly 00236,BEV Crossover,Body-in-white,PL-02,3953.75,3676.99,7,2332,run-out
FG-00237,E-drive assembly 00237,E-Van Commercial,Exterior module,PL-12,1339.05,1254.69,6.3,1855,ramp-up
