stock_id,plant_id,material_id,phantom_qty,phantom_ratio,usable_30d_coverage,recommended_action,phantom_risk
STK100031,PL01,MAT2002,362,0.792,0.06,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100032,PL03,MAT2007,577,0.704,0.17,VALIDATE_RESERVATION,HIGH
STK100033,PL01,MAT2005,237,0.395,0.28,RELOCATE,MEDIUM
STK100034,PL02,MAT2003,282,0.541,0.53,REVIEW_DISPOSITION,HIGH
STK100035,PL02,MAT2002,58,0.186,0.32,REVIEW_DISPOSITION,MEDIUM
STK100036,PL04,MAT2009,0,0.0,0.76,NO_ACTION,LOW
STK100037,PL03,MAT2007,28,0.295,0.05,RECONCILE_DUPLICATE,MEDIUM
STK100038,PL04,MAT2006,361,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100039,PL03,MAT2004,182,0.7,0.07,MULTI_STEP_RECONCILIATION,HIGH
STK100040,PL04,MAT2008,162,0.726,0.12,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100041,PL02,MAT2007,492,0.613,0.25,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100042,PL04,MAT2008,942,0.798,0.19,VALIDATE_RESERVATION,HIGH
STK100043,PL03,MAT2008,132,0.429,0.32,RELOCATE,MEDIUM
STK100044,PL03,MAT2008,389,0.763,0.15,REVIEW_DISPOSITION,HIGH
STK100045,PL04,MAT2003,106,0.29,0.44,REVIEW_DISPOSITION,MEDIUM
STK100046,PL03,MAT2002,0,0.0,2.12,NO_ACTION,LOW
STK100047,PL04,MAT2006,368,0.299,0.66,RECONCILE_DUPLICATE,MEDIUM
STK100048,PL04,MAT2005,1029,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100049,PL02,MAT2003,897,0.699,0.34,MULTI_STEP_RECONCILIATION,HIGH
STK100050,PL03,MAT2003,737,0.558,0.88,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100051,PL03,MAT2004,379,0.388,0.4,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100052,PL01,MAT2010,165,0.356,0.2,VALIDATE_RESERVATION,MEDIUM
STK100053,PL01,MAT2006,674,0.605,0.75,RELOCATE,HIGH
STK100054,PL01,MAT2002,107,0.622,0.18,REVIEW_DISPOSITION,HIGH
STK100055,PL03,MAT2010,79,0.247,0.28,REVIEW_DISPOSITION,MEDIUM
STK100056,PL03,MAT2002,0,0.0,0.89,NO_ACTION,LOW
STK100057,PL04,MAT2006,34,0.296,0.06,RECONCILE_DUPLICATE,MEDIUM
STK100058,PL03,MAT2007,336,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100059,PL04,MAT2004,710,0.699,0.79,MULTI_STEP_RECONCILIATION,HIGH
STK100060,PL04,MAT2009,744,0.531,0.82,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100061,PL01,MAT2003,789,0.549,0.9,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100062,PL01,MAT2006,42,0.583,0.04,VALIDATE_RESERVATION,HIGH
STK100063,PL04,MAT2004,360,0.458,0.38,RELOCATE,MEDIUM
STK100064,PL02,MAT2002,509,0.529,1.41,REVIEW_DISPOSITION,HIGH
STK100065,PL01,MAT2004,278,0.222,0.82,REVIEW_DISPOSITION,MEDIUM
STK100066,PL02,MAT2007,0,0.0,0.78,NO_ACTION,LOW
STK100067,PL04,MAT2010,184,0.298,0.62,RECONCILE_DUPLICATE,MEDIUM
STK100068,PL02,MAT2003,1366,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100069,PL01,MAT2010,65,0.684,0.03,MULTI_STEP_RECONCILIATION,HIGH
STK100070,PL02,MAT2001,99,0.391,0.17,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100071,PL03,MAT2005,305,0.599,0.14,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100072,PL03,MAT2010,180,0.556,0.22,VALIDATE_RESERVATION,HIGH
STK100073,PL04,MAT2001,650,0.436,0.55,RELOCATE,MEDIUM
STK100074,PL03,MAT2010,422,0.767,0.63,REVIEW_DISPOSITION,HIGH
STK100075,PL02,MAT2005,360,0.263,1.46,REVIEW_DISPOSITION,MEDIUM
STK100076,PL02,MAT2005,0,0.0,1.66,NO_ACTION,LOW
STK100077,PL03,MAT2009,444,0.299,1.33,RECONCILE_DUPLICATE,MEDIUM
STK100078,PL04,MAT2001,779,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100079,PL01,MAT2005,933,0.699,2.15,MULTI_STEP_RECONCILIATION,HIGH
STK100080,PL03,MAT2005,39,0.78,0.01,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100081,PL04,MAT2001,600,0.416,0.85,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100082,PL04,MAT2004,55,0.743,0.05,VALIDATE_RESERVATION,HIGH
STK100083,PL02,MAT2010,194,0.674,0.16,RELOCATE,HIGH
STK100084,PL04,MAT2005,345,0.589,0.17,REVIEW_DISPOSITION,HIGH
STK100085,PL04,MAT2010,308,0.26,0.96,REVIEW_DISPOSITION,MEDIUM
STK100086,PL01,MAT2002,0,0.0,0.29,NO_ACTION,LOW
STK100087,PL04,MAT2004,418,0.299,1.76,RECONCILE_DUPLICATE,MEDIUM
STK100088,PL03,MAT2004,277,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100089,PL02,MAT2009,692,0.698,0.23,MULTI_STEP_RECONCILIATION,HIGH
STK100090,PL02,MAT2005,104,0.707,0.05,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100091,PL01,MAT2007,193,0.745,0.04,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100092,PL02,MAT2005,737,0.56,0.72,VALIDATE_RESERVATION,HIGH
STK100093,PL04,MAT2001,479,0.667,0.48,RELOCATE,HIGH
STK100094,PL02,MAT2006,407,0.493,0.32,REVIEW_DISPOSITION,MEDIUM
STK100095,PL02,MAT2001,22,0.286,0.05,REVIEW_DISPOSITION,MEDIUM
STK100096,PL04,MAT2002,0,0.0,33.52,NO_ACTION,LOW
STK100097,PL02,MAT2010,420,0.3,0.67,RECONCILE_DUPLICATE,MEDIUM
STK100098,PL03,MAT2003,600,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100099,PL02,MAT2001,244,0.695,0.13,MULTI_STEP_RECONCILIATION,HIGH
STK100100,PL04,MAT2010,493,0.387,2.33,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100101,PL01,MAT2005,645,0.624,0.24,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100102,PL04,MAT2003,138,0.683,0.07,VALIDATE_RESERVATION,HIGH
STK100103,PL03,MAT2005,407,0.671,0.24,RELOCATE,HIGH
STK100104,PL03,MAT2010,260,0.72,0.17,REVIEW_DISPOSITION,HIGH
STK100105,PL03,MAT2004,244,0.255,0.7,REVIEW_DISPOSITION,MEDIUM
STK100106,PL01,MAT2009,0,0.0,0.09,NO_ACTION,LOW
STK100107,PL04,MAT2003,310,0.299,0.56,RECONCILE_DUPLICATE,MEDIUM
STK100108,PL02,MAT2008,198,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100109,PL01,MAT2005,500,0.695,0.38,MULTI_STEP_RECONCILIATION,HIGH
STK100110,PL03,MAT2007,375,0.371,0.52,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100111,PL02,MAT2002,579,0.489,0.5,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100112,PL03,MAT2007,456,0.732,0.12,VALIDATE_RESERVATION,HIGH
STK100113,PL02,MAT2001,121,0.484,0.12,RELOCATE,MEDIUM
STK100114,PL02,MAT2002,861,0.833,0.62,REVIEW_DISPOSITION,HIGH
STK100115,PL01,MAT2009,286,0.262,0.62,REVIEW_DISPOSITION,MEDIUM
STK100116,PL02,MAT2007,0,0.0,0.99,NO_ACTION,LOW
STK100117,PL04,MAT2007,10,0.286,0.08,RECONCILE_DUPLICATE,MEDIUM
STK100118,PL01,MAT2001,284,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100119,PL04,MAT2004,704,0.698,0.24,MULTI_STEP_RECONCILIATION,HIGH
STK100120,PL04,MAT2006,308,0.782,0.07,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100121,PL04,MAT2006,727,0.616,0.48,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100122,PL04,MAT2003,300,0.709,0.12,VALIDATE_RESERVATION,HIGH
STK100123,PL04,MAT2007,173,0.553,0.52,RELOCATE,HIGH
STK100124,PL01,MAT2008,1072,0.716,0.39,REVIEW_DISPOSITION,HIGH
STK100125,PL03,MAT2008,36,0.248,0.07,REVIEW_DISPOSITION,MEDIUM
STK100126,PL01,MAT2003,0,0.0,1.54,NO_ACTION,LOW
STK100127,PL01,MAT2002,392,0.299,1.23,RECONCILE_DUPLICATE,MEDIUM
STK100128,PL01,MAT2007,432,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100129,PL04,MAT2002,1008,0.7,0.92,MULTI_STEP_RECONCILIATION,HIGH
STK100130,PL02,MAT2005,40,0.488,0.03,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100131,PL04,MAT2009,989,0.794,0.2,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100132,PL04,MAT2001,185,0.378,0.19,VALIDATE_RESERVATION,MEDIUM
STK100133,PL01,MAT2001,308,0.695,0.12,RELOCATE,HIGH
STK100134,PL04,MAT2007,973,0.859,0.1,REVIEW_DISPOSITION,HIGH
STK100135,PL04,MAT2001,301,0.265,0.65,REVIEW_DISPOSITION,MEDIUM
STK100136,PL01,MAT2009,0,0.0,1.86,NO_ACTION,LOW
STK100137,PL04,MAT2006,152,0.298,0.63,RECONCILE_DUPLICATE,MEDIUM
STK100138,PL04,MAT2006,1054,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100139,PL01,MAT2010,52,0.667,0.02,MULTI_STEP_RECONCILIATION,HIGH
STK100140,PL02,MAT2004,13,0.448,0.01,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100141,PL02,MAT2002,644,0.656,0.28,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100142,PL04,MAT2010,386,0.559,0.47,VALIDATE_RESERVATION,HIGH
STK100143,PL03,MAT2008,659,0.667,0.41,RELOCATE,HIGH
STK100144,PL03,MAT2008,515,0.47,0.44,REVIEW_DISPOSITION,MEDIUM
STK100145,PL02,MAT2002,58,0.229,0.36,REVIEW_DISPOSITION,MEDIUM
STK100146,PL02,MAT2008,0,0.0,0.35,NO_ACTION,LOW
STK100147,PL03,MAT2010,58,0.299,0.11,RECONCILE_DUPLICATE,MEDIUM
STK100148,PL01,MAT2009,1496,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100149,PL02,MAT2004,234,0.69,0.08,MULTI_STEP_RECONCILIATION,HIGH
STK100150,PL04,MAT2005,544,0.429,0.95,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100151,PL04,MAT2005,421,0.487,0.44,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100152,PL03,MAT2005,383,0.525,0.31,VALIDATE_RESERVATION,HIGH
STK100153,PL03,MAT2006,348,0.678,0.27,RELOCATE,HIGH
STK100154,PL04,MAT2001,721,0.652,0.36,REVIEW_DISPOSITION,HIGH
STK100155,PL04,MAT2001,137,0.201,1.19,REVIEW_DISPOSITION,MEDIUM
STK100156,PL03,MAT2010,0,0.0,1.11,NO_ACTION,LOW
STK100157,PL02,MAT2007,186,0.3,0.55,RECONCILE_DUPLICATE,MEDIUM
STK100158,PL02,MAT2003,1039,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100159,PL02,MAT2007,48,0.676,0.02,MULTI_STEP_RECONCILIATION,HIGH
STK100160,PL04,MAT2010,340,0.588,0.39,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100161,PL03,MAT2009,85,0.399,0.16,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100162,PL04,MAT2001,159,0.468,0.36,VALIDATE_RESERVATION,MEDIUM
STK100163,PL01,MAT2007,799,0.649,0.5,RELOCATE,HIGH
STK100164,PL03,MAT2008,106,0.555,0.07,REVIEW_DISPOSITION,HIGH
STK100165,PL03,MAT2004,231,0.179,1.11,REVIEW_DISPOSITION,MEDIUM
STK100166,PL01,MAT2008,0,0.0,0.79,NO_ACTION,LOW
STK100167,PL02,MAT2004,142,0.296,0.34,RECONCILE_DUPLICATE,MEDIUM
STK100168,PL04,MAT2008,558,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100169,PL01,MAT2010,522,0.697,0.16,MULTI_STEP_RECONCILIATION,HIGH
STK100170,PL04,MAT2006,961,0.697,0.61,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100171,PL01,MAT2001,509,0.376,0.79,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100172,PL02,MAT2003,137,0.468,0.15,VALIDATE_RESERVATION,MEDIUM
STK100173,PL04,MAT2007,372,0.388,1.04,RELOCATE,MEDIUM
STK100174,PL03,MAT2004,532,0.499,0.58,REVIEW_DISPOSITION,MEDIUM
STK100175,PL04,MAT2006,329,0.27,1.04,REVIEW_DISPOSITION,MEDIUM
STK100176,PL03,MAT2010,0,0.0,3.6,NO_ACTION,LOW
STK100177,PL04,MAT2003,288,0.298,0.48,RECONCILE_DUPLICATE,MEDIUM
STK100178,PL01,MAT2002,398,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100179,PL01,MAT2003,1036,0.7,0.48,MULTI_STEP_RECONCILIATION,HIGH
STK100180,PL02,MAT2008,289,0.368,0.41,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100181,PL01,MAT2001,84,0.661,0.06,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100182,PL01,MAT2002,478,0.57,0.34,VALIDATE_RESERVATION,HIGH
STK100183,PL02,MAT2008,783,0.53,1.58,RELOCATE,HIGH
STK100184,PL03,MAT2010,579,0.529,0.44,REVIEW_DISPOSITION,HIGH
STK100185,PL01,MAT2009,68,0.114,0.64,REVIEW_DISPOSITION,MEDIUM
STK100186,PL03,MAT2006,0,0.0,0.1,NO_ACTION,LOW
STK100187,PL03,MAT2002,40,0.299,0.06,RECONCILE_DUPLICATE,MEDIUM
STK100188,PL02,MAT2003,940,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100189,PL01,MAT2006,216,0.695,0.07,MULTI_STEP_RECONCILIATION,HIGH
STK100190,PL02,MAT2008,154,0.403,0.42,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100191,PL02,MAT2010,599,0.514,0.36,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100192,PL01,MAT2010,840,0.78,0.21,VALIDATE_RESERVATION,HIGH
STK100193,PL01,MAT2010,295,0.664,0.1,RELOCATE,HIGH
STK100194,PL02,MAT2007,190,0.433,0.94,REVIEW_DISPOSITION,MEDIUM
STK100195,PL03,MAT2010,133,0.132,0.6,REVIEW_DISPOSITION,MEDIUM
STK100196,PL01,MAT2004,0,0.0,0.67,NO_ACTION,LOW
STK100197,PL01,MAT2002,100,0.296,0.39,RECONCILE_DUPLICATE,MEDIUM
STK100198,PL04,MAT2003,1119,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100199,PL02,MAT2009,308,0.695,0.15,MULTI_STEP_RECONCILIATION,HIGH
STK100200,PL04,MAT2001,267,0.697,0.08,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100201,PL03,MAT2007,515,0.736,0.58,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100202,PL02,MAT2008,678,0.523,0.99,VALIDATE_RESERVATION,HIGH
STK100203,PL01,MAT2010,154,0.373,0.32,RELOCATE,MEDIUM
STK100204,PL04,MAT2004,129,0.777,0.13,REVIEW_DISPOSITION,HIGH
STK100205,PL02,MAT2003,172,0.286,0.48,REVIEW_DISPOSITION,MEDIUM
STK100206,PL02,MAT2002,0,0.0,0.81,NO_ACTION,LOW
STK100207,PL01,MAT2010,290,0.3,0.65,RECONCILE_DUPLICATE,MEDIUM
STK100208,PL04,MAT2008,141,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100209,PL01,MAT2005,917,0.698,0.26,MULTI_STEP_RECONCILIATION,HIGH
STK100210,PL03,MAT2005,306,0.558,0.2,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100211,PL03,MAT2005,853,0.678,0.75,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100212,PL04,MAT2008,703,0.473,0.76,VALIDATE_RESERVATION,MEDIUM
STK100213,PL01,MAT2002,120,0.405,0.18,RELOCATE,MEDIUM
STK100214,PL02,MAT2006,242,0.428,0.34,REVIEW_DISPOSITION,MEDIUM
STK100215,PL01,MAT2008,30,0.185,0.11,REVIEW_DISPOSITION,MEDIUM
STK100216,PL02,MAT2010,0,0.0,0.88,NO_ACTION,LOW
STK100217,PL01,MAT2002,446,0.3,1.1,RECONCILE_DUPLICATE,MEDIUM
STK100218,PL03,MAT2004,791,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100219,PL03,MAT2005,226,0.695,0.07,MULTI_STEP_RECONCILIATION,HIGH
